timestamp,p_x,p_y,p_z,v_x,v_y,v_z,q_w,q_x,q_y,q_z
0.000000,5.500000,0.000000,0.000000,-0.000000,4.180000,0.437000,1.000000,0.000000,0.000000,0.000000
0.030000,5.498478,0.125455,0.012988,-0.101479,4.183657,0.428853,0.999910,0.006938,0.004494,0.010584
0.060000,5.493136,0.251353,0.025530,-0.218119,4.190510,0.419496,0.999698,0.006099,0.007330,0.022646
0.090000,5.486054,0.378235,0.038177,-0.294493,4.205634,0.420558,0.999328,0.005481,0.005677,0.035783
0.120000,5.478004,0.505192,0.050275,-0.358201,4.207961,0.412254,0.998863,0.004083,0.004849,0.047250
0.150000,5.469361,0.632130,0.061568,-0.414333,4.205898,0.398091,0.998260,0.002914,0.004394,0.058730
0.180000,5.458678,0.756730,0.072598,-0.479045,4.180927,0.386440,0.997524,0.003415,0.003960,0.070128
0.210000,5.445116,0.878144,0.082760,-0.555336,4.137734,0.370228,0.996615,0.003513,0.003720,0.082049
0.240000,5.428269,0.996574,0.093057,-0.640937,4.083744,0.358843,0.995536,0.003605,0.003390,0.094255
0.270000,5.407536,1.109625,0.103551,-0.740245,4.007962,0.349834,0.994167,0.002776,0.003436,0.107765
0.300000,5.389168,1.226074,0.128639,-0.802240,3.966101,0.414951,0.992873,0.003958,0.006658,0.118929
0.330000,5.362599,1.335074,0.144857,-0.916221,3.887754,0.424142,0.991022,0.004097,0.007717,0.133412
0.360000,5.333064,1.451893,0.165427,-1.007236,3.857281,0.450208,0.989709,0.006266,0.009157,0.142661
0.390000,5.297031,1.567935,0.181014,-1.132573,3.829985,0.445822,0.987650,0.005895,0.010180,0.156233
0.420000,5.255835,1.682938,0.203309,-1.265958,3.783179,0.479046,0.986024,0.005041,0.011256,0.166149
0.450000,5.213811,1.799696,0.221220,-1.369143,3.774050,0.482071,0.983717,0.005045,0.011924,0.179255
0.480000,5.170876,1.915895,0.238821,-1.449407,3.757183,0.479341,0.981708,0.004878,0.013003,0.189888
0.510000,5.117239,2.048793,0.248412,-1.546044,3.803714,0.450747,0.980898,0.004696,0.011641,0.194120
0.540000,5.050952,2.193162,0.244464,-1.710685,3.909332,0.370702,0.979059,0.002660,0.008449,0.203383
0.570000,4.993867,2.319232,0.249910,-1.809518,3.913756,0.333935,0.977088,0.002586,0.007264,0.212698
0.600000,4.936297,2.442985,0.248276,-1.898919,3.908143,0.269362,0.974924,0.001101,0.005990,0.222456
0.630000,4.876146,2.563392,0.251895,-1.990911,3.887910,0.238570,0.972399,0.000956,0.004496,0.233281
0.660000,4.816353,2.678488,0.253547,-2.066952,3.839294,0.197652,0.969853,0.000835,0.004207,0.243654
0.690000,4.754056,2.792003,0.256324,-2.144823,3.789485,0.168784,0.967055,0.000893,0.003606,0.254541
0.720000,4.687075,2.896822,0.241181,-2.243040,3.708938,0.083344,0.963596,-0.001212,0.000931,0.267358
0.750000,4.623613,2.996425,0.231720,-2.306488,3.601979,0.039117,0.960644,-0.001655,-0.002853,0.277763
0.780000,4.559782,3.100859,0.222756,-2.369434,3.542629,-0.018269,0.957067,-0.001718,-0.003579,0.289840
0.810000,4.495541,3.200258,0.215482,-2.424170,3.460315,-0.054114,0.953594,-0.001773,-0.005489,0.301041
0.840000,4.429726,3.299129,0.207483,-2.480153,3.390096,-0.095481,0.949754,-0.001793,-0.006318,0.312927
0.870000,4.354191,3.392553,0.206644,-2.569751,3.290896,-0.102080,0.945754,-0.001093,-0.007015,0.324807
0.900000,4.283035,3.481319,0.202076,-2.630136,3.184574,-0.128039,0.941805,-0.001066,-0.006896,0.336088
0.930000,4.219498,3.565085,0.229204,-2.632029,3.068285,0.032700,0.937277,-0.001429,-0.003214,0.348566
0.960000,4.139454,3.656158,0.230042,-2.704267,3.003241,0.023158,0.933188,-0.001013,-0.002795,0.359376
0.990000,4.057249,3.745258,0.230562,-2.776078,2.936720,0.011500,0.928569,-0.001385,-0.002010,0.371152
1.020000,3.972897,3.832360,0.230713,-2.847390,2.870087,-0.001424,0.924502,-0.001661,-0.001943,0.381168
1.050000,3.886392,3.917453,0.230459,-2.919568,2.802768,-0.015564,0.919546,-0.001998,-0.001303,0.392975
1.080000,3.797702,4.000503,0.229770,-2.993110,2.733927,-0.030325,0.915346,-0.002336,-0.001050,0.402661
1.110000,3.706757,4.081460,0.228632,-3.069927,2.663206,-0.045546,0.910301,-0.002771,-0.000557,0.413938
1.140000,3.613472,4.160266,0.227036,-3.149076,2.590545,-0.060877,0.905619,-0.003085,-0.000210,0.424080
1.170000,3.517807,4.236896,0.224982,-3.228544,2.518093,-0.076065,0.900270,-0.003536,0.000363,0.435317
1.200000,3.419775,4.311369,0.222474,-3.306909,2.446802,-0.091134,0.895535,-0.003939,0.000788,0.444974
1.230000,3.319410,4.383720,0.219506,-3.384097,2.376612,-0.106722,0.889857,-0.004382,0.001182,0.456217
1.260000,3.216744,4.453977,0.216048,-3.460298,2.307128,-0.123793,0.884874,-0.004515,0.001766,0.465806
1.290000,3.111809,4.522166,0.212038,-3.535431,2.238844,-0.143522,0.879125,-0.003581,0.002368,0.476573
