timestamp,p_x,p_y,p_z,v_x,v_y,v_z,q_w,q_x,q_y,q_z
0.000000,5.500000,0.000000,0.000000,-0.000000,4.180000,0.437000,1.000000,0.000000,0.000000,0.000000
0.030000,5.498415,0.125381,0.013236,-0.105690,4.178746,0.445413,0.999918,-0.001740,-0.000516,0.012671
0.060000,5.493692,0.250713,0.026649,-0.209183,4.176689,0.448803,0.999734,-0.002578,0.000005,0.022938
0.090000,5.485914,0.375972,0.040121,-0.309346,4.173940,0.449308,0.999393,-0.002788,0.000093,0.034711
0.120000,5.475179,0.501113,0.053568,-0.406280,4.168783,0.447154,0.998949,-0.002982,0.000592,0.045742
0.150000,5.461580,0.626067,0.066916,-0.500362,4.161512,0.442693,0.998351,-0.003023,0.000776,0.057324
0.180000,5.445190,0.750764,0.080095,-0.592250,4.151603,0.435897,0.997644,-0.003006,0.001208,0.068534
0.210000,5.426072,0.875129,0.093039,-0.682298,4.139413,0.427052,0.996795,-0.002891,0.001466,0.079936
0.240000,5.404269,0.999089,0.105684,-0.771253,4.124544,0.415979,0.995808,-0.002598,0.001702,0.091415
0.270000,5.379803,1.122562,0.117967,-0.859841,4.106983,0.402863,0.994710,-0.002238,0.001890,0.102681
0.300000,5.352678,1.245463,0.129835,-0.948489,4.086450,0.388348,0.993473,-0.002240,0.002208,0.114027
0.330000,5.322889,1.367708,0.141251,-1.037415,4.063211,0.372699,0.992129,-0.002077,0.002381,0.125182
0.360000,5.290424,1.489214,0.152183,-1.126889,4.037185,0.356123,0.990652,-0.001638,0.002596,0.136378
0.390000,5.255270,1.609896,0.162608,-1.216758,4.008310,0.338837,0.989052,-0.001277,0.002807,0.147534
0.420000,5.217411,1.729670,0.172504,-1.307130,3.976614,0.320916,0.987305,-0.001064,0.003015,0.158802
0.450000,5.176836,1.848454,0.181854,-1.397893,3.942335,0.302456,0.985437,-0.000933,0.003073,0.170013
0.480000,5.133531,1.966176,0.190642,-1.489141,3.905769,0.283390,0.983429,-0.000867,0.003074,0.181268
0.510000,5.087482,2.082769,0.198849,-1.580794,3.867110,0.263751,0.981298,-0.000794,0.003045,0.192471
0.540000,5.038679,2.198173,0.206455,-1.672678,3.826486,0.243281,0.979027,-0.000696,0.002995,0.203705
0.570000,4.987120,2.312331,0.213438,-1.764645,3.784036,0.222238,0.976601,-0.000471,0.002871,0.215041
0.600000,4.932804,2.425189,0.219783,-1.856376,3.739815,0.200788,0.974089,-0.000323,0.002830,0.226146
0.630000,4.875749,2.536704,0.225479,-1.947344,3.694527,0.178959,0.971444,-0.000214,0.002808,0.237254
0.660000,4.815989,2.646847,0.230521,-2.036625,3.648359,0.157166,0.968708,0.000051,0.002891,0.248186
0.690000,4.753583,2.755596,0.234912,-2.123747,3.601547,0.135536,0.965824,0.000220,0.002836,0.259185
0.720000,4.688596,2.862926,0.238656,-2.208778,3.553814,0.114070,0.962813,0.000316,0.002731,0.270154
0.750000,4.621088,2.968809,0.241755,-2.291727,3.505035,0.092582,0.959676,0.000358,0.002583,0.281096
0.780000,4.551121,3.073213,0.244212,-2.372725,3.455268,0.071179,0.956410,0.000364,0.002425,0.292018
0.810000,4.478755,3.176104,0.246023,-2.451697,3.404137,0.049578,0.953012,0.000330,0.002257,0.302925
0.840000,4.404052,3.277444,0.247190,-2.528489,3.351826,0.028213,0.949444,0.000256,0.002076,0.313929
0.870000,4.327078,3.377195,0.247716,-2.603089,3.298246,0.006828,0.945876,0.000280,0.001932,0.324523
0.900000,4.247896,3.475317,0.247596,-2.675745,3.243252,-0.014774,0.942082,0.000303,0.001827,0.335378
0.930000,4.166562,3.571767,0.246830,-2.746500,3.186694,-0.036326,0.938236,0.000332,0.001739,0.345991
0.960000,4.083142,3.666496,0.245417,-2.814852,3.128594,-0.057882,0.934171,0.000372,0.001646,0.356821
0.990000,3.997701,3.759461,0.243357,-2.881198,3.069106,-0.079458,0.930140,0.000417,0.001584,0.367202
1.020000,3.910301,3.850615,0.240651,-2.945499,3.007772,-0.100895,0.925857,0.000463,0.001493,0.377872
1.050000,3.821003,3.939901,0.237305,-3.007702,2.944655,-0.122195,0.921579,0.000569,0.001484,0.388188
1.080000,3.729864,4.027263,0.233327,-3.068179,2.879458,-0.143014,0.917056,0.000594,0.001430,0.398756
1.110000,3.636937,4.112633,0.228729,-3.126960,2.811914,-0.163493,0.912505,0.000628,0.001371,0.409062
1.140000,3.542272,4.195942,0.223523,-3.184084,2.741981,-0.183628,0.907775,0.000682,0.001343,0.419455
1.170000,3.445911,4.277116,0.217723,-3.239935,2.669609,-0.202977,0.902964,0.000715,0.001290,0.429713
1.200000,3.347896,4.356080,0.211353,-3.294451,2.594663,-0.221697,0.898024,0.000722,0.001250,0.439943
1.230000,3.248261,4.432758,0.204434,-3.347885,2.517206,-0.239623,0.893023,0.000700,0.001213,0.450008
1.260000,3.147040,4.507075,0.196985,-3.400188,2.437288,-0.256940,0.887780,0.000675,0.001156,0.460265
1.290000,3.044264,4.578962,0.189028,-3.451520,2.355146,-0.273553,0.882610,0.000640,0.001072,0.470103
1.320000,2.939967,4.648350,0.180585,-3.501627,2.270727,-0.289299,0.877038,0.000609,0.001057,0.480420
1.350000,2.834189,4.715178,0.171677,-3.550201,2.184516,-0.304557,0.871554,0.000599,0.001014,0.490297
1.380000,2.726979,4.779400,0.162322,-3.597161,2.096920,-0.319110,0.865847,0.000572,0.001005,0.500308
1.410000,2.618386,4.840973,0.152539,-3.642390,2.007958,-0.333071,0.860069,0.000542,0.000969,0.510176
1.440000,2.508465,4.899859,0.142351,-3.685670,1.917759,-0.346144,0.854174,0.000505,0.000957,0.519986
1.470000,2.397271,4.956024,0.131780,-3.727218,1.826605,-0.358632,0.848166,0.000503,0.000951,0.529730
