timestamp,p_x,p_y,p_z,v_x,v_y,v_z,q_w,q_x,q_y,q_z
0.000000,5.500000,0.000000,0.000000,-0.000000,4.180000,0.437000,1.000000,0.000000,0.000000,0.000000
0.030000,5.498134,0.125259,0.013220,-0.240837,4.099129,0.466629,1.042010,0.001321,0.000105,0.010943
0.060000,5.489136,0.247985,0.027284,-0.435173,4.043740,0.484228,1.007865,0.000440,0.000021,0.022653
0.090000,5.474372,0.369028,0.041829,-0.592239,4.013190,0.493016,0.981666,-0.000611,-0.000292,0.034814
0.120000,5.454955,0.489166,0.056616,-0.719579,4.002198,0.493854,0.968790,0.000067,0.000038,0.047085
0.150000,5.431765,0.608996,0.071392,-0.822187,4.000787,0.489601,0.977973,-0.000187,0.000006,0.058167
0.180000,5.405549,0.728790,0.086003,-0.907030,4.006385,0.482217,0.982679,-0.000920,-0.000591,0.069357
0.210000,5.376832,0.848763,0.100401,-0.981008,4.013472,0.468465,0.988806,-0.000523,-0.000222,0.080368
0.240000,5.345954,0.968932,0.114336,-1.049892,4.019422,0.453072,0.986227,-0.000552,-0.000325,0.091966
0.270000,5.313050,1.089268,0.127794,-1.117803,4.021603,0.436570,0.984452,-0.001207,0.000397,0.103480
0.300000,5.278129,1.209622,0.140707,-1.186446,4.022304,0.421978,0.982809,-0.001558,-0.001020,0.114973
0.330000,5.241155,1.329969,0.153191,-1.258141,4.021809,0.405772,0.981891,-0.002298,-0.000532,0.126352
0.360000,5.202042,1.450275,0.165172,-1.331989,4.019694,0.388333,0.981723,-0.001173,-0.000536,0.137599
0.390000,5.160716,1.570475,0.176619,-1.406795,4.015426,0.369929,0.980369,-0.000696,-0.000242,0.148943
0.420000,5.117157,1.690523,0.187487,-1.482476,4.008218,0.352593,0.979239,-0.000748,-0.000022,0.160219
0.450000,5.071336,1.810332,0.197814,-1.558344,3.997150,0.337320,0.977433,-0.000680,-0.000363,0.171556
0.480000,5.023251,1.929780,0.207672,-1.635273,3.981858,0.323241,0.975436,-0.001065,-0.000284,0.182865
0.510000,4.972869,2.048742,0.217085,-1.713002,3.962893,0.312167,0.973660,-0.000798,-0.000969,0.194097
0.540000,4.920156,2.167102,0.226173,-1.791689,3.939311,0.301339,0.972357,-0.000909,-0.001027,0.205161
0.570000,4.865093,2.284728,0.234958,-1.870264,3.910879,0.286425,0.969549,-0.001313,-0.000513,0.216478
0.600000,4.807686,2.401483,0.243309,-1.948103,3.877459,0.264706,0.967103,-0.001711,-0.000470,0.227646
0.630000,4.747954,2.517209,0.251013,-2.024393,3.839093,0.234587,0.965282,-0.002285,-0.000058,0.238628
0.660000,4.685952,2.631751,0.257791,-2.100293,3.796929,0.198552,0.963905,-0.001698,0.001377,0.249406
0.690000,4.621705,2.744987,0.263420,-2.175259,3.752324,0.165396,0.961332,-0.001942,0.001581,0.260406
0.720000,4.555227,2.856856,0.268005,-2.250203,3.705043,0.138929,0.957500,-0.001478,-0.000274,0.271683
0.750000,4.486510,2.967273,0.271812,-2.326169,3.654890,0.115549,0.955004,-0.001595,-0.000572,0.282517
0.780000,4.415527,3.076160,0.274941,-2.402665,3.601912,0.092991,0.951519,-0.001487,-0.000643,0.293568
0.810000,4.342271,3.183430,0.277433,-2.479434,3.545875,0.065763,0.949083,-0.002982,0.000235,0.304208
0.840000,4.266733,3.289004,0.279116,-2.556359,3.488100,0.034020,0.945359,-0.001943,0.002407,0.315164
0.870000,4.188919,3.392810,0.279799,-2.632148,3.428453,0.002816,0.941969,-0.001690,0.002120,0.325935
0.900000,4.108847,3.494803,0.279520,-2.707316,3.366779,-0.026269,0.938112,-0.001695,0.000793,0.336788
0.930000,4.026524,3.594917,0.278372,-2.781921,3.302138,-0.053645,0.934486,-0.001038,0.000733,0.347458
0.960000,3.941986,3.693060,0.276397,-2.854714,3.234856,-0.078084,0.930383,-0.000953,0.000457,0.358210
0.990000,3.855284,3.789164,0.273692,-2.925501,3.164780,-0.099573,0.926305,-0.000685,-0.000011,0.368866
1.020000,3.766473,3.883142,0.270351,-2.994129,3.091455,-0.119306,0.922979,-0.000355,-0.000235,0.379122
1.050000,3.675622,3.974891,0.266436,-3.060739,3.015409,-0.138838,0.918813,-0.000407,-0.000252,0.389599
1.080000,3.582797,4.064330,0.261950,-3.125261,2.937346,-0.159283,0.914179,-0.000577,0.000022,0.400174
1.110000,3.488061,4.151404,0.256854,-3.187658,2.857902,-0.180354,0.909269,-0.000636,0.000128,0.410743
1.140000,3.391481,4.236077,0.251123,-3.247661,2.776838,-0.201107,0.904671,-0.000197,0.000323,0.421118
1.170000,3.293130,4.318290,0.244778,-3.305617,2.693657,-0.221095,0.899869,0.000167,0.000386,0.431465
1.200000,3.193072,4.397987,0.237836,-3.361861,2.608830,-0.240445,0.894983,0.000028,0.000343,0.441725
1.230000,3.091350,4.475119,0.230334,-3.416701,2.522417,-0.259534,0.889878,-0.000389,0.000194,0.451984
1.260000,2.988008,4.549643,0.222265,-3.469735,2.434528,-0.279188,0.883934,-0.000297,0.000230,0.462571
1.290000,2.883093,4.621512,0.213619,-3.520503,2.344769,-0.298973,0.879067,-0.000068,0.000419,0.472475
1.320000,2.776695,4.690663,0.204386,-3.569414,2.254102,-0.317861,0.873609,-0.000079,0.000362,0.482572
1.350000,2.668858,4.757076,0.194594,-3.617508,2.162950,-0.335887,0.867749,-0.000624,0.000019,0.492759
1.380000,2.559608,4.820733,0.184272,-3.665491,2.071619,-0.352648,0.861890,-0.000713,-0.000130,0.502834
1.410000,2.448945,4.881634,0.173467,-3.712650,1.980315,-0.369007,0.856045,-0.000716,-0.000178,0.512777
1.440000,2.336897,4.939775,0.162188,-3.759213,1.889589,-0.384906,0.850050,-0.000612,-0.000193,0.522680
1.470000,2.223489,4.995173,0.150444,-3.806232,1.800148,-0.401000,0.843902,-0.000641,-0.000122,0.532570
1.500000,2.108704,5.047869,0.138229,-3.853885,1.712956,-0.415713,0.837315,-0.000797,-0.000250,0.542573
1.530000,1.992529,5.097924,0.125579,-3.902733,1.628479,-0.428775,0.830339,-0.000515,0.000096,0.552721
1.560000,1.874919,5.145429,0.112538,-3.952443,1.547335,-0.437372,0.823743,0.000130,-0.000469,0.562494
1.590000,1.755839,5.190495,0.099260,-4.002573,1.468216,-0.442370,0.817603,-0.000195,-0.000456,0.571809
1.620000,1.635281,5.233187,0.085843,-4.052495,1.390137,-0.442937,0.810183,-0.001126,-0.002200,0.581872
1.650000,1.513170,5.273568,0.072482,-4.093790,1.306612,-0.447776,0.804384,-0.000557,-0.000760,0.590642
1.680000,1.389854,5.311435,0.058990,-4.123383,1.218607,-0.455216,0.798503,-0.000334,0.000604,0.599290
1.710000,1.265704,5.346653,0.045255,-4.144495,1.126813,-0.459572,0.792434,0.000830,0.000722,0.607889
1.740000,1.140981,5.379096,0.031401,-4.160926,1.031509,-0.460944,0.785556,0.000845,0.000683,0.616941
1.770000,1.015804,5.408666,0.017517,-4.172230,0.933883,-0.458602,0.778707,0.001062,-0.000246,0.625805
1.800000,0.890329,5.435283,0.003730,-4.182585,0.835166,-0.455370,0.771966,0.001232,-0.000674,0.634409
1.830000,0.764603,5.458919,-0.009918,-4.194552,0.736823,-0.452146,0.764400,0.001074,-0.000198,0.643526
1.860000,0.638580,5.479595,-0.023442,-4.210112,0.639777,-0.450963,0.756606,0.000520,0.000218,0.652685
1.890000,0.512129,5.497364,-0.036965,-4.228953,0.543408,-0.443655,0.748497,0.000642,-0.000918,0.661969
1.920000,0.385101,5.512239,-0.050233,-4.247576,0.446442,-0.434053,0.741104,0.000751,-0.000650,0.670461
1.950000,0.257528,5.524208,-0.063173,-4.263132,0.348210,-0.425184,0.733492,0.000669,-0.000669,0.678972
1.980000,0.129502,5.533225,-0.075813,-4.273613,0.249230,-0.418531,0.725958,0.000387,-0.000009,0.687232
2.010000,0.001196,5.539279,-0.088245,-4.280024,0.149927,-0.411937,0.718636,0.000316,0.000227,0.695097
2.040000,-0.127251,5.542355,-0.100475,-4.284378,0.049766,-0.404724,0.710777,0.000373,0.000168,0.703294
2.070000,-0.255793,5.542422,-0.112473,-4.286532,-0.051505,-0.396588,0.702744,0.000097,-0.000048,0.711478
2.100000,-0.384363,5.539451,-0.124210,-4.287973,-0.153073,-0.388004,0.694509,0.000093,0.000188,0.719688
2.130000,-0.512956,5.533433,-0.135673,-4.286207,-0.254945,-0.378260,0.686302,0.000107,0.000244,0.727687
2.160000,-0.641486,5.524359,-0.146827,-4.278319,-0.356419,-0.367796,0.678809,0.000068,0.000721,0.734720
2.190000,-0.769697,5.512244,-0.157667,-4.270594,-0.457708,-0.354744,0.669949,0.000075,0.000662,0.743048
2.220000,-0.897650,5.497094,-0.168125,-4.261751,-0.558957,-0.336448,0.661172,0.000698,0.000224,0.751102
2.250000,-1.025352,5.478907,-0.178007,-4.245682,-0.660746,-0.314553,0.653077,0.000543,-0.000088,0.758188
2.280000,-1.152559,5.457659,-0.187190,-4.221645,-0.761746,-0.292904,0.644426,0.000012,-0.000373,0.765715
2.310000,-1.279052,5.433386,-0.195695,-4.184234,-0.861299,-0.274432,0.637267,-0.000274,0.000913,0.771226
2.340000,-1.404306,5.406142,-0.203652,-4.145129,-0.958003,-0.255373,0.628461,0.000158,0.000432,0.778513
2.370000,-1.528244,5.375975,-0.211026,-4.117513,-1.050798,-0.236955,0.617814,0.000335,0.000320,0.787910
2.400000,-1.651353,5.343033,-0.217845,-4.095583,-1.139491,-0.218078,0.608358,0.000398,0.000278,0.795666
2.430000,-1.773832,5.307443,-0.224088,-4.074622,-1.223789,-0.198680,0.599712,0.000586,0.000380,0.802167
2.460000,-1.895677,5.269324,-0.229739,-4.049999,-1.303623,-0.178838,0.590705,0.000669,0.000336,0.808929
2.490000,-2.016767,5.228815,-0.234789,-4.020226,-1.378156,-0.159014,0.581793,0.000597,0.000226,0.815345
2.520000,-2.136939,5.186091,-0.239234,-3.983874,-1.449024,-0.139401,0.572474,0.000638,0.000232,0.822106
2.550000,-2.255997,5.141259,-0.243083,-3.938945,-1.516633,-0.120497,0.562930,0.000796,0.000543,0.828993
2.580000,-2.373683,5.094418,-0.246354,-3.884947,-1.582151,-0.102430,0.553603,0.000639,0.000824,0.835338
2.610000,-2.489729,5.045634,-0.249080,-3.821646,-1.646036,-0.086214,0.545334,0.000461,0.000022,0.839922
2.640000,-2.603808,4.994969,-0.251319,-3.754808,-1.712243,-0.071007,0.535700,-0.000556,-0.000107,0.846201
2.670000,-2.715779,4.942370,-0.253126,-3.694286,-1.784451,-0.052913,0.525782,0.000467,0.000039,0.852790
2.700000,-2.825807,4.887641,-0.254408,-3.651755,-1.867719,-0.029944,0.515041,0.001278,0.000369,0.860539
2.730000,-2.934498,4.830446,-0.255005,-3.629713,-1.963497,-0.001910,0.504058,0.002459,0.000315,0.868557
2.760000,-3.042597,4.770405,-0.254740,-3.614601,-2.074299,0.027977,0.496321,0.001304,0.000502,0.870974
2.790000,-3.150157,4.707157,-0.253582,-3.615065,-2.211790,0.060887,0.485515,0.001256,0.000483,0.877950
2.820000,-3.257683,4.639854,-0.251446,-3.632795,-2.382878,0.096766,0.475489,-0.000702,0.000203,0.883921
2.850000,-3.365679,4.567608,-0.248269,-3.676928,-2.609035,0.141362,0.463991,0.002259,-0.000044,0.892107
2.880000,-3.474932,4.488625,-0.243745,-3.745358,-2.897426,0.190388,0.451823,0.003786,-0.002745,0.901747
2.910000,-3.586289,4.400872,-0.237696,-3.828766,-3.234117,0.234829,0.439556,0.006722,-0.002393,0.911317
2.940000,-3.700307,4.302575,-0.230159,-3.896379,-3.556822,0.253115,0.429314,-0.000138,-0.005347,0.917350
2.970000,-3.816756,4.193716,-0.222144,-3.908023,-3.745573,0.256785,0.419147,-0.002856,-0.000802,0.922734
