timestamp,p_x,p_y,p_z,v_x,v_y,v_z,q_w,q_x,q_y,q_z
0.000000,5.500000,0.000000,0.000000,-0.000000,4.180000,0.437000,1.000000,0.000000,0.000000,0.000000
0.030000,5.498567,0.125400,0.013118,-0.095516,4.180012,0.437515,0.999949,-0.001144,-0.000912,0.009951
0.060000,5.494237,0.250981,0.026182,-0.192106,4.184155,0.435072,0.999764,-0.002001,-0.001338,0.021595
0.090000,5.489243,0.377134,0.038839,-0.250178,4.191448,0.426669,0.999597,-0.003429,-0.002013,0.028094
0.120000,5.479914,0.504947,0.050211,-0.352456,4.218889,0.405128,0.999011,-0.002480,-0.001889,0.044357
0.150000,5.469237,0.630593,0.061455,-0.433085,4.199992,0.391734,0.998616,-0.002774,-0.002263,0.052480
0.180000,5.455391,0.757519,0.070548,-0.523667,4.203607,0.363704,0.997835,-0.002409,-0.002717,0.065668
0.210000,5.437599,0.877852,0.081930,-0.627164,4.145349,0.366662,0.997170,-0.005276,-0.004810,0.074838
0.240000,5.411868,0.999411,0.091504,-0.772905,4.116708,0.351817,0.996168,-0.007639,-0.005461,0.086949
0.270000,5.386656,1.123741,0.109709,-0.873221,4.106516,0.390962,0.995268,-0.006082,-0.005235,0.096837
0.300000,5.353322,1.232378,0.125380,-1.023069,4.016403,0.400708,0.993639,-0.004061,-0.004417,0.112448
0.330000,5.313639,1.327231,0.159467,-1.187779,3.865605,0.478215,0.991718,-0.004391,0.002390,0.128339
0.360000,5.276939,1.429666,0.183049,-1.278944,3.765488,0.494055,0.990302,-0.000467,0.006530,0.138777
0.390000,5.234922,1.541230,0.198229,-1.386992,3.736165,0.469608,0.988367,0.001960,0.009759,0.151762
0.420000,5.192550,1.654004,0.215363,-1.461251,3.709416,0.469650,0.986942,0.004108,0.010590,0.160676
0.450000,5.142373,1.781823,0.232459,-1.566870,3.782594,0.460373,0.985051,0.003654,0.012981,0.171733
0.480000,5.094134,1.905043,0.253638,-1.636957,3.812917,0.479320,0.983341,0.003897,0.013511,0.181225
0.510000,5.044363,2.029968,0.269538,-1.709495,3.852387,0.462468,0.981185,0.003940,0.015147,0.192433
0.540000,4.994515,2.152083,0.286935,-1.767283,3.862484,0.458637,0.979141,0.004151,0.015899,0.202516
0.570000,4.942768,2.274633,0.301578,-1.827703,3.874597,0.438876,0.976771,0.004418,0.017077,0.213557
0.600000,4.889069,2.395061,0.316492,-1.886373,3.865720,0.424249,0.974445,0.004672,0.017886,0.223864
0.630000,4.833243,2.514987,0.329954,-1.946500,3.854457,0.403404,0.971884,0.005028,0.018809,0.234653
0.660000,4.771851,2.628114,0.324436,-2.040365,3.807349,0.325769,0.968609,0.002828,0.017098,0.247985
0.690000,4.710883,2.734302,0.325742,-2.114250,3.716153,0.294902,0.966042,0.001539,0.014246,0.257986
0.720000,4.644161,2.847756,0.326215,-2.200039,3.687221,0.243667,0.962856,0.001649,0.013921,0.269650
0.750000,4.577042,2.955583,0.326029,-2.275037,3.624637,0.202613,0.959970,0.001552,0.012686,0.279810
0.780000,4.507581,3.072086,0.314805,-2.329466,3.618710,0.120012,0.957449,-0.000077,0.011244,0.288383
0.810000,4.436989,3.188427,0.308708,-2.385435,3.623368,0.077567,0.953916,-0.000727,0.008407,0.299956
0.840000,4.368892,3.292472,0.292736,-2.432136,3.549408,-0.012452,0.951028,-0.002465,0.007199,0.309011
0.870000,4.287773,3.404745,0.286956,-2.536975,3.525251,-0.032817,0.947404,-0.002386,0.003807,0.320008
0.900000,4.207251,3.506011,0.278319,-2.631600,3.436301,-0.085611,0.944235,-0.002074,0.003845,0.329243
0.930000,4.139730,3.599456,0.237393,-2.632840,3.265368,-0.212806,0.939924,0.000765,-0.002492,0.341373
0.960000,4.059587,3.696066,0.230747,-2.710067,3.175269,-0.230270,0.936651,0.001523,-0.003735,0.350241
0.990000,3.977104,3.789910,0.223617,-2.788759,3.081027,-0.245084,0.931704,0.001644,-0.004143,0.363192
1.020000,3.892299,3.880926,0.216089,-2.864933,2.986689,-0.256738,0.928105,0.000438,-0.004675,0.372289
1.050000,3.805253,3.969182,0.208241,-2.938107,2.897038,-0.266455,0.923115,0.000790,-0.005827,0.384479
1.080000,3.716104,4.054812,0.200133,-3.005171,2.811616,-0.274109,0.918235,-0.000115,-0.004239,0.396014
1.110000,3.625025,4.137990,0.191799,-3.066768,2.733562,-0.281477,0.914516,0.001106,-0.007279,0.404482
