timestamp,p_x,p_y,p_z,v_x,v_y,v_z,q_w,q_x,q_y,q_z
0.000000,5.500000,0.000000,0.000000,-0.000000,4.180000,0.437000,1.000000,0.000000,0.000000,0.000000
0.030000,5.498572,0.125400,0.013110,-0.095174,4.179999,0.437026,0.999935,-0.000004,0.000007,0.011407
0.060000,5.494288,0.250767,0.026205,-0.190452,4.177815,0.435947,0.999740,-0.000009,0.000003,0.022811
0.090000,5.487147,0.376038,0.039246,-0.285595,4.173555,0.433424,0.999415,-0.000009,-0.000000,0.034201
0.120000,5.477154,0.501145,0.052193,-0.380591,4.166939,0.429737,0.998960,-0.000007,-0.000000,0.045598
0.150000,5.464312,0.626022,0.065016,-0.475542,4.158196,0.425115,0.998376,-0.000007,-0.000007,0.056977
0.180000,5.448628,0.750606,0.077679,-0.570122,4.147369,0.419117,0.997661,-0.000000,-0.000004,0.068360
0.210000,5.430107,0.874830,0.090144,-0.664604,4.134238,0.411876,0.996816,-0.000002,-0.000002,0.079730
0.240000,5.408756,0.998629,0.102375,-0.758760,4.119021,0.403509,0.995843,-0.000009,0.000000,0.091086
0.270000,5.384586,1.121941,0.114342,-0.852573,4.101776,0.394266,0.994740,-0.000011,0.000008,0.102434
0.300000,5.357610,1.244703,0.126012,-0.945832,4.082376,0.383748,0.993507,-0.000011,0.000002,0.113774
0.330000,5.327842,1.366850,0.137351,-1.038684,4.060742,0.372214,0.992144,-0.000010,0.000001,0.125098
0.360000,5.295296,1.488319,0.148328,-1.131093,4.037210,0.359591,0.990653,-0.000006,0.000004,0.136408
0.390000,5.259988,1.609048,0.158912,-1.222738,4.011413,0.345970,0.989033,-0.000006,-0.000005,0.147698
0.420000,5.221938,1.728975,0.169075,-1.313953,3.983728,0.331602,0.987286,-0.000001,0.000000,0.158955
0.450000,5.181161,1.848036,0.178792,-1.404531,3.953640,0.316208,0.985409,-0.000005,-0.000001,0.170206
0.480000,5.137677,1.966163,0.188033,-1.494382,3.921484,0.299830,0.983403,-0.000009,0.000001,0.181433
0.510000,5.091510,2.083295,0.196773,-1.583384,3.887350,0.282811,0.981270,-0.000011,0.000006,0.192635
0.540000,5.042685,2.199374,0.204992,-1.671631,3.851246,0.265119,0.979010,-0.000010,0.000007,0.203811
0.570000,4.991225,2.314342,0.212667,-1.759023,3.813261,0.246594,0.976623,-0.000009,0.000001,0.214960
0.600000,4.937154,2.428141,0.219775,-1.845708,3.773325,0.227242,0.974111,-0.000015,0.000006,0.226072
0.630000,4.880499,2.540710,0.226296,-1.931312,3.731282,0.207511,0.971469,-0.000014,0.000001,0.237167
0.660000,4.821289,2.651987,0.232216,-2.016000,3.687225,0.187172,0.968701,-0.000018,0.000006,0.248229
0.690000,4.759556,2.761915,0.237518,-2.099592,3.641263,0.166261,0.965810,-0.000017,0.000013,0.259253
0.720000,4.695332,2.870436,0.242184,-2.181963,3.593496,0.144821,0.962790,-0.000024,0.000014,0.270251
0.750000,4.628652,2.977497,0.246200,-2.263382,3.543904,0.122897,0.959648,-0.000027,0.000012,0.281204
0.780000,4.559547,3.083042,0.249556,-2.343609,3.492405,0.100836,0.956381,-0.000023,0.000005,0.292124
0.810000,4.488055,3.187017,0.252246,-2.422564,3.439300,0.078520,0.952988,-0.000028,0.000006,0.303008
0.840000,4.414208,3.289370,0.254264,-2.500516,3.384185,0.056000,0.949471,-0.000024,0.000004,0.313854
0.870000,4.338045,3.390042,0.255603,-2.577045,3.327339,0.033282,0.945831,-0.000022,0.000008,0.324658
0.900000,4.259605,3.488982,0.256259,-2.652293,3.268603,0.010461,0.942071,-0.000018,0.000013,0.335414
0.930000,4.178930,3.586135,0.256227,-2.726022,3.208266,-0.012623,0.938185,-0.000024,0.000013,0.346134
0.960000,4.096065,3.681454,0.255504,-2.798322,3.146380,-0.035556,0.934177,-0.000025,0.000008,0.356810
0.990000,4.011048,3.774894,0.254094,-2.869497,3.082916,-0.058446,0.930048,-0.000025,0.000016,0.367438
1.020000,3.923919,3.866406,0.252000,-2.939115,3.017938,-0.081173,0.925797,-0.000030,0.000014,0.378022
1.050000,3.834723,3.955945,0.249231,-3.007227,2.951320,-0.103421,0.921425,-0.000033,0.000017,0.388557
1.080000,3.743510,4.043463,0.245797,-3.073646,2.883204,-0.125516,0.916935,-0.000040,0.000022,0.399037
1.110000,3.650326,4.128914,0.241708,-3.138614,2.813548,-0.147112,0.912324,-0.000035,0.000030,0.409469
1.140000,3.555218,4.212254,0.236975,-3.201968,2.742422,-0.168383,0.907594,-0.000027,0.000031,0.419848
1.170000,3.458234,4.293438,0.231608,-3.263633,2.669832,-0.189398,0.902751,-0.000024,0.000038,0.430163
1.200000,3.359425,4.372423,0.225621,-3.323594,2.595859,-0.209737,0.897786,-0.000022,0.000046,0.440432
1.230000,3.258841,4.449168,0.219030,-3.382002,2.520432,-0.229698,0.892706,-0.000021,0.000049,0.450639
1.260000,3.156534,4.523630,0.211851,-3.438468,2.443700,-0.248869,0.887508,-0.000017,0.000052,0.460791
1.290000,3.052557,4.595771,0.204108,-3.493342,2.365766,-0.267370,0.882195,-0.000013,0.000045,0.470884
1.320000,2.946963,4.665555,0.195822,-3.546243,2.286483,-0.285045,0.876772,-0.000017,0.000041,0.480906
1.350000,2.839808,4.732944,0.187018,-3.597453,2.206113,-0.301841,0.871232,-0.000018,0.000046,0.490871
1.380000,2.731145,4.797905,0.177720,-3.646712,2.124598,-0.318075,0.865579,-0.000021,0.000036,0.500773
1.410000,2.621032,4.860403,0.167950,-3.694192,2.041976,-0.333216,0.859812,-0.000022,0.000044,0.510611
1.440000,2.509524,4.920409,0.157739,-3.739690,1.958370,-0.347549,0.853931,-0.000019,0.000055,0.520386
1.470000,2.396676,4.977890,0.147114,-3.783480,1.873744,-0.360775,0.847939,-0.000022,0.000052,0.530093
1.500000,2.282545,5.032820,0.136103,-3.825291,1.788239,-0.373253,0.841839,-0.000026,0.000049,0.539729
1.530000,2.167189,5.085168,0.124736,-3.865087,1.701639,-0.384603,0.835633,-0.000026,0.000059,0.549288
1.560000,2.050669,5.134905,0.113045,-3.902929,1.614156,-0.394767,0.829317,-0.000020,0.000056,0.558778
1.590000,1.933044,5.182003,0.101062,-3.938710,1.525713,-0.404093,0.822890,-0.000025,0.000055,0.568201
1.620000,1.814379,5.226438,0.088818,-3.972303,1.436598,-0.412183,0.816357,-0.000023,0.000058,0.577548
1.650000,1.694736,5.268187,0.076350,-4.003866,1.346651,-0.419012,0.809725,-0.000019,0.000055,0.586810
1.680000,1.574178,5.307230,0.063692,-4.033361,1.256218,-0.424853,0.802979,-0.000020,0.000060,0.596008
1.710000,1.452766,5.343550,0.050876,-4.060774,1.165146,-0.429577,0.796131,-0.000022,0.000064,0.605124
1.740000,1.330561,5.377129,0.037935,-4.086230,1.073432,-0.433125,0.789177,-0.000015,0.000066,0.614166
1.770000,1.207622,5.407947,0.024909,-4.109674,0.981138,-0.435255,0.782120,-0.000004,0.000066,0.623128
1.800000,1.084012,5.435987,0.011834,-4.131003,0.888178,-0.436448,0.774969,-0.000005,0.000060,0.631999
1.830000,0.959796,5.461230,-0.001260,-4.150068,0.794658,-0.436460,0.767709,-0.000006,0.000052,0.640798
1.860000,0.835038,5.483661,-0.014336,-4.167146,0.700783,-0.435290,0.760350,-0.000008,0.000054,0.649514
1.890000,0.709801,5.503272,-0.027355,-4.181941,0.606590,-0.432629,0.752897,-0.000009,0.000053,0.658138
1.920000,0.584151,5.520053,-0.040277,-4.194775,0.512157,-0.428834,0.745351,-0.000004,0.000049,0.666672
1.950000,0.458151,5.533997,-0.053068,-4.205238,0.417461,-0.423891,0.737708,-0.000011,0.000054,0.675120
1.980000,0.331868,5.545098,-0.065696,-4.213586,0.322603,-0.417991,0.729959,-0.000005,0.000055,0.683491
2.010000,0.205365,5.553351,-0.078128,-4.219960,0.227602,-0.410851,0.722118,-0.000005,0.000062,0.691770
2.040000,0.078705,5.558750,-0.090331,-4.224061,0.132307,-0.402669,0.714181,0.000001,0.000062,0.699961
2.070000,-0.048046,5.561288,-0.102272,-4.225983,0.036923,-0.393379,0.706158,0.000001,0.000053,0.708054
2.100000,-0.174821,5.560969,-0.113917,-4.225694,-0.058211,-0.382940,0.698046,0.000001,0.000063,0.716053
2.130000,-0.301557,5.557794,-0.125229,-4.223349,-0.153468,-0.371215,0.689837,0.000007,0.000060,0.723965
2.160000,-0.428187,5.551761,-0.136176,-4.218636,-0.248728,-0.358572,0.681536,0.000007,0.000062,0.731784
2.190000,-0.554642,5.542873,-0.146729,-4.211733,-0.343812,-0.344980,0.673144,0.000014,0.000056,0.739511
2.220000,-0.680859,5.531136,-0.156862,-4.202753,-0.438625,-0.330529,0.664668,0.000016,0.000053,0.747139
2.250000,-0.806774,5.516559,-0.166545,-4.191555,-0.533164,-0.315027,0.656111,0.000021,0.000053,0.754664
2.280000,-0.932321,5.499150,-0.175751,-4.178216,-0.627483,-0.298664,0.647461,0.000012,0.000050,0.762098
2.310000,-1.057433,5.478914,-0.184453,-4.162631,-0.721574,-0.281531,0.638735,0.000008,0.000055,0.769427
2.340000,-1.182051,5.455863,-0.192630,-4.145243,-0.815147,-0.263546,0.629921,0.000012,0.000061,0.776659
2.370000,-1.306110,5.430008,-0.200257,-4.125341,-0.908500,-0.244921,0.621033,0.000012,0.000057,0.783784
2.400000,-1.429543,5.401362,-0.207317,-4.103512,-1.001252,-0.225764,0.612053,0.000008,0.000056,0.790816
2.430000,-1.552287,5.369939,-0.213792,-4.079407,-1.093602,-0.205928,0.602993,0.000006,0.000052,0.797747
2.460000,-1.674281,5.335758,-0.219664,-4.053551,-1.185148,-0.185553,0.593865,0.000007,0.000056,0.804565
2.490000,-1.795466,5.298835,-0.224915,-4.025421,-1.276367,-0.164470,0.584651,0.000004,0.000058,0.811285
2.520000,-1.915778,5.259189,-0.229529,-3.995425,-1.366702,-0.143154,0.575370,0.000001,0.000066,0.817893
2.550000,-2.035158,5.216841,-0.233497,-3.963231,-1.456527,-0.121382,0.566004,0.000003,0.000060,0.824402
2.580000,-2.153543,5.171809,-0.236804,-3.929072,-1.545628,-0.099081,0.556566,-0.000006,0.000060,0.830804
2.610000,-2.270871,5.124118,-0.239441,-3.892835,-1.633772,-0.076687,0.547059,-0.000009,0.000059,0.837094
2.640000,-2.387080,5.073796,-0.241400,-3.854427,-1.721013,-0.053965,0.537487,-0.000002,0.000057,0.843272
2.670000,-2.502109,5.020868,-0.242677,-3.814181,-1.807489,-0.031142,0.527838,-0.000011,0.000055,0.849345
2.700000,-2.615899,4.965362,-0.243268,-3.771768,-1.892955,-0.008237,0.518117,-0.000018,0.000057,0.855310
2.730000,-2.728388,4.907305,-0.243171,-3.727510,-1.977460,0.014665,0.508334,-0.000014,0.000053,0.861160
2.760000,-2.839520,4.846731,-0.242387,-3.681318,-2.060809,0.037645,0.498490,-0.000020,0.000047,0.866896
2.790000,-2.949240,4.783675,-0.240918,-3.633308,-2.142959,0.060268,0.488569,-0.000020,0.000053,0.872525
2.820000,-3.057490,4.718166,-0.238770,-3.583393,-2.224273,0.082917,0.478584,-0.000014,0.000051,0.878042
2.850000,-3.164218,4.650236,-0.235947,-3.531816,-2.304425,0.105329,0.468543,-0.000016,0.000055,0.883441
2.880000,-3.269370,4.579920,-0.232457,-3.478290,-2.383301,0.127287,0.458437,-0.000007,0.000059,0.888727
2.910000,-3.372892,4.507257,-0.228311,-3.423218,-2.460871,0.149148,0.448272,-0.000003,0.000063,0.893897
2.940000,-3.474734,4.432287,-0.223516,-3.366227,-2.537179,0.170511,0.438052,-0.000002,0.000068,0.898949
2.970000,-3.574839,4.355048,-0.218089,-3.307404,-2.612095,0.191255,0.427772,0.000007,0.000067,0.903887
3.000000,-3.673154,4.275582,-0.212046,-3.246924,-2.685627,0.211652,0.417435,0.000001,0.000064,0.908707
3.030000,-3.769628,4.193927,-0.205401,-3.184721,-2.757993,0.231331,0.407042,0.000007,0.000058,0.913409
3.060000,-3.864214,4.110128,-0.198174,-3.121011,-2.828649,0.250454,0.396601,0.000009,0.000052,0.917991
3.090000,-3.956864,4.024227,-0.190383,-3.055637,-2.898084,0.268936,0.386116,0.000004,0.000059,0.922450
3.120000,-4.047531,3.936266,-0.182048,-2.988847,-2.965989,0.286737,0.375572,0.000012,0.000063,0.926793
3.150000,-4.136171,3.846291,-0.173191,-2.920500,-3.032339,0.303737,0.364981,0.000022,0.000064,0.931015
3.180000,-4.222735,3.754350,-0.163839,-2.850401,-3.097071,0.319756,0.354338,0.000028,0.000058,0.935117
3.210000,-4.307174,3.660490,-0.154016,-2.778857,-3.160248,0.335072,0.343653,0.000030,0.000056,0.939097
3.240000,-4.389448,3.564761,-0.143751,-2.706077,-3.221653,0.349292,0.332920,0.000038,0.000055,0.942955
3.270000,-4.469516,3.467211,-0.133073,-2.631837,-3.281668,0.362575,0.322147,0.000042,0.000052,0.946690
3.300000,-4.547337,3.367891,-0.122012,-2.556228,-3.339726,0.374787,0.311335,0.000042,0.000058,0.950300
3.330000,-4.622871,3.266851,-0.110600,-2.479311,-3.396240,0.386059,0.300485,0.000040,0.000054,0.953787
3.360000,-4.696076,3.164145,-0.098866,-2.401039,-3.450858,0.396168,0.289586,0.000045,0.000052,0.957152
3.390000,-4.766918,3.059827,-0.086843,-2.321802,-3.503652,0.405360,0.278660,0.000037,0.000045,0.960390
3.420000,-4.835365,2.953955,-0.074561,-2.241279,-3.554479,0.413499,0.267686,0.000043,0.000037,0.963506
3.450000,-4.901378,2.846584,-0.062051,-2.159646,-3.603585,0.420489,0.256684,0.000034,0.000034,0.966495
3.480000,-4.964926,2.737765,-0.049352,-2.076841,-3.651012,0.426092,0.245651,0.000033,0.000041,0.969358
3.510000,-5.025974,2.627554,-0.036500,-1.993017,-3.696363,0.430692,0.234587,0.000037,0.000043,0.972095
3.540000,-5.084489,2.516012,-0.023531,-1.907986,-3.739816,0.433953,0.223490,0.000039,0.000046,0.974706
3.570000,-5.140441,2.403196,-0.010480,-1.822180,-3.781206,0.436076,0.212368,0.000041,0.000048,0.977190
3.600000,-5.193803,2.289168,0.002618,-1.735242,-3.820675,0.437158,0.201217,0.000043,0.000048,0.979547
3.630000,-5.244544,2.173986,0.015729,-1.647513,-3.858150,0.436883,0.190037,0.000036,0.000056,0.981777
3.660000,-5.292644,2.057709,0.028812,-1.559143,-3.893611,0.435332,0.178830,0.000031,0.000055,0.983880
3.690000,-5.338081,1.940401,0.041835,-1.470015,-3.926935,0.432838,0.167600,0.000038,0.000052,0.985855
3.720000,-5.380831,1.822121,0.054763,-1.379999,-3.958400,0.429036,0.156354,0.000032,0.000047,0.987701
3.750000,-5.420868,1.702930,0.067557,-1.289145,-3.987698,0.423890,0.145077,0.000026,0.000052,0.989420
3.780000,-5.458172,1.582890,0.080180,-1.197776,-4.014934,0.417637,0.133796,0.000020,0.000060,0.991009
3.810000,-5.492727,1.462064,0.092599,-1.105846,-4.040148,0.410319,0.122497,0.000020,0.000065,0.992469
3.840000,-5.524514,1.340511,0.104783,-1.013312,-4.063413,0.401947,0.111174,0.000015,0.000067,0.993801
3.870000,-5.553518,1.218293,0.116701,-0.920302,-4.084396,0.392560,0.099838,0.000007,0.000060,0.995004
3.900000,-5.579728,1.095480,0.128320,-0.826997,-4.103167,0.382091,0.088482,0.000015,0.000067,0.996078
3.930000,-5.603133,0.972134,0.139606,-0.733334,-4.119904,0.370254,0.077116,0.000023,0.000073,0.997022
3.960000,-5.623719,0.848316,0.150520,-0.639079,-4.134617,0.357408,0.065743,0.000028,0.000067,0.997837
3.990000,-5.641473,0.724090,0.161039,-0.544509,-4.147112,0.343799,0.054357,0.000031,0.000071,0.998522
4.020000,-5.656386,0.599525,0.171136,-0.449707,-4.157253,0.329355,0.042968,0.000030,0.000078,0.999076
4.050000,-5.668451,0.474683,0.180783,-0.354664,-4.165503,0.313761,0.031583,0.000024,0.000076,0.999501
4.080000,-5.677662,0.349627,0.189952,-0.259370,-4.171558,0.297514,0.020189,0.000020,0.000070,0.999796
4.110000,-5.684015,0.224425,0.198621,-0.164174,-4.175243,0.280461,0.008796,0.000014,0.000062,0.999961
4.140000,-5.687511,0.099145,0.206767,-0.068891,-4.176766,0.262606,0.002600,-0.000009,-0.000065,-0.999997
4.170000,-5.688150,-0.026150,0.214365,0.026291,-4.176251,0.243903,0.013999,-0.000016,-0.000060,-0.999902
4.200000,-5.685935,-0.151395,0.221390,0.121405,-4.173442,0.224435,0.025394,-0.000010,-0.000066,-0.999678
4.230000,-5.680865,-0.276525,0.227824,0.216544,-4.168523,0.204499,0.036796,-0.000013,-0.000061,-0.999323
4.260000,-5.672945,-0.401472,0.233652,0.311516,-4.161319,0.184014,0.048186,-0.000016,-0.000061,-0.998838
4.290000,-5.662178,-0.526173,0.238857,0.406240,-4.152035,0.163031,0.059570,-0.000013,-0.000063,-0.998224
4.320000,-5.648570,-0.650562,0.243425,0.500976,-4.140592,0.141484,0.070950,-0.000014,-0.000067,-0.997480
4.350000,-5.632123,-0.774575,0.247341,0.595471,-4.126918,0.119577,0.082312,-0.000020,-0.000070,-0.996607
4.380000,-5.612847,-0.898144,0.250593,0.689590,-4.111056,0.097246,0.093673,-0.000023,-0.000064,-0.995603
4.410000,-5.590754,-1.021207,0.253174,0.783299,-4.093134,0.074785,0.105017,-0.000023,-0.000068,-0.994470
4.440000,-5.565856,-1.143703,0.255077,0.876555,-4.073265,0.052096,0.116342,-0.000017,-0.000074,-0.993209
4.470000,-5.538170,-1.265571,0.256296,0.969167,-4.051276,0.029193,0.127664,-0.000020,-0.000067,-0.991817
4.500000,-5.507712,-1.386746,0.256829,1.061367,-4.027034,0.006320,0.138962,-0.000025,-0.000063,-0.990298
4.530000,-5.474497,-1.507164,0.256677,1.152961,-4.000831,-0.016433,0.150250,-0.000024,-0.000069,-0.988648
4.560000,-5.438542,-1.626764,0.255843,1.244043,-3.972505,-0.039225,0.161511,-0.000026,-0.000074,-0.986871
4.590000,-5.399863,-1.745484,0.254323,1.334563,-3.942186,-0.062053,0.172752,-0.000025,-0.000080,-0.984965
4.620000,-5.358481,-1.863265,0.252123,1.424229,-3.909849,-0.084674,0.183974,-0.000034,-0.000082,-0.982931
