timestamp,p_x,p_y,p_z,v_x,v_y,v_z,q_w,q_x,q_y,q_z
0.000000,5.500000,0.000000,0.000000,-0.000000,4.180000,0.437000,1.000000,0.000000,0.000000,0.000000
0.030000,5.494408,0.124851,0.013408,-0.372767,4.143421,0.456843,0.999765,0.000824,0.004605,0.021153
0.060000,5.479925,0.248681,0.027304,-0.592819,4.111920,0.469585,0.999674,0.000797,0.001703,0.025446
0.090000,5.460017,0.371667,0.041396,-0.734358,4.087102,0.469843,0.998732,0.000019,-0.000720,0.050344
0.120000,5.436359,0.494015,0.055421,-0.842845,4.069430,0.465219,0.998512,-0.000974,0.000456,0.054527
0.150000,5.409764,0.616140,0.069313,-0.930157,4.072242,0.460882,0.997724,0.000549,-0.000117,0.067424
0.180000,5.380797,0.738441,0.083048,-1.000974,4.081199,0.454778,0.997064,0.000936,0.000555,0.076562
0.210000,5.349868,0.861085,0.096580,-1.060982,4.095008,0.447380,0.996106,0.001693,0.000269,0.088144
0.240000,5.317236,0.984149,0.109863,-1.114437,4.109279,0.438142,0.995201,0.001834,0.000838,0.097834
0.270000,5.283047,1.107624,0.122844,-1.164854,4.122376,0.427268,0.994025,0.002099,0.000528,0.109132
0.300000,5.247341,1.231426,0.135472,-1.215550,4.131114,0.414557,0.992847,0.002109,0.000624,0.119372
0.330000,5.210074,1.355414,0.147698,-1.268920,4.134725,0.400512,0.991472,0.002138,0.000484,0.130303
0.360000,5.171147,1.479409,0.159483,-1.326202,4.131647,0.385185,0.990055,0.002040,0.000491,0.140664
0.390000,5.130437,1.603209,0.170795,-1.387802,4.121662,0.368945,0.988505,0.001916,0.000430,0.151175
0.420000,5.087798,1.726621,0.181612,-1.454831,4.105783,0.352153,0.987102,0.001514,0.000609,0.160082
0.450000,5.043065,1.849461,0.191913,-1.527307,4.083606,0.334618,0.985237,0.001261,0.000294,0.171192
0.480000,4.996090,1.971516,0.201670,-1.604419,4.053378,0.315846,0.983234,0.001090,0.000204,0.182346
0.510000,4.946744,2.092590,0.210855,-1.685316,4.018237,0.296518,0.981190,0.000948,0.000170,0.193042
0.540000,4.894930,2.212564,0.219454,-1.768909,3.979989,0.276702,0.978975,0.000891,0.000119,0.203977
0.570000,4.840579,2.331349,0.227451,-1.854517,3.939045,0.256465,0.976672,0.000874,0.000128,0.214736
0.600000,4.783647,2.448880,0.234840,-1.940938,3.896356,0.236093,0.974257,0.000968,0.000268,0.225437
0.630000,4.724120,2.565109,0.241615,-2.027537,3.852201,0.215595,0.971737,0.001093,0.000357,0.236064
0.660000,4.661999,2.679987,0.247773,-2.113825,3.806360,0.194934,0.969156,0.001134,0.000292,0.246447
0.690000,4.597300,2.793465,0.253305,-2.199485,3.758860,0.173876,0.966254,0.001198,0.000364,0.257588
0.720000,4.530055,2.905498,0.258197,-2.283472,3.709989,0.152277,0.963412,0.001254,0.000483,0.268022
0.750000,4.460324,3.016056,0.262435,-2.365270,3.660515,0.130252,0.960339,0.001256,0.000493,0.278832
0.780000,4.388171,3.125114,0.265998,-2.444977,3.610066,0.107262,0.957200,0.001203,0.000455,0.289426
0.810000,4.313661,3.232643,0.268859,-2.522341,3.558541,0.083465,0.953919,0.001071,0.000297,0.300063
0.840000,4.236861,3.338608,0.270990,-2.597627,3.505757,0.058584,0.950546,0.001030,0.000239,0.310583
0.870000,4.157833,3.442968,0.272365,-2.670915,3.451554,0.033118,0.947085,0.001065,0.000096,0.320980
0.900000,4.076634,3.545675,0.272969,-2.742383,3.395639,0.007115,0.943434,0.001030,0.000179,0.331560
0.930000,3.993321,3.646672,0.272786,-2.811771,3.337469,-0.019306,0.939702,0.000988,0.000150,0.341994
0.960000,3.907948,3.745890,0.271811,-2.879792,3.277076,-0.045674,0.935851,0.000958,0.000158,0.352394
0.990000,3.820554,3.843257,0.270050,-2.946477,3.214055,-0.071720,0.931957,0.000936,0.000287,0.362567
1.020000,3.731175,3.938693,0.267518,-3.012130,3.148330,-0.097119,0.927772,0.001197,0.000165,0.373145
1.050000,3.639842,4.032106,0.264231,-3.076710,3.079181,-0.121997,0.923555,0.001173,0.000266,0.383465
1.080000,3.546588,4.123408,0.260211,-3.140241,3.007646,-0.146016,0.919248,0.001263,0.000185,0.393677
1.110000,3.451449,4.212529,0.255481,-3.202322,2.933721,-0.169299,0.914729,0.001302,0.000178,0.404066
1.140000,3.354472,4.299403,0.250065,-3.262844,2.857937,-0.191794,0.910194,0.001363,0.000096,0.414180
1.170000,3.255702,4.383979,0.243985,-3.321801,2.780436,-0.213540,0.905439,0.001420,0.000036,0.424474
1.200000,3.155193,4.466206,0.237261,-3.378795,2.701356,-0.234684,0.900654,0.001480,-0.000045,0.434534
1.230000,3.053001,4.546038,0.229916,-3.434005,2.620818,-0.255022,0.895690,0.001538,-0.000113,0.444676
1.260000,2.949184,4.623433,0.221971,-3.487159,2.538818,-0.274649,0.890649,0.001602,-0.000212,0.454689
1.290000,2.843798,4.698348,0.213447,-3.538587,2.455510,-0.293562,0.885453,0.001666,-0.000291,0.464726
1.320000,2.736896,4.770742,0.204370,-3.588209,2.370736,-0.311608,0.880160,0.001740,-0.000384,0.474673
1.350000,2.628530,4.840573,0.194766,-3.636197,2.284700,-0.328664,0.874721,0.001825,-0.000457,0.484624
1.380000,2.518751,4.907804,0.184663,-3.682380,2.197388,-0.344855,0.869181,0.001945,-0.000522,0.494490
1.410000,2.407613,4.972396,0.174090,-3.726832,2.108708,-0.360017,0.863506,0.002035,-0.000602,0.504335
1.440000,2.295169,5.034305,0.163079,-3.769419,2.018548,-0.374044,0.857710,0.002108,-0.000711,0.514129
1.470000,2.181470,5.093492,0.151663,-3.810525,1.927251,-0.386996,0.851785,0.002145,-0.000817,0.523887
1.500000,2.066563,5.149919,0.139876,-3.849956,1.834555,-0.398858,0.845722,0.002148,-0.000933,0.533618
1.530000,1.950494,5.203546,0.127748,-3.887974,1.740572,-0.409665,0.839549,0.002221,-0.001087,0.543279
1.560000,1.833307,5.254332,0.115310,-3.924482,1.645158,-0.419501,0.833256,0.002281,-0.001170,0.552882
1.590000,1.715048,5.302242,0.102595,-3.959438,1.548854,-0.428178,0.826838,0.002337,-0.001289,0.562433
1.620000,1.595763,5.347250,0.089633,-3.992933,1.451687,-0.435940,0.820299,0.002367,-0.001399,0.571928
1.650000,1.475490,5.389330,0.076456,-4.025220,1.353672,-0.442518,0.813591,0.002367,-0.001545,0.581431
1.680000,1.354270,5.428462,0.063097,-4.056157,1.255068,-0.448099,0.806785,0.002347,-0.001647,0.590838
1.710000,1.232143,5.464632,0.049588,-4.085617,1.156267,-0.452489,0.799886,0.002312,-0.001763,0.600145
1.740000,1.109154,5.497834,0.035967,-4.113676,1.057241,-0.455622,0.792855,0.002247,-0.001922,0.609403
1.770000,0.985348,5.528064,0.022270,-4.140031,0.958092,-0.457526,0.785711,0.002137,-0.002005,0.618587
1.800000,0.860773,5.555321,0.008535,-4.164945,0.859045,-0.458125,0.778472,0.001961,-0.002112,0.627672
1.830000,0.735477,5.579608,-0.005193,-4.188127,0.760070,-0.457087,0.771080,0.001677,-0.002267,0.636732
1.860000,0.609510,5.600927,-0.018866,-4.209686,0.661221,-0.454414,0.763526,0.001295,-0.002407,0.645771
1.890000,0.482924,5.619284,-0.032431,-4.229386,0.562528,-0.449944,0.755814,0.000824,-0.002434,0.654781
1.920000,0.355776,5.634679,-0.045841,-4.247125,0.463843,-0.444016,0.748120,0.000682,-0.002611,0.663557
1.950000,0.228122,5.647112,-0.059054,-4.263184,0.365027,-0.436887,0.740362,0.000642,-0.002720,0.672202
1.980000,0.100010,5.656575,-0.072039,-4.277595,0.265829,-0.428782,0.732510,0.000665,-0.002741,0.680750
2.010000,-0.028505,5.663056,-0.084767,-4.290094,0.166253,-0.419701,0.724559,0.000751,-0.002691,0.689207
2.040000,-0.157368,5.666547,-0.097209,-4.300753,0.066461,-0.409773,0.716517,0.000923,-0.002574,0.697564
2.070000,-0.286521,5.667044,-0.109339,-4.309460,-0.033303,-0.398920,0.708401,0.001231,-0.002405,0.705805
2.100000,-0.415906,5.664554,-0.121137,-4.316217,-0.132752,-0.387610,0.700255,0.001744,-0.002183,0.713887
2.130000,-0.545464,5.659084,-0.132595,-4.320957,-0.231863,-0.376266,0.692199,0.002575,-0.001927,0.721699
2.160000,-0.675133,5.650662,-0.143700,-4.323680,-0.329631,-0.364082,0.683946,0.002968,-0.001441,0.729525
2.190000,-0.804850,5.639344,-0.154413,-4.324062,-0.424917,-0.350074,0.675526,0.002986,-0.001108,0.737329
2.220000,-0.934540,5.625200,-0.164679,-4.321938,-0.517989,-0.334328,0.667007,0.002972,-0.000955,0.745045
2.250000,-1.064122,5.608291,-0.174446,-4.316908,-0.609259,-0.316802,0.658173,0.002857,-0.000955,0.752861
2.280000,-1.193511,5.588670,-0.183666,-4.309037,-0.698838,-0.297882,0.649598,0.002889,-0.000971,0.760271
2.310000,-1.322618,5.566383,-0.192297,-4.298075,-0.786967,-0.277544,0.640833,0.002780,-0.001123,0.767674
2.340000,-1.451349,5.541468,-0.200296,-4.284014,-0.874043,-0.255730,0.631940,0.002437,-0.001399,0.775012
2.370000,-1.579611,5.513956,-0.207627,-4.266784,-0.960091,-0.232968,0.623230,0.002546,-0.001613,0.782032
2.400000,-1.707302,5.483873,-0.214261,-4.245952,-1.045451,-0.209294,0.614417,0.002578,-0.001660,0.788976
2.430000,-1.834307,5.451243,-0.220170,-4.220996,-1.129828,-0.184656,0.605247,0.002301,-0.001713,0.796033
2.460000,-1.960503,5.416096,-0.225326,-4.192079,-1.213310,-0.159094,0.596258,0.002342,-0.001737,0.802787
2.490000,-2.085772,5.378458,-0.229709,-4.159218,-1.295934,-0.133061,0.587035,0.002124,-0.001724,0.809557
2.520000,-2.209998,5.338346,-0.233309,-4.122503,-1.378204,-0.106932,0.577831,0.001849,-0.001848,0.816152
2.550000,-2.333061,5.295755,-0.236129,-4.081705,-1.461178,-0.081130,0.568392,0.001882,-0.002250,0.822753
2.580000,-2.454836,5.250657,-0.238188,-4.036606,-1.545377,-0.056113,0.559009,0.001594,-0.002271,0.829157
2.610000,-2.575196,5.203017,-0.239502,-3.987434,-1.630578,-0.031463,0.549373,0.001566,-0.002295,0.835572
2.640000,-2.694021,5.152813,-0.240080,-3.934203,-1.716343,-0.007094,0.539781,0.001341,-0.002159,0.841802
2.670000,-2.811196,5.100033,-0.239931,-3.877478,-1.802335,0.017049,0.529969,0.001251,-0.002111,0.848014
2.700000,-2.926620,5.044677,-0.239064,-3.817464,-1.888079,0.040732,0.520178,0.001055,-0.001983,0.854055
2.730000,-3.040198,4.986756,-0.237494,-3.754400,-1.973347,0.063964,0.510176,0.000942,-0.001911,0.860067
2.760000,-3.151848,4.926290,-0.235233,-3.688918,-2.057696,0.086714,0.500161,0.000804,-0.001750,0.865930
2.790000,-3.261503,4.863313,-0.232294,-3.621426,-2.140744,0.109226,0.489863,0.000793,-0.001589,0.871797
2.820000,-3.369103,4.797868,-0.228684,-3.551900,-2.222293,0.131454,0.479802,0.000531,-0.001252,0.877376
2.850000,-3.474590,4.730001,-0.224407,-3.480555,-2.302168,0.153697,0.469212,0.000527,-0.001227,0.883085
2.880000,-3.577913,4.659766,-0.219465,-3.407627,-2.380147,0.175795,0.459032,0.000379,-0.000939,0.888419
2.910000,-3.679031,4.587231,-0.213859,-3.333621,-2.455521,0.197892,0.448117,0.000509,-0.000647,0.893975
2.940000,-3.777904,4.512467,-0.207586,-3.257873,-2.528767,0.220344,0.437854,0.000265,-0.000394,0.899046
2.970000,-3.874476,4.435527,-0.200636,-3.180249,-2.600540,0.242991,0.426740,0.000279,-0.000340,0.904374
