timestamp,p_x,p_y,p_z,v_x,v_y,v_z,q_w,q_x,q_y,q_z
0.000000,5.500000,0.000000,0.000000,-0.000000,4.180000,0.437000,1.000000,0.000000,0.000000,0.000000
0.030000,5.498571,0.125389,0.013104,-0.095296,4.178914,0.436399,0.999935,0.000000,0.000000,0.011400
0.060000,5.494283,0.250713,0.026172,-0.190542,4.175655,0.434599,0.999740,0.000000,0.000000,0.022798
0.090000,5.487139,0.375907,0.039168,-0.285689,4.170226,0.431603,0.999415,0.000000,0.000000,0.034193
0.120000,5.477143,0.500905,0.052056,-0.380688,4.162629,0.427421,0.998961,0.000000,0.000000,0.045584
0.150000,5.464300,0.625643,0.064801,-0.475489,4.152868,0.422064,0.998376,0.000000,0.000000,0.056969
0.180000,5.448616,0.750055,0.077369,-0.570042,4.140948,0.415547,0.997662,0.000000,0.000000,0.068347
0.210000,5.430100,0.874078,0.089723,-0.664299,4.126876,0.407887,0.996818,0.000000,0.000000,0.079715
0.240000,5.408762,0.997647,0.101831,-0.758211,4.110659,0.399105,0.995844,0.000000,0.000000,0.091074
0.270000,5.384611,1.120696,0.113658,-0.851729,4.092305,0.389227,0.994741,0.000000,0.000000,0.102420
0.300000,5.357662,1.243164,0.125173,-0.944804,4.071823,0.378278,0.993509,0.000000,0.000000,0.113753
0.330000,5.327928,1.364985,0.136344,-1.037388,4.049225,0.366289,0.992148,0.000000,0.000000,0.125072
0.360000,5.295424,1.486096,0.147141,-1.129433,4.024522,0.353293,0.990657,0.000000,0.000000,0.136374
0.390000,5.260168,1.606435,0.157532,-1.220891,3.997728,0.339326,0.989038,0.000000,0.000000,0.147658
0.420000,5.222177,1.725939,0.167491,-1.311714,3.968855,0.324426,0.987291,0.000000,0.000000,0.158923
0.450000,5.181472,1.844546,0.176989,-1.401855,3.937919,0.308634,0.985415,0.000000,0.000000,0.170168
0.480000,5.138073,1.962194,0.186001,-1.491267,3.904936,0.291994,0.983411,0.000000,0.000000,0.181390
0.510000,5.092004,2.078821,0.194501,-1.579904,3.869923,0.274550,0.981279,0.000000,0.000000,0.192589
0.540000,5.043287,2.194369,0.202466,-1.667720,3.832898,0.256352,0.979020,0.000000,0.000000,0.203763
0.570000,4.991949,2.308775,0.209875,-1.754669,3.793881,0.237449,0.976634,0.000000,0.000000,0.214910
0.600000,4.938016,2.421982,0.216706,-1.840706,3.752892,0.217893,0.974120,0.000000,0.000000,0.226030
0.630000,4.881516,2.533929,0.222942,-1.925786,3.709952,0.197738,0.971480,0.000000,0.000000,0.237120
0.660000,4.822479,2.644560,0.228565,-2.009865,3.665084,0.177040,0.968714,0.000000,0.000000,0.248179
0.690000,4.760935,2.753815,0.233560,-2.092900,3.618310,0.155855,0.965822,0.000000,0.000000,0.259206
0.720000,4.696916,2.861640,0.237912,-2.174846,3.569656,0.134241,0.962804,0.000000,0.000000,0.270199
0.750000,4.630455,2.967976,0.241611,-2.255662,3.519146,0.112258,0.959662,0.000000,0.000000,0.281157
0.780000,4.561588,3.072770,0.244645,-2.335305,3.466807,0.089967,0.956394,0.000000,0.000000,0.292079
0.810000,4.490349,3.175967,0.247006,-2.413735,3.412665,0.067428,0.953002,0.000000,0.000000,0.302963
0.840000,4.416776,3.277512,0.248688,-2.490909,3.356750,0.044704,0.949487,0.000000,0.000000,0.313807
0.870000,4.340908,3.377354,0.249687,-2.566789,3.299090,0.021857,0.945848,0.000000,0.000000,0.324611
0.900000,4.262782,3.475441,0.249999,-2.641335,3.239715,-0.001050,0.942086,0.000000,0.000000,0.335372
0.930000,4.182441,3.571720,0.249624,-2.714507,3.178655,-0.023955,0.938201,0.000000,0.000000,0.346090
0.960000,4.099926,3.666143,0.248563,-2.786269,3.115944,-0.046793,0.934195,0.000000,0.000000,0.356762
0.990000,4.015280,3.758661,0.246818,-2.856582,3.051612,-0.069503,0.930067,0.000000,0.000000,0.367389
1.020000,3.928546,3.849224,0.244394,-2.925410,2.985695,-0.092022,0.925819,0.000000,0.000000,0.377968
