timestamp,p_x,p_y,p_z,v_x,v_y,v_z,q_w,q_x,q_y,q_z
0.000000,5.500000,0.000000,0.000000,-0.000000,4.180000,0.437000,1.000000,0.000000,0.000000,0.000000
0.030000,5.496573,0.126967,0.012521,-0.493305,4.296708,0.325968,1.214363,0.000742,-0.000869,0.004154
0.060000,5.478998,0.256569,0.021806,-0.809245,4.315909,0.277205,1.142587,0.000766,-0.002079,0.019900
0.090000,5.452288,0.386364,0.029753,-0.995692,4.281574,0.270288,1.119886,0.001556,-0.002560,0.029285
0.120000,5.420205,0.514898,0.037566,-1.082075,4.220457,0.293586,1.116429,0.002362,-0.002556,0.039978
0.150000,5.385814,0.641399,0.046158,-1.106102,4.154627,0.334875,1.046314,-0.000499,-0.003842,0.054240
0.180000,5.350967,0.765755,0.056028,-1.104478,4.104581,0.384972,1.038053,-0.001005,-0.005744,0.066319
0.210000,5.316292,0.888570,0.067478,-1.095706,4.071134,0.430605,1.019388,-0.000761,-0.004128,0.077966
0.240000,5.281927,1.010346,0.080261,-1.081535,4.054348,0.475408,1.015117,-0.002111,-0.005518,0.089271
0.270000,5.248105,1.131496,0.094413,-1.080127,4.069145,0.513374,1.030949,-0.002021,-0.005329,0.101997
0.300000,5.214358,1.253242,0.109761,-1.092592,4.090428,0.534303,1.015062,-0.001536,-0.004606,0.113139
0.330000,5.180281,1.375724,0.125842,-1.123182,4.099666,0.522467,1.014458,0.000440,-0.000653,0.122285
0.360000,5.145285,1.498373,0.141441,-1.164033,4.107176,0.494614,1.015380,-0.001227,-0.001957,0.133039
0.390000,5.109008,1.621180,0.156171,-1.210481,4.120501,0.451948,1.010946,0.001424,0.000173,0.144604
0.420000,5.071298,1.744356,0.169552,-1.251591,4.135219,0.403634,1.013058,-0.000762,-0.000049,0.154940
0.450000,5.032391,1.867975,0.181402,-1.293403,4.151320,0.358038,1.017240,0.001209,-0.000381,0.164627
0.480000,4.992313,1.992103,0.191899,-1.345816,4.158273,0.310925,1.003180,0.001232,0.000462,0.177906
0.510000,4.950710,2.116472,0.200952,-1.411252,4.146370,0.266149,1.008101,0.003479,0.002471,0.187330
0.540000,4.907251,2.240577,0.208556,-1.500489,4.098686,0.237102,0.998682,-0.001156,-0.001093,0.199717
0.570000,4.861060,2.363155,0.215290,-1.612158,4.029835,0.220099,0.996132,-0.002904,-0.001897,0.210665
0.600000,4.811476,2.483574,0.221524,-1.739074,3.949507,0.212324,1.009128,0.000726,-0.002032,0.218297
0.630000,4.758051,2.601487,0.227630,-1.874117,3.863010,0.199081,0.994464,-0.001423,-0.001401,0.231749
0.660000,4.700518,2.716764,0.233388,-2.006569,3.773881,0.173165,1.003759,-0.008212,-0.000973,0.239252
0.690000,4.639014,2.829311,0.238250,-2.138278,3.699331,0.149982,0.995602,-0.002279,-0.000296,0.252030
0.720000,4.573529,2.939563,0.242397,-2.257754,3.628687,0.130428,0.981007,-0.002841,-0.001255,0.265403
0.750000,4.504439,3.047717,0.245988,-2.362349,3.556509,0.108988,0.983346,-0.002818,0.000257,0.274604
0.780000,4.432191,3.153733,0.248895,-2.445159,3.477903,0.092163,0.998031,-0.003338,0.000089,0.275293
0.810000,4.357581,3.257118,0.251217,-2.525039,3.432808,0.089517,0.966054,-0.001529,-0.002537,0.298902
0.840000,4.280606,3.359204,0.253591,-2.600574,3.393846,0.081559,0.961323,-0.002232,-0.001466,0.309941
0.870000,4.201404,3.460168,0.255748,-2.673037,3.357330,0.066344,0.962158,-0.004080,-0.001588,0.318978
0.900000,4.120057,3.560055,0.257450,-2.746761,3.320574,0.043646,0.955017,-0.002022,-0.000930,0.330822
0.930000,4.036491,3.658810,0.258463,-2.814193,3.279586,0.013697,0.959431,-0.003010,-0.000156,0.338101
0.960000,3.950911,3.756277,0.258531,-2.876252,3.244995,-0.015961,0.949460,-0.002575,-0.001132,0.351042
0.990000,3.863478,3.852710,0.257734,-2.931579,3.208706,-0.049424,0.952108,-0.002303,-0.000190,0.358883
1.020000,3.774435,3.948012,0.255912,-2.984192,3.177375,-0.082926,0.938623,-0.000499,-0.000473,0.372825
1.050000,3.683863,4.042449,0.253122,-3.034952,3.131436,-0.120751,0.934956,-0.001776,0.001245,0.382863
1.080000,3.591782,4.135540,0.249110,-3.082142,3.069229,-0.149894,0.931575,-0.001977,-0.002121,0.392693
1.110000,3.498243,4.226794,0.244265,-3.123617,2.981341,-0.176631,0.938816,-0.000828,-0.000239,0.397795
1.140000,3.403524,4.315373,0.238613,-3.163497,2.873431,-0.198537,0.943626,-0.001255,-0.000598,0.401723
1.170000,3.307773,4.400517,0.232298,-3.224173,2.771158,-0.214565,0.925000,0.000248,-0.000623,0.419830
1.200000,3.210217,4.482575,0.225520,-3.296850,2.665723,-0.225563,0.928054,0.000907,-0.001173,0.425727
1.230000,3.110535,4.561324,0.218458,-3.390909,2.576614,-0.237441,0.928156,0.000612,-0.001371,0.433134
1.260000,3.008031,4.637361,0.211072,-3.501751,2.506285,-0.252421,0.901892,0.000174,0.000426,0.453466
1.290000,2.902146,4.711347,0.203220,-3.609814,2.440789,-0.265890,0.895344,-0.000968,-0.000471,0.464265
