timestamp,p_x,p_y,p_z,v_x,v_y,v_z,q_w,q_x,q_y,q_z
0.000000,5.500000,0.000000,0.000000,-0.000000,4.180000,0.437000,1.000000,0.000000,0.000000,0.000000
0.030000,5.498128,0.125810,0.012450,-0.174404,4.187861,0.361372,1.128915,0.000618,0.000005,0.009858
0.060000,5.491221,0.251588,0.022833,-0.318711,4.171054,0.340615,0.996140,-0.000079,0.000113,0.022913
0.090000,5.480101,0.376675,0.032753,-0.450448,4.148436,0.351142,0.986559,0.000210,-0.000898,0.034643
0.120000,5.465062,0.500968,0.043109,-0.577426,4.130143,0.372973,1.004544,0.000519,-0.001387,0.045198
0.150000,5.446178,0.624667,0.054199,-0.695019,4.118539,0.393112,0.994702,0.000011,-0.000004,0.057164
0.180000,5.423665,0.748036,0.065901,-0.786254,4.107143,0.410231,0.996963,-0.001694,-0.001375,0.068371
0.210000,5.398433,0.870996,0.078136,-0.855377,4.102753,0.419994,1.006376,0.000523,-0.000240,0.078959
0.240000,5.371251,0.993702,0.090636,-0.914906,4.115251,0.425756,0.990172,-0.001383,-0.000770,0.091567
0.270000,5.342311,1.116771,0.103282,-0.968677,4.145128,0.428038,0.993933,-0.002100,-0.000392,0.102466
0.300000,5.311891,1.240740,0.115941,-1.032145,4.189610,0.433164,0.996310,-0.002491,-0.000795,0.113341
0.330000,5.279663,1.366206,0.128738,-1.117590,4.224852,0.441237,0.990911,-0.002662,-0.003541,0.125201
0.360000,5.244712,1.492695,0.141839,-1.205505,4.250790,0.441138,0.988396,-0.001288,0.000648,0.136676
0.390000,5.207086,1.620011,0.154904,-1.279467,4.255993,0.438172,0.986777,-0.000839,0.000271,0.147991
0.420000,5.167171,1.747732,0.167907,-1.330055,4.203258,0.426815,0.991419,-0.000726,-0.003108,0.158260
0.450000,5.125839,1.873613,0.180566,-1.374991,4.123677,0.402806,0.984472,-0.000630,-0.000954,0.170332
0.480000,5.083339,1.996904,0.192470,-1.430189,4.039068,0.371392,0.982583,-0.002156,-0.000515,0.181543
0.510000,5.039254,2.117583,0.203371,-1.504458,3.957717,0.338370,0.980984,0.000760,-0.001327,0.192639
0.540000,4.992896,2.235708,0.213299,-1.590859,3.883265,0.299269,0.979427,-0.000614,-0.000082,0.203678
0.570000,4.943928,2.351560,0.222006,-1.683018,3.819695,0.258888,0.981191,-0.000397,-0.000999,0.213914
0.600000,4.892135,2.465493,0.229513,-1.773198,3.763082,0.213635,0.974458,-0.001932,0.000964,0.225935
0.630000,4.837637,2.577726,0.235567,-1.855134,3.710774,0.177057,0.977353,-0.002327,-0.000063,0.235632
0.660000,4.780703,2.688369,0.240448,-1.933109,3.662207,0.156802,0.968911,-0.001390,0.000528,0.248096
0.690000,4.721488,2.797518,0.244650,-2.009967,3.614864,0.161820,0.965474,-0.001067,0.000368,0.259275
0.720000,4.659992,2.905226,0.248970,-2.087891,3.567618,0.196255,0.961587,-0.000343,-0.007885,0.270526
0.750000,4.596129,3.011486,0.254707,-2.174045,3.516699,0.203410,0.957908,-0.000635,-0.001016,0.281661
0.780000,4.529746,3.116221,0.260764,-2.258914,3.462899,0.175214,0.956524,-0.000247,0.001245,0.292032
0.810000,4.460848,3.219323,0.266008,-2.344952,3.405156,0.105976,0.951042,-0.001155,0.007953,0.303571
0.840000,4.389413,3.320684,0.268874,-2.426277,3.344542,0.038566,0.953314,-0.001209,0.006901,0.312464
0.870000,4.315544,3.420167,0.269428,-2.507533,3.286003,0.007814,0.944461,-0.001014,0.000285,0.325078
0.900000,4.239198,3.517857,0.269186,-2.589358,3.225126,-0.006902,0.943939,-0.001785,0.000613,0.334695
0.930000,4.160433,3.613691,0.268598,-2.671969,3.166590,-0.017407,0.937725,-0.001696,0.000945,0.346268
0.960000,4.079218,3.707761,0.267762,-2.755149,3.106855,-0.032728,0.934292,-0.001145,0.000864,0.356728
0.990000,3.995511,3.800018,0.266492,-2.836454,3.044802,-0.054310,0.931158,-0.001943,0.001670,0.366939
1.020000,3.909395,3.890387,0.264521,-2.915570,2.982811,-0.074709,0.924695,-0.000916,0.000043,0.378422
1.050000,3.820915,3.978862,0.262013,-2.992732,2.918423,-0.104083,0.919465,-0.000937,0.000747,0.389324
1.080000,3.730136,4.065396,0.258667,-3.065849,2.850842,-0.146495,0.915249,-0.000100,0.003836,0.399712
1.110000,3.637193,4.149903,0.253919,-3.131535,2.778199,-0.183360,0.910594,-0.000513,0.002046,0.410189
1.140000,3.542275,4.232212,0.248040,-3.190821,2.698851,-0.211031,0.906833,-0.001182,0.000252,0.420139
1.170000,3.445593,4.312120,0.241393,-3.244241,2.613701,-0.237556,0.902690,-0.000729,0.001058,0.430132
