timestamp,p_x,p_y,p_z,v_x,v_y,v_z,q_w,q_x,q_y,q_z
0.000000,5.500000,0.000000,0.000000,-0.000000,4.180000,0.437000,1.000000,0.000000,0.000000,0.000000
0.030000,5.498620,0.125440,0.013111,-0.091996,4.182696,0.437070,0.999888,-0.001396,0.000116,0.014882
0.060000,5.494382,0.250472,0.026260,-0.188739,4.169586,0.437412,0.999723,-0.003741,0.000263,0.023231
0.090000,5.487617,0.375736,0.039009,-0.277920,4.171731,0.428915,0.999363,-0.005131,0.001708,0.035269
0.120000,5.479660,0.500245,0.054203,-0.353161,4.153588,0.456812,0.999175,-0.001215,-0.001028,0.040581
0.150000,5.469328,0.630576,0.068091,-0.424577,4.220137,0.448909,0.998125,-0.003243,0.003618,0.061016
0.180000,5.449491,0.746270,0.089191,-0.572866,4.107739,0.505393,0.997601,-0.001130,0.006501,0.068913
0.210000,5.432378,0.865943,0.109728,-0.651979,4.076215,0.538836,0.996455,-0.000873,0.007868,0.083756
0.240000,5.419596,0.976532,0.134548,-0.674865,3.990251,0.588906,0.995238,-0.001858,0.009868,0.096955
0.270000,5.405925,1.075456,0.159203,-0.713999,3.863371,0.623817,0.993309,0.000268,0.011156,0.114944
0.300000,5.381131,1.171232,0.185229,-0.838015,3.724226,0.651105,0.991691,-0.000717,0.014120,0.127860
0.330000,5.344642,1.308210,0.179719,-0.981600,3.826284,0.522318,0.990824,-0.000095,0.008419,0.134896
0.360000,5.302549,1.448780,0.170308,-1.133459,3.926345,0.388027,0.989749,0.000971,0.005431,0.142711
0.390000,5.256011,1.588967,0.167755,-1.280796,4.001635,0.307031,0.988640,0.004059,0.004682,0.150176
0.420000,5.203264,1.724569,0.158542,-1.439374,4.042306,0.217243,0.987464,0.004797,0.001511,0.157762
0.450000,5.146099,1.852929,0.151443,-1.596477,4.042167,0.152835,0.986001,0.005870,-0.001443,0.166628
0.480000,5.088237,1.969070,0.148166,-1.739528,3.985096,0.109780,0.983781,0.004673,-0.003262,0.179283
0.510000,5.036572,2.082374,0.150221,-1.814453,3.908665,0.095829,0.982200,0.004296,-0.005162,0.187716
0.540000,4.973285,2.202134,0.149254,-1.945376,3.892248,0.069330,0.979750,0.003898,-0.006734,0.200073
0.570000,4.919275,2.317079,0.151852,-2.003657,3.840312,0.058075,0.977886,0.003795,-0.007999,0.208953
0.600000,4.856865,2.436768,0.152130,-2.100936,3.835323,0.036654,0.975215,0.003426,-0.009013,0.221048
0.630000,4.801311,2.549182,0.149949,-2.147116,3.777422,0.003540,0.973155,0.000768,-0.009908,0.229936
0.660000,4.737517,2.669516,0.147853,-2.228161,3.789883,-0.008300,0.970152,0.001732,-0.013515,0.242114
0.690000,4.679640,2.779704,0.150161,-2.267641,3.725450,-0.031780,0.967783,0.001668,-0.011700,0.251508
0.720000,4.614084,2.897275,0.151313,-2.335357,3.729026,-0.034249,0.964469,0.001677,-0.013754,0.263832
0.750000,4.552323,3.004062,0.152522,-2.376480,3.653614,-0.054835,0.961844,0.001288,-0.012750,0.273298
0.780000,4.483551,3.118469,0.152611,-2.438348,3.648757,-0.062676,0.958229,0.001083,-0.014199,0.285646
0.810000,4.417939,3.221345,0.152867,-2.481893,3.561573,-0.081850,0.955397,0.000816,-0.013528,0.295014
0.840000,4.344972,3.333066,0.152001,-2.543589,3.552180,-0.093576,0.951468,0.000506,-0.014443,0.307409
0.870000,4.279246,3.428725,0.149526,-2.572316,3.441262,-0.122865,0.948351,0.001041,-0.013562,0.316931
0.900000,4.210436,3.533417,0.185116,-2.585051,3.402666,0.000195,0.944922,0.002760,-0.009411,0.327150
0.930000,4.141898,3.619943,0.204590,-2.607567,3.225775,0.077736,0.940161,0.000695,-0.005982,0.340676
0.960000,4.062588,3.715541,0.206668,-2.679743,3.147434,0.060801,0.936485,0.000149,-0.006484,0.350647
0.990000,3.981123,3.808775,0.208213,-2.751272,3.068169,0.042221,0.932085,-0.000260,-0.005608,0.362196
1.020000,3.897525,3.899612,0.209182,-2.821927,2.987642,0.022366,0.928129,-0.000485,-0.005403,0.372218
1.050000,3.811802,3.988007,0.209530,-2.892961,2.905392,0.000855,0.923515,-0.000502,-0.004717,0.383533
1.080000,3.723927,4.073899,0.209205,-2.965314,2.820731,-0.022526,0.919436,-0.000278,-0.004183,0.393218
1.110000,3.633861,4.157223,0.208158,-3.039107,2.734167,-0.047285,0.914361,-0.000840,-0.003480,0.404885
1.140000,3.541586,4.237952,0.206368,-3.112586,2.647773,-0.072022,0.910022,-0.001615,-0.003108,0.414545
1.170000,3.447121,4.316123,0.203845,-3.185042,2.563608,-0.096223,0.904502,-0.002871,-0.002713,0.426451
1.200000,3.350536,4.391816,0.200619,-3.253946,2.482629,-0.118854,0.899319,-0.005568,-0.002564,0.437250
1.230000,3.251933,4.465150,0.196723,-3.319646,2.406295,-0.140856,0.894227,-0.006424,-0.003238,0.447556
1.260000,3.151400,4.536212,0.192164,-3.382497,2.331155,-0.163098,0.888767,-0.007189,-0.002123,0.458299
1.290000,3.049059,4.605030,0.186951,-3.440261,2.256727,-0.184384,0.883486,-0.007663,-0.002061,0.468390
1.320000,2.945093,4.671623,0.181102,-3.490802,2.182819,-0.205581,0.878238,-0.007936,-0.001696,0.478156
1.350000,2.839744,4.736002,0.174612,-3.532444,2.109086,-0.227065,0.872648,-0.007899,-0.001448,0.488284
1.380000,2.733282,4.798135,0.167458,-3.565043,2.033161,-0.249903,0.866799,-0.006578,-0.001046,0.498614
1.410000,2.625955,4.857934,0.159611,-3.590108,1.953443,-0.273201,0.861303,-0.006939,-0.000133,0.508045
1.440000,2.517946,4.915281,0.151086,-3.610500,1.869677,-0.295156,0.855220,-0.007467,-0.000048,0.518212
1.470000,2.409363,4.970037,0.141928,-3.628361,1.780710,-0.315335,0.849378,-0.008225,0.000400,0.527721
1.500000,2.300253,5.022050,0.132202,-3.645645,1.686853,-0.333080,0.842947,-0.009133,0.000645,0.537919
1.530000,2.190597,5.071171,0.121993,-3.664768,1.587818,-0.347500,0.836590,-0.010336,0.001049,0.547730
1.560000,2.080297,5.117253,0.111421,-3.688561,1.484338,-0.357317,0.830023,-0.012051,0.001551,0.557596
1.590000,1.969189,5.160187,0.100615,-3.718609,1.377964,-0.363122,0.823129,-0.012439,0.001990,0.567714
1.620000,1.857071,5.199903,0.089678,-3.755930,1.269748,-0.366018,0.816069,-0.012839,0.002427,0.577807
1.650000,1.743704,5.236358,0.078691,-3.801846,1.160607,-0.366449,0.807549,-0.013009,0.002182,0.589654
1.680000,1.628830,5.269542,0.067727,-3.856414,1.051605,-0.364473,0.799468,-0.013120,0.002644,0.600559
1.710000,1.512223,5.299516,0.056853,-3.917415,0.946709,-0.360446,0.792006,-0.012173,0.003669,0.610381
1.740000,1.393774,5.326456,0.046096,-3.979192,0.849273,-0.356679,0.784996,-0.009434,0.005010,0.619409
1.770000,1.273536,5.350629,0.035385,-4.036651,0.762255,-0.357380,0.780142,-0.003467,0.006150,0.625562
1.800000,1.151693,5.372310,0.024599,-4.086232,0.683118,-0.361674,0.773085,-0.001826,0.008046,0.634249
1.830000,1.028465,5.391682,0.013687,-4.128986,0.608351,-0.365793,0.765988,-0.000852,0.008233,0.642802
1.860000,0.904023,5.408819,0.002632,-4.167118,0.534122,-0.371259,0.758634,-0.000495,0.008266,0.651464
1.890000,0.778493,5.423702,-0.008616,-4.201555,0.458120,-0.378606,0.750888,-0.000622,0.008378,0.660376
1.920000,0.651992,5.436278,-0.020126,-4.231839,0.380242,-0.388698,0.743374,-0.000957,0.007896,0.668828
1.950000,0.524657,5.446509,-0.031993,-4.257194,0.301842,-0.402403,0.735763,-0.001663,0.006995,0.677201
1.980000,0.396675,5.454396,-0.044308,-4.274924,0.223969,-0.418598,0.727739,-0.002842,0.007331,0.685809
2.010000,0.268298,5.459944,-0.057111,-4.283536,0.145856,-0.434959,0.721249,-0.003349,0.009043,0.692609
2.040000,0.139783,5.463064,-0.070400,-4.284164,0.062187,-0.450995,0.715864,-0.003829,0.009708,0.698162
2.070000,0.011357,5.463575,-0.084180,-4.277560,-0.028148,-0.467687,0.707943,-0.003345,0.009408,0.706199
2.100000,-0.116772,5.461335,-0.098476,-4.264353,-0.121194,-0.485357,0.700291,-0.002775,0.008786,0.713798
2.130000,-0.244451,5.456305,-0.113293,-4.247565,-0.214149,-0.502434,0.692102,-0.002977,0.007410,0.721755
2.160000,-0.371592,5.448530,-0.128564,-4.228487,-0.304146,-0.515658,0.682763,-0.004515,0.005466,0.730605
2.190000,-0.498173,5.438098,-0.144183,-4.210304,-0.391336,-0.525593,0.675097,-0.003635,0.002813,0.737715
2.220000,-0.624229,5.425033,-0.160079,-4.193424,-0.479654,-0.534100,0.664732,-0.002839,-0.000574,0.747076
2.250000,-0.749821,5.409284,-0.176184,-4.179362,-0.570297,-0.539568,0.657260,-0.002239,-0.002966,0.753655
2.280000,-0.875068,5.390836,-0.192386,-4.170421,-0.659571,-0.540624,0.647547,-0.000170,-0.004764,0.762011
2.310000,-1.000069,5.369749,-0.208540,-4.163017,-0.746186,-0.536295,0.639797,0.000071,-0.006009,0.768521
2.340000,-1.124855,5.346091,-0.224460,-4.156045,-0.831018,-0.525050,0.630869,0.000983,-0.007584,0.775851
2.370000,-1.249375,5.319885,-0.239949,-4.145271,-0.916101,-0.507495,0.622492,0.001406,-0.008990,0.782573
2.400000,-1.373498,5.291075,-0.254816,-4.129570,-1.004544,-0.483643,0.614443,0.002979,-0.009069,0.788903
2.430000,-1.497047,5.259562,-0.268876,-4.107054,-1.096341,-0.453725,0.604770,0.003626,-0.009345,0.796337
2.460000,-1.619862,5.225274,-0.281981,-4.080581,-1.189522,-0.419917,0.596609,0.004785,-0.010095,0.802454
2.490000,-1.741854,5.188175,-0.294039,-4.052242,-1.283692,-0.383962,0.586907,0.005381,-0.010635,0.809566
