timestamp,p_x,p_y,p_z,v_x,v_y,v_z,q_w,q_x,q_y,q_z
0.000000,5.500000,0.000000,0.000000,-0.000000,4.180000,0.437000,1.000000,0.000000,0.000000,0.000000
0.030000,5.498632,0.125315,0.013045,-0.091176,4.174339,0.432681,0.999938,-0.000940,-0.001279,0.010986
0.060000,5.494498,0.250454,0.025912,-0.184458,4.168259,0.425094,0.999750,-0.001378,-0.001158,0.022288
0.090000,5.487547,0.375388,0.038547,-0.278913,4.160662,0.417282,0.999430,-0.001510,-0.001191,0.033706
0.120000,5.477748,0.500066,0.050947,-0.374397,4.151193,0.409348,0.998983,-0.001502,-0.001180,0.045050
0.150000,5.465075,0.624430,0.063107,-0.470459,4.139774,0.401355,0.998403,-0.001457,-0.001216,0.056466
0.180000,5.449520,0.748421,0.075024,-0.566515,4.126304,0.393076,0.997699,-0.001380,-0.001266,0.067767
0.210000,5.431093,0.871982,0.086687,-0.661971,4.111051,0.384452,0.996874,-0.001249,-0.001191,0.078995
0.240000,5.409815,0.995055,0.098081,-0.756589,4.093863,0.375137,0.995901,-0.001116,-0.001343,0.090430
0.270000,5.385705,1.117586,0.109184,-0.850723,4.074849,0.365090,0.994806,-0.000965,-0.001388,0.101773
0.300000,5.358779,1.239522,0.119979,-0.944337,4.054202,0.354600,0.993572,-0.000828,-0.001497,0.113191
0.330000,5.329052,1.360812,0.130447,-1.037472,4.031834,0.343242,0.992217,-0.000737,-0.001544,0.124511
0.360000,5.296540,1.481408,0.140563,-1.129979,4.007886,0.331150,0.990725,-0.000689,-0.001618,0.135869
0.390000,5.261259,1.601259,0.150305,-1.222085,3.982187,0.318319,0.989108,-0.000655,-0.001692,0.147177
0.420000,5.223225,1.720312,0.159649,-1.313515,3.954661,0.304634,0.987363,-0.000584,-0.001746,0.158463
0.450000,5.182464,1.838509,0.168570,-1.403884,3.925162,0.290073,0.985509,-0.000411,-0.001749,0.169611
0.480000,5.139010,1.955794,0.177040,-1.493025,3.893826,0.274603,0.983504,-0.000287,-0.001758,0.180879
0.510000,5.092895,2.072110,0.185036,-1.581350,3.860572,0.258444,0.981389,-0.000096,-0.001796,0.192024
0.540000,5.044143,2.187396,0.192536,-1.668766,3.825177,0.241565,0.979127,-0.000092,-0.001754,0.203244
0.570000,4.992781,2.301587,0.199521,-1.755362,3.787555,0.224113,0.976750,-0.000093,-0.001824,0.214374
0.600000,4.938832,2.414620,0.205971,-1.841226,3.747965,0.205893,0.974242,-0.000121,-0.001849,0.225495
0.630000,4.882317,2.526430,0.211862,-1.926468,3.706028,0.186835,0.971626,-0.000153,-0.001895,0.236513
0.660000,4.823254,2.636950,0.217174,-2.011089,3.661980,0.167272,0.968851,-0.000173,-0.001928,0.247638
0.690000,4.761663,2.746116,0.221889,-2.094980,3.615735,0.147087,0.965971,-0.000209,-0.001936,0.258643
0.720000,4.697566,2.853865,0.225991,-2.178147,3.567517,0.126352,0.962952,-0.000218,-0.001962,0.269665
0.750000,4.630983,2.960135,0.229462,-2.260697,3.517170,0.105089,0.959839,-0.000218,-0.001978,0.280543
0.780000,4.561937,3.064867,0.232290,-2.342337,3.464974,0.083423,0.956555,-0.000215,-0.001889,0.291547
0.810000,4.490457,3.168007,0.234459,-2.422999,3.411010,0.061202,0.953177,-0.000224,-0.001925,0.302408
0.840000,4.416571,3.269504,0.235954,-2.502786,3.355478,0.038466,0.949650,-0.000196,-0.001924,0.313306
0.870000,4.340309,3.369311,0.236760,-2.581316,3.298300,0.015273,0.946027,-0.000216,-0.001872,0.324082
0.900000,4.261713,3.467380,0.236868,-2.658438,3.239607,-0.008067,0.942257,-0.000191,-0.001934,0.334884
0.930000,4.180820,3.563665,0.236268,-2.734420,3.179419,-0.031928,0.938395,-0.000222,-0.001837,0.345558
0.960000,4.097669,3.658124,0.234951,-2.808954,3.117832,-0.055908,0.934389,-0.000203,-0.001905,0.356250
0.990000,4.012308,3.750712,0.232912,-2.881780,3.054705,-0.080026,0.930270,-0.000198,-0.001867,0.366872
1.020000,3.924787,3.841385,0.230145,-2.952974,2.990180,-0.104421,0.926026,-0.000183,-0.001903,0.377454
1.050000,3.835155,3.930101,0.226648,-3.022498,2.924190,-0.128735,0.921669,-0.000158,-0.001917,0.387972
1.080000,3.743463,4.016815,0.222427,-3.090318,2.856763,-0.152673,0.917204,-0.000129,-0.001897,0.398413
1.110000,3.649762,4.101486,0.217494,-3.156407,2.787990,-0.176157,0.912617,-0.000072,-0.001923,0.408810
1.140000,3.554108,4.184070,0.211867,-3.220485,2.717623,-0.198973,0.907920,0.000015,-0.001842,0.419140
1.170000,3.456562,4.264519,0.205569,-3.282611,2.645616,-0.220898,0.903111,0.000137,-0.001807,0.429404
1.200000,3.357181,4.342785,0.198629,-3.342780,2.572146,-0.241798,0.898177,0.000216,-0.001799,0.439630
1.230000,3.256027,4.418825,0.191077,-3.400829,2.497156,-0.261675,0.893133,0.000300,-0.001839,0.449788
1.260000,3.153161,4.492592,0.182942,-3.456884,2.420632,-0.280632,0.887966,0.000363,-0.001859,0.459905
1.290000,3.048645,4.564040,0.174256,-3.510865,2.342581,-0.298473,0.882691,0.000438,-0.001915,0.469950
1.320000,2.942542,4.633127,0.165050,-3.562654,2.263228,-0.315262,0.877294,0.000500,-0.001941,0.479948
1.350000,2.834916,4.699815,0.155356,-3.612421,2.182607,-0.330960,0.871780,0.000581,-0.001996,0.489893
1.380000,2.725835,4.764065,0.145210,-3.659688,2.100747,-0.345455,0.866149,0.000678,-0.002028,0.499782
1.410000,2.615372,4.825843,0.134641,-3.704498,2.017813,-0.359137,0.860380,0.000815,-0.002088,0.509648
1.440000,2.503600,4.885117,0.123679,-3.746974,1.933788,-0.371686,0.854548,0.000976,-0.002107,0.519367
1.470000,2.390588,4.941846,0.112356,-3.787136,1.848151,-0.383154,0.848557,0.001031,-0.002101,0.529098
1.500000,2.276403,4.995986,0.100708,-3.825210,1.761126,-0.393423,0.842489,0.001078,-0.002172,0.538708
1.530000,2.161109,5.047487,0.088766,-3.861076,1.672326,-0.402664,0.836257,0.001099,-0.002176,0.548332
1.560000,2.044770,5.096309,0.076570,-3.894852,1.582477,-0.410426,0.829950,0.001126,-0.002228,0.557832
1.590000,1.927451,5.142418,0.064157,-3.926382,1.491440,-0.417109,0.823473,0.001132,-0.002227,0.567350
1.620000,1.809222,5.185785,0.051559,-3.955567,1.399666,-0.422733,0.816927,0.001143,-0.002236,0.576736
1.650000,1.690153,5.226393,0.038814,-3.982331,1.307528,-0.426926,0.810221,0.001173,-0.002162,0.586119
1.680000,1.570319,5.264233,0.025960,-4.006658,1.215180,-0.430002,0.803420,0.001219,-0.002162,0.595408
1.710000,1.449793,5.299303,0.013030,-4.028360,1.122828,-0.432045,0.796476,0.001288,-0.002094,0.604666
1.740000,1.328656,5.331610,0.000057,-4.047440,1.030929,-0.432839,0.789436,0.001387,-0.002067,0.613828
1.770000,1.206985,5.361163,-0.012926,-4.064000,0.939261,-0.432677,0.782230,0.001599,-0.001938,0.622985
1.800000,1.084857,5.387973,-0.025889,-4.077844,0.848089,-0.431492,0.774954,0.001884,-0.001868,0.632012
1.830000,0.962352,5.412057,-0.038804,-4.089160,0.757528,-0.429500,0.767541,0.002301,-0.001711,0.640993
1.860000,0.839546,5.433429,-0.051649,-4.097912,0.667271,-0.426842,0.759842,0.002858,-0.001330,0.650101
1.890000,0.716519,5.452089,-0.064400,-4.103880,0.576745,-0.423212,0.751785,0.003539,-0.000836,0.659398
1.920000,0.593350,5.468017,-0.077030,-4.107399,0.485105,-0.418789,0.743972,0.003956,-0.000688,0.668199
1.950000,0.470100,5.481165,-0.089505,-4.109290,0.391394,-0.412902,0.736192,0.004100,-0.000730,0.676760
1.980000,0.346804,5.491457,-0.101782,-4.110423,0.294759,-0.405569,0.728309,0.004198,-0.000854,0.685236
2.010000,0.223490,5.498806,-0.113817,-4.110492,0.195180,-0.396762,0.720338,0.004258,-0.001004,0.693610
2.040000,0.100184,5.503127,-0.125566,-4.109907,0.092909,-0.386484,0.712275,0.004287,-0.001162,0.701887
2.070000,-0.023088,5.504348,-0.136990,-4.108269,-0.011526,-0.375140,0.704145,0.004279,-0.001314,0.710042
2.100000,-0.146298,5.502418,-0.148056,-4.105709,-0.117129,-0.362587,0.696089,0.004244,-0.001482,0.717941
2.130000,-0.269421,5.497330,-0.158732,-4.102499,-0.222089,-0.349175,0.688253,0.004134,-0.001903,0.725457
2.160000,-0.392438,5.489112,-0.169001,-4.098588,-0.325768,-0.335415,0.680173,0.003987,-0.002226,0.733038
2.190000,-0.515321,5.477807,-0.178847,-4.093620,-0.427882,-0.320973,0.671962,0.003823,-0.002489,0.740572
2.220000,-0.638033,5.463461,-0.188248,-4.087207,-0.528524,-0.305778,0.663655,0.003642,-0.002717,0.748025
2.250000,-0.760534,5.446121,-0.197184,-4.079535,-0.627458,-0.289911,0.655262,0.003445,-0.002913,0.755389
2.280000,-0.882786,5.425838,-0.205628,-4.070590,-0.724758,-0.273036,0.646776,0.003131,-0.003093,0.762668
2.310000,-1.004747,5.402661,-0.213549,-4.060153,-0.820393,-0.255022,0.638193,0.002666,-0.003239,0.769865
2.340000,-1.126376,5.376642,-0.220911,-4.048458,-0.914235,-0.235831,0.629449,0.002459,-0.003369,0.777031
2.370000,-1.247627,5.347836,-0.227684,-4.034932,-1.006126,-0.215654,0.620717,0.002145,-0.003386,0.784024
2.400000,-1.368446,5.316299,-0.233840,-4.019641,-1.096343,-0.194798,0.611724,0.002063,-0.003391,0.791062
2.430000,-1.488771,5.282083,-0.239358,-4.002032,-1.184737,-0.173050,0.602874,0.001815,-0.003342,0.797827
2.460000,-1.608535,5.245238,-0.244214,-3.982250,-1.271566,-0.150655,0.593785,0.001646,-0.003280,0.804616
2.490000,-1.727670,5.205807,-0.248389,-3.960047,-1.357186,-0.127708,0.584719,0.001440,-0.003162,0.811228
2.520000,-1.846094,5.163826,-0.251871,-3.934892,-1.441582,-0.104393,0.575509,0.001255,-0.003067,0.817789
2.550000,-1.963717,5.119320,-0.254653,-3.906646,-1.525449,-0.081117,0.566231,0.001049,-0.003062,0.824240
2.580000,-2.080443,5.072302,-0.256739,-3.875115,-1.609108,-0.057916,0.556933,0.000793,-0.002975,0.830552
2.610000,-2.196181,5.022779,-0.258130,-3.840741,-1.692382,-0.034854,0.547452,0.000632,-0.002884,0.836832
2.640000,-2.310846,4.970765,-0.258830,-3.803609,-1.775209,-0.011761,0.537997,0.000407,-0.002742,0.842942
2.670000,-2.424358,4.916275,-0.258840,-3.763838,-1.857490,0.011093,0.528396,0.000222,-0.002588,0.848994
2.700000,-2.536641,4.859325,-0.258163,-3.721703,-1.939203,0.034022,0.518758,0.000042,-0.002418,0.854918
2.730000,-2.647627,4.799935,-0.256802,-3.677368,-2.020110,0.056701,0.509031,-0.000125,-0.002233,0.860745
2.760000,-2.757250,4.738133,-0.254765,-3.630786,-2.100020,0.079112,0.499240,-0.000280,-0.002032,0.866461
2.790000,-2.865442,4.673949,-0.252058,-3.582063,-2.178907,0.101345,0.489373,-0.000414,-0.001826,0.872073
2.820000,-2.972141,4.607415,-0.248690,-3.531208,-2.256724,0.123211,0.479451,-0.000533,-0.001616,0.877567
2.850000,-3.077286,4.538564,-0.244673,-3.478426,-2.333344,0.144562,0.469461,-0.000622,-0.001403,0.882952
2.880000,-3.180816,4.467432,-0.240022,-3.423576,-2.408763,0.165509,0.459410,-0.000692,-0.001174,0.888223
2.910000,-3.282668,4.394056,-0.234754,-3.366561,-2.482962,0.185676,0.449323,-0.000714,-0.000937,0.893368
2.940000,-3.382780,4.318471,-0.228892,-3.307603,-2.556047,0.205171,0.439109,-0.000837,-0.000746,0.898433
2.970000,-3.481094,4.240712,-0.222451,-3.246668,-2.627876,0.224231,0.428878,-0.000875,-0.000610,0.903362
3.000000,-3.577549,4.160818,-0.215450,-3.183667,-2.698391,0.242464,0.418555,-0.000920,-0.000432,0.908191
3.030000,-3.672088,4.078827,-0.207912,-3.118886,-2.767686,0.260088,0.408159,-0.001013,-0.000315,0.912910
3.060000,-3.764657,3.994777,-0.199857,-3.052373,-2.835670,0.276891,0.397731,-0.001073,-0.000227,0.917501
3.090000,-3.855209,3.908706,-0.191309,-2.984438,-2.902347,0.292955,0.387231,-0.001118,-0.000143,0.921982
3.120000,-3.943699,3.820658,-0.182291,-2.914914,-2.967571,0.308274,0.376688,-0.001159,-0.000059,0.926339
3.150000,-4.030082,3.730671,-0.172824,-2.843979,-3.031508,0.322892,0.366079,-0.001164,0.000002,0.930583
3.180000,-4.114316,3.638785,-0.162931,-2.771613,-3.094231,0.336603,0.355437,-0.001142,0.000082,0.934700
3.210000,-4.196357,3.545037,-0.152642,-2.697784,-3.155685,0.349351,0.344756,-0.001182,0.000116,0.938692
3.240000,-4.276162,3.449461,-0.141983,-2.622524,-3.216028,0.361241,0.333875,-0.001233,0.000218,0.942616
3.270000,-4.353685,3.352094,-0.130980,-2.545651,-3.275067,0.372285,0.323131,-0.001139,0.000319,0.946354
3.300000,-4.428881,3.252976,-0.119658,-2.467460,-3.332842,0.382524,0.312179,-0.001332,0.000306,0.950022
3.330000,-4.501718,3.152149,-0.108039,-2.388357,-3.388948,0.392095,0.301308,-0.001223,0.000359,0.953526
3.360000,-4.572166,3.049662,-0.096150,-2.308159,-3.443492,0.400501,0.290342,-0.001286,0.000350,0.956922
3.390000,-4.640193,2.945568,-0.084020,-2.226989,-3.496121,0.408143,0.279370,-0.001257,0.000354,0.960183
3.420000,-4.705771,2.839923,-0.071676,-2.144829,-3.546858,0.414816,0.268367,-0.001265,0.000323,0.963316
3.450000,-4.768870,2.732784,-0.059145,-2.061775,-3.595775,0.420539,0.257334,-0.001250,0.000330,0.966322
3.480000,-4.829463,2.624209,-0.046455,-1.977781,-3.642548,0.425454,0.246241,-0.001243,0.000350,0.969208
3.510000,-4.887523,2.514261,-0.033636,-1.892848,-3.687325,0.429178,0.235134,-0.001227,0.000370,0.971962
3.540000,-4.943017,2.402999,-0.020716,-1.806803,-3.730129,0.432142,0.223984,-0.001212,0.000394,0.974592
3.570000,-4.995917,2.290485,-0.007726,-1.719819,-3.770854,0.433899,0.212807,-0.001193,0.000418,0.977093
3.600000,-5.046193,2.176775,0.005305,-1.631960,-3.809756,0.434805,0.201592,-0.001173,0.000446,0.979469
3.630000,-5.093819,2.061928,0.018347,-1.543053,-3.846755,0.434656,0.190349,-0.001157,0.000468,0.981716
3.660000,-5.138761,1.945993,0.031368,-1.453091,-3.882239,0.433408,0.178995,-0.001187,0.000509,0.983849
3.690000,-5.180989,1.829016,0.044333,-1.362155,-3.916193,0.430958,0.167737,-0.001137,0.000540,0.985831
3.720000,-5.220477,1.711043,0.057209,-1.270340,-3.948724,0.427442,0.156376,-0.001130,0.000595,0.987697
3.750000,-5.257199,1.592117,0.069965,-1.177824,-3.979673,0.422922,0.145049,-0.001088,0.000629,0.989424
3.780000,-5.291138,1.472285,0.082566,-1.084765,-4.009121,0.417162,0.133685,-0.001072,0.000667,0.991023
3.810000,-5.322278,1.351591,0.094978,-0.991245,-4.037091,0.410280,0.122292,-0.001044,0.000682,0.992493
3.840000,-5.350610,1.230085,0.107167,-0.897509,-4.063374,0.402367,0.110893,-0.001040,0.000699,0.993832
3.870000,-5.376130,1.107815,0.119108,-0.803853,-4.087906,0.393664,0.099309,-0.001050,0.000700,0.995056
3.900000,-5.398839,0.984836,0.130770,-0.710104,-4.110705,0.383784,0.088129,-0.001081,0.000688,0.996108
3.930000,-5.418729,0.861198,0.142122,-0.615872,-4.131871,0.373032,0.076570,-0.001052,0.000707,0.997063
3.960000,-5.435787,0.736951,0.153135,-0.521356,-4.151219,0.361157,0.065315,-0.001077,0.000629,0.997864
3.990000,-5.450011,0.612156,0.163774,-0.426858,-4.168468,0.348120,0.053809,-0.001091,0.000564,0.998550
4.020000,-5.461403,0.486879,0.174005,-0.332605,-4.183346,0.333973,0.042422,-0.001027,0.000212,0.999099
4.050000,-5.469975,0.361191,0.183793,-0.238917,-4.195809,0.318528,0.030971,-0.001098,-0.000124,0.999520
4.080000,-5.475747,0.235167,0.193104,-0.145844,-4.205844,0.302201,0.019645,-0.001232,-0.000352,0.999806
4.110000,-5.478736,0.108880,0.201910,-0.053438,-4.213267,0.284897,0.008342,-0.001222,-0.000476,0.999964
4.140000,-5.478955,-0.017588,0.210180,0.038819,-4.217913,0.266390,0.002923,0.001305,0.000531,-0.999995
4.170000,-5.476413,-0.144157,0.217879,0.130701,-4.220006,0.246908,0.014206,0.001375,0.000500,-0.999898
4.200000,-5.471113,-0.270742,0.224979,0.222632,-4.219045,0.226439,0.025498,0.001359,0.000360,-0.999674
4.230000,-5.463056,-0.397252,0.231454,0.314485,-4.214940,0.205217,0.036727,0.001611,0.000418,-0.999324
4.260000,-5.452247,-0.523594,0.237285,0.406100,-4.207866,0.183519,0.048040,0.001603,0.000365,-0.998844
4.290000,-5.438690,-0.649679,0.242454,0.497714,-4.197769,0.161102,0.059226,0.001746,0.000317,-0.998243
4.320000,-5.422386,-0.775417,0.246947,0.589214,-4.184797,0.138406,0.070489,0.001818,0.000169,-0.997511
4.350000,-5.403339,-0.900723,0.250749,0.680605,-4.168939,0.115071,0.081696,0.001926,0.000097,-0.996655
4.380000,-5.381549,-1.025509,0.253846,0.772012,-4.150103,0.091382,0.092888,0.001958,0.000017,-0.995675
4.410000,-5.357020,-1.149688,0.256226,0.863273,-4.128502,0.067307,0.104131,0.002001,-0.000043,-0.994562
4.440000,-5.329758,-1.273181,0.257881,0.954205,-4.104352,0.043037,0.115331,0.001991,-0.000165,-0.993325
4.470000,-5.299773,-1.395911,0.258804,1.044810,-4.077657,0.018474,0.126580,0.001929,-0.000405,-0.991954
4.500000,-5.267077,-1.517804,0.258990,1.134880,-4.048549,-0.006058,0.137790,0.002070,-0.000527,-0.990459
4.530000,-5.231689,-1.638787,0.258446,1.224353,-4.017014,-0.030228,0.148989,0.001977,-0.000653,-0.988837
4.560000,-5.193627,-1.758788,0.257178,1.313070,-3.983043,-0.054326,0.160215,0.001946,-0.000671,-0.987080
4.590000,-5.152916,-1.877734,0.255187,1.401044,-3.946641,-0.078419,0.171441,0.001824,-0.000713,-0.985192
4.620000,-5.109576,-1.995552,0.252474,1.488304,-3.907896,-0.102438,0.182659,0.001759,-0.000712,-0.983174
4.650000,-5.063627,-2.112173,0.249046,1.574931,-3.866890,-0.126106,0.193968,0.001651,-0.000713,-0.981006
4.680000,-5.015090,-2.227536,0.244913,1.660843,-3.823963,-0.149381,0.205097,0.001564,-0.000736,-0.978740
4.710000,-4.963987,-2.341579,0.240091,1.746048,-3.778921,-0.172087,0.216374,0.001480,-0.000770,-0.976309
4.740000,-4.910338,-2.454238,0.234598,1.830569,-3.731647,-0.194144,0.227519,0.001375,-0.000801,-0.973772
4.770000,-4.854163,-2.565452,0.228456,1.914430,-3.682616,-0.215325,0.238745,0.001317,-0.000850,-0.971081
4.800000,-4.795483,-2.675167,0.221692,1.997561,-3.631708,-0.235615,0.249919,0.001206,-0.000817,-0.968266
4.830000,-4.734323,-2.783326,0.214338,2.079791,-3.578918,-0.254632,0.261276,0.001217,-0.000657,-0.965263
4.860000,-4.670708,-2.889883,0.206428,2.161188,-3.524856,-0.272722,0.272101,0.000910,-0.000733,-0.962268
4.890000,-4.604660,-2.994792,0.197987,2.242012,-3.469085,-0.289969,0.283447,0.000936,-0.000704,-0.958987
4.920000,-4.536197,-3.098005,0.189045,2.322208,-3.411800,-0.306198,0.294246,0.000639,-0.000633,-0.955729
4.950000,-4.465335,-3.199482,0.179632,2.401884,-3.353301,-0.321347,0.305413,0.000603,-0.000598,-0.952220
4.980000,-4.392095,-3.299180,0.169779,2.480795,-3.293250,-0.335483,0.316342,0.000491,-0.000591,-0.948645
