timestamp,p_x,p_y,p_z,v_x,v_y,v_z,q_w,q_x,q_y,q_z
0.000000,5.500000,0.000000,0.000000,-0.000000,4.180000,0.437000,1.000000,0.000000,0.000000,0.000000
0.030000,5.498068,0.125544,0.012500,-0.208838,4.142247,0.353049,1.209154,0.002197,-0.000940,0.007421
0.060000,5.490010,0.249734,0.022574,-0.370602,4.108115,0.334097,1.109815,0.005535,-0.002641,0.020025
0.090000,5.477172,0.372806,0.032242,-0.496933,4.080262,0.354287,1.057607,0.002915,-0.004771,0.032098
0.120000,5.460599,0.495034,0.042694,-0.597580,4.060008,0.387181,1.062164,0.002440,-0.003074,0.042186
0.150000,5.441109,0.616615,0.054232,-0.682015,4.049528,0.419477,1.056585,0.002031,-0.003000,0.053369
0.180000,5.419162,0.737861,0.066811,-0.760456,4.047754,0.438143,1.046288,0.000965,-0.001659,0.065157
0.210000,5.394894,0.859060,0.079909,-0.835149,4.050328,0.447043,1.038941,0.000818,-0.001453,0.076457
0.240000,5.368399,0.980336,0.093227,-0.907742,4.052837,0.450118,1.038881,0.000588,-0.001537,0.087298
0.270000,5.339745,1.101667,0.106594,-0.980281,4.055012,0.451610,1.033296,-0.000860,-0.001949,0.098492
0.300000,5.308951,1.223046,0.120003,-1.057076,4.056691,0.448611,1.028342,-0.000160,-0.001682,0.109808
0.330000,5.275885,1.344445,0.133323,-1.140799,4.054924,0.439454,1.026134,0.001276,-0.000998,0.120809
0.360000,5.240306,1.465757,0.146334,-1.229451,4.049844,0.426718,1.024179,0.001858,-0.000653,0.131796
0.390000,5.202069,1.586878,0.158938,-1.321269,4.041720,0.411918,1.022674,0.001860,-0.000478,0.142702
0.420000,5.161072,1.707727,0.171084,-1.415147,4.031757,0.395675,1.020713,0.001374,0.000108,0.153624
0.450000,5.117258,1.828254,0.182708,-1.508969,4.018483,0.380552,1.016635,0.001441,0.000031,0.164861
0.480000,5.070634,1.948348,0.193863,-1.602313,4.002333,0.366412,1.013683,0.001681,0.000072,0.175855
0.510000,5.021227,2.067925,0.204608,-1.695295,3.983723,0.350556,1.013187,0.000904,0.000166,0.186453
0.540000,4.969030,2.186946,0.214891,-1.787106,3.960147,0.329762,1.010638,0.000383,-0.000684,0.197266
0.570000,4.914084,2.305232,0.224535,-1.878250,3.932055,0.303874,1.008928,-0.000375,-0.000670,0.207893
0.600000,4.856413,2.422648,0.233381,-1.968493,3.900292,0.274325,1.006703,-0.000723,-0.000587,0.218552
0.630000,4.796046,2.539081,0.241325,-2.057178,3.864897,0.242936,1.003722,-0.000929,-0.000618,0.229329
0.660000,4.733029,2.654423,0.248312,-2.144208,3.826067,0.210200,1.000636,-0.001182,-0.000826,0.240075
0.690000,4.667414,2.768574,0.254313,-2.229574,3.783880,0.175551,0.997195,-0.001442,-0.000572,0.250855
0.720000,4.599257,2.881432,0.259263,-2.313015,3.738882,0.139666,0.992875,-0.001791,-0.000350,0.261825
0.750000,4.528608,2.992913,0.263111,-2.394458,3.691322,0.105140,0.989928,-0.001926,-0.000574,0.272344
0.780000,4.455530,3.102934,0.265910,-2.473963,3.641827,0.073571,0.986217,-0.001888,-0.000746,0.283011
0.810000,4.380082,3.211442,0.267756,-2.551271,3.591259,0.045137,0.982332,-0.001376,-0.000959,0.293702
0.840000,4.302330,3.318397,0.268759,-2.626829,3.538979,0.017944,0.978052,-0.000945,-0.000797,0.304448
0.870000,4.222337,3.423758,0.268955,-2.700307,3.484709,-0.009457,0.974467,-0.000939,-0.000968,0.314866
0.900000,4.140156,3.527467,0.268346,-2.772448,3.428156,-0.039475,0.970011,-0.000934,-0.000775,0.325522
