timestamp,p_x,p_y,p_z,v_x,v_y,v_z,q_w,q_x,q_y,q_z
0.000000,5.500000,0.000000,0.000000,-0.000000,4.180000,0.437000,1.000000,0.000000,0.000000,0.000000
0.030000,5.497998,0.125518,0.013462,-0.235361,4.157010,0.477818,1.027859,0.001757,0.001511,0.011080
0.060000,5.489100,0.250182,0.028027,-0.413801,4.131208,0.484960,1.010350,0.002424,0.001758,0.022602
0.090000,5.474963,0.373972,0.042699,-0.550201,4.110499,0.469984,1.002150,0.003325,0.002045,0.034135
0.120000,5.456810,0.497092,0.056837,-0.654503,4.096479,0.442723,1.002923,0.004591,0.001866,0.045402
0.150000,5.435613,0.619734,0.070075,-0.738812,4.090405,0.410513,1.001294,0.004572,0.001848,0.056789
0.180000,5.411950,0.742177,0.082274,-0.810139,4.090769,0.381026,0.996090,0.005040,0.001210,0.068472
0.210000,5.386175,0.864635,0.093532,-0.873188,4.092353,0.359840,0.999165,0.005398,-0.000106,0.079534
0.240000,5.358535,0.987140,0.104128,-0.932555,4.091168,0.346247,1.004697,0.005561,-0.000884,0.090236
0.270000,5.329143,1.109601,0.114302,-0.991646,4.084278,0.340745,1.013623,0.005361,-0.001876,0.100462
0.300000,5.297986,1.231824,0.124319,-1.051628,4.072499,0.339750,1.014590,0.004925,-0.003093,0.111362
0.330000,5.265028,1.353668,0.134333,-1.113192,4.056007,0.336758,1.010271,0.004636,-0.003587,0.121883
0.360000,5.230244,1.474940,0.144277,-1.178413,4.040916,0.327468,1.005617,0.004722,-0.003182,0.134312
0.390000,5.193511,1.595735,0.153923,-1.245031,4.026190,0.312701,1.002932,0.004982,-0.002686,0.145584
0.420000,5.154783,1.716057,0.163073,-1.312758,4.010826,0.298288,0.999788,0.004739,-0.003084,0.156909
0.450000,5.114026,1.835899,0.171718,-1.380953,3.993737,0.290563,0.996895,0.003335,-0.004862,0.168189
0.480000,5.071226,1.955220,0.180134,-1.451528,3.973110,0.286978,0.996101,0.002518,-0.005785,0.179053
0.510000,5.026313,2.073887,0.188462,-1.524591,3.951201,0.283675,0.991663,0.002707,-0.005483,0.190551
0.540000,4.979231,2.191866,0.196685,-1.599639,3.926946,0.279875,0.986908,0.002302,-0.005887,0.202124
0.570000,4.929924,2.309120,0.204815,-1.679152,3.896410,0.271334,0.987076,0.001687,-0.006351,0.212593
0.600000,4.878252,2.425445,0.212722,-1.765251,3.858606,0.252663,0.985452,0.002548,-0.005042,0.223468
0.630000,4.824010,2.540591,0.220022,-1.855093,3.814283,0.229051,0.983802,0.001883,-0.004882,0.234224
0.660000,4.767075,2.654390,0.226559,-1.948035,3.763125,0.206269,0.980403,0.001037,-0.006419,0.245157
0.690000,4.707341,2.766616,0.232421,-2.042903,3.706692,0.182171,0.982128,0.000689,-0.006212,0.254998
0.720000,4.644763,2.877114,0.237548,-2.137481,3.648166,0.156978,0.979643,0.000456,-0.006243,0.265652
0.750000,4.579345,2.985820,0.241917,-2.229412,3.587499,0.130666,0.972619,-0.001045,-0.006946,0.277358
0.780000,4.511174,3.092675,0.245510,-2.317668,3.526304,0.100715,0.967636,-0.002096,-0.006613,0.288654
0.810000,4.440370,3.197677,0.248193,-2.401733,3.464584,0.069188,0.966040,-0.001762,-0.006064,0.298898
0.840000,4.367076,3.300801,0.249903,-2.483145,3.402478,0.039171,0.961440,-0.002144,-0.006474,0.309862
0.870000,4.291364,3.402027,0.250694,-2.563482,3.340903,0.012221,0.957755,-0.002198,-0.006016,0.320548
0.900000,4.213266,3.501377,0.250668,-2.642714,3.279701,-0.010226,0.954688,-0.002369,-0.006391,0.330965
