p_x,p_y,p_z
5.102816,7.500000,0.566198
4.476601,7.500000,-0.604897
-2.471659,7.500000,-0.444451
0.809549,7.500000,0.257742
-2.028233,7.500000,0.904459
6.242926,7.500000,0.434594
-5.375962,7.500000,-0.967399
-3.856698,7.500000,0.608354
-5.149814,7.500000,-0.740419
-5.867868,7.500000,-0.563486
0.193986,7.500000,0.225280
-3.059526,7.500000,0.048574
-0.096255,7.500000,-0.414966
4.070365,7.500000,0.539828
-1.496571,7.500000,-0.433371
-2.213125,7.500000,0.838053
-6.453671,7.500000,0.051991
-6.209162,7.500000,0.326454
5.853489,7.500000,-0.871657
-7.199654,7.500000,-0.873808
-3.925801,7.500000,0.804416
5.263797,7.500000,0.079521
-1.871895,7.500000,0.025071
2.515856,7.500000,-0.921439
-0.935436,7.500000,0.861620
3.314285,-7.500000,0.477069
2.099682,-7.500000,0.375723
-5.010388,-7.500000,0.760150
4.938016,-7.500000,-0.542064
5.900586,-7.500000,0.373340
6.847024,-7.500000,0.314608
5.380145,-7.500000,0.847940
-1.523450,-7.500000,0.368437
6.164580,-7.500000,-0.568350
6.753786,-7.500000,-0.704680
5.715933,-7.500000,-0.136093
1.793947,-7.500000,0.572004
-2.888132,-7.500000,-0.547787
-4.687003,-7.500000,0.112888
-1.252481,-7.500000,0.813608
-5.952432,-7.500000,-0.009112
3.907128,-7.500000,0.870008
2.766675,-7.500000,0.499542
-1.970047,-7.500000,-0.535477
1.267328,-7.500000,-0.695220
3.482228,-7.500000,0.586941
-5.038471,-7.500000,-0.850940
6.751560,-7.500000,0.043127
-4.856840,-7.500000,0.595596
3.489816,-7.500000,0.934810
7.500000,3.896023,-0.813039
7.500000,0.303151,-0.843536
7.500000,-4.430174,-0.077159
7.500000,1.099779,0.511162
7.500000,-5.132893,0.999987
7.500000,5.849335,-0.749063
7.500000,-6.689136,0.741080
7.500000,-7.437576,0.846138
7.500000,-4.794416,-0.673737
7.500000,6.195400,0.639390
7.500000,0.787275,0.158860
7.500000,2.810812,-0.800720
7.500000,3.859407,-0.391410
7.500000,1.154567,0.755228
7.500000,1.933649,-0.929158
7.500000,4.998578,0.850753
7.500000,4.965563,0.958868
7.500000,6.050495,0.967191
7.500000,-0.041122,-0.672064
7.500000,5.834231,-0.846011
7.500000,-3.779338,0.258959
7.500000,3.009299,-0.366266
7.500000,-4.028581,-0.851678
7.500000,-4.145154,0.302264
7.500000,7.071986,-0.439916
-7.500000,3.289029,-0.773439
-7.500000,1.388099,0.888636
-7.500000,-2.454733,0.695369
-7.500000,-7.451528,-0.310114
-7.500000,4.998649,-0.532217
-7.500000,-0.255746,-0.036128
-7.500000,3.181309,-0.634888
-7.500000,-6.887035,-0.172033
-7.500000,2.609047,0.275280
-7.500000,-4.730663,0.218212
-7.500000,3.460940,-0.343251
-7.500000,-4.466808,0.841829
-7.500000,2.296955,-0.485469
-7.500000,-6.185346,-0.479006
-7.500000,2.791874,-0.812520
-7.500000,-2.075986,0.153381
-7.500000,2.498349,-0.422444
-7.500000,-3.174309,-0.340716
-7.500000,7.265448,-0.992843
-7.500000,-2.527814,-0.623598
-7.500000,6.879554,0.837861
-7.500000,2.986131,-0.757714
-7.500000,-1.742521,0.548547
-7.500000,6.244094,0.723834
-7.500000,4.404853,0.096084
