timestamp,p_x,p_y,p_z,v_x,v_y,v_z,q_w,q_x,q_y,q_z
0.000000,5.500000,0.000000,0.000000,-0.000000,4.180000,0.437000,1.000000,0.000000,0.000000,0.000000
0.030000,5.498483,0.125410,0.013244,-0.101135,4.180695,0.445916,0.999925,-0.001437,-0.003974,0.011530
0.060000,5.492786,0.251001,0.026912,-0.230714,4.184359,0.452179,0.999745,-0.001961,-0.001967,0.022405
0.090000,5.483263,0.376422,0.041635,-0.346973,4.181666,0.471056,0.999332,-0.005200,-0.003272,0.036022
0.120000,5.469281,0.501136,0.056064,-0.471936,4.167592,0.468573,0.998939,-0.004388,-0.000581,0.045837
0.150000,5.451316,0.626897,0.073840,-0.592907,4.171361,0.503166,0.998305,-0.004835,-0.000302,0.058004
0.180000,5.431034,0.752544,0.093071,-0.697308,4.168225,0.529589,0.997605,-0.005176,0.002201,0.068933
0.210000,5.418726,0.883683,0.114820,-0.700599,4.204511,0.568761,0.996857,-0.001734,0.002788,0.079148
0.240000,5.403429,1.010112,0.134472,-0.732317,4.195705,0.571577,0.995865,-0.001061,0.005575,0.090667
0.270000,5.384987,1.131782,0.158467,-0.781681,4.155022,0.600469,0.994734,-0.001035,0.007887,0.102178
0.300000,5.352523,1.257451,0.177048,-0.929995,4.127688,0.590860,0.993921,0.002715,0.008455,0.109736
0.330000,5.313931,1.386385,0.189868,-1.090785,4.136784,0.549636,0.992546,0.003747,0.008747,0.121502
0.360000,5.274451,1.513405,0.202037,-1.218401,4.122131,0.516441,0.991356,0.003871,0.008471,0.130867
0.390000,5.233207,1.640508,0.208557,-1.331268,4.118450,0.462093,0.989795,0.002510,0.007815,0.142261
0.420000,5.190129,1.767190,0.216762,-1.428480,4.105986,0.426424,0.988381,0.002316,0.006987,0.151816
0.450000,5.146282,1.889280,0.223265,-1.516480,4.078117,0.386408,0.986347,0.003367,0.006093,0.164536
0.480000,5.103633,2.008459,0.232416,-1.574613,4.030512,0.360261,0.984583,0.003602,0.005955,0.174779
0.510000,5.058095,2.128265,0.237286,-1.641282,3.999167,0.323923,0.982410,0.003528,0.004841,0.186639
0.540000,5.011195,2.242792,0.238239,-1.710644,3.938163,0.274023,0.980087,0.001856,0.004140,0.198516
0.570000,4.965726,2.347524,0.248835,-1.765160,3.824989,0.284186,0.977846,-0.000341,0.002123,0.209313
0.600000,4.912216,2.463346,0.257967,-1.847027,3.811161,0.247243,0.974512,-0.000268,0.005199,0.224275
0.630000,4.866080,2.567248,0.278531,-1.868344,3.720892,0.266443,0.972010,0.001363,0.007481,0.234818
0.660000,4.817331,2.677541,0.289738,-1.898711,3.688322,0.251766,0.968846,0.001407,0.008680,0.247507
0.690000,4.769709,2.782624,0.301990,-1.921961,3.626803,0.245804,0.965736,0.001538,0.009476,0.259349
0.720000,4.720330,2.886640,0.311127,-1.954349,3.568744,0.229794,0.962283,0.001521,0.009972,0.271864
0.750000,4.669219,2.984724,0.306835,-1.997444,3.484220,0.174134,0.958795,0.000043,0.008576,0.283968
0.780000,4.611841,3.083469,0.307881,-2.064852,3.412637,0.146619,0.954940,0.000185,0.007331,0.296708
0.810000,4.549886,3.180607,0.314564,-2.142454,3.335890,0.139487,0.951212,-0.000904,0.007063,0.308456
0.840000,4.482703,3.277234,0.321150,-2.232284,3.265052,0.130558,0.947301,-0.001481,0.007180,0.320261
0.870000,4.411146,3.371471,0.326460,-2.327695,3.188195,0.116007,0.943399,-0.001730,0.007566,0.331568
0.900000,4.327481,3.461588,0.310294,-2.473159,3.094242,0.032476,0.939029,-0.003793,0.004722,0.343784
0.930000,4.208130,3.585796,0.284246,-2.714698,3.186138,-0.085526,0.936949,-0.002362,0.000924,0.349458
0.960000,4.125576,3.680616,0.281341,-2.788897,3.135202,-0.108122,0.932576,-0.003131,0.000995,0.360958
0.990000,4.040823,3.773843,0.277774,-2.861329,3.079964,-0.129672,0.928744,-0.002436,0.000382,0.370713
