timestamp,p_x,p_y,p_z,v_x,v_y,v_z,q_w,q_x,q_y,q_z
0.000000,5.500000,0.000000,0.000000,-0.000000,4.180000,0.437000,1.000000,0.000000,0.000000,0.000000
0.030000,5.498573,0.125402,0.013109,-0.095157,4.180146,0.436929,0.999935,-0.000006,-0.000004,0.011394
0.060000,5.494286,0.250775,0.026199,-0.190600,4.178042,0.435715,0.999740,-0.000006,-0.000005,0.022795
0.090000,5.487138,0.376051,0.039235,-0.285981,4.173674,0.433405,0.999415,0.000001,0.000003,0.034194
0.120000,5.477132,0.501166,0.052181,-0.381055,4.167327,0.429651,0.998961,0.000008,0.000007,0.045582
0.150000,5.464279,0.626055,0.065000,-0.475789,4.158609,0.424928,0.998376,0.000001,-0.000000,0.056971
0.180000,5.448587,0.750650,0.077660,-0.570382,4.147763,0.419111,0.997661,0.000003,0.000001,0.068356
0.210000,5.430060,0.874891,0.090130,-0.664740,4.134942,0.412172,0.996817,-0.000005,0.000008,0.079720
0.240000,5.408708,0.998714,0.102371,-0.758712,4.119946,0.403905,0.995843,-0.000011,0.000014,0.091086
0.270000,5.384539,1.122052,0.114346,-0.852585,4.102586,0.394414,0.994741,-0.000009,0.000020,0.102425
0.300000,5.357563,1.244838,0.126022,-0.945777,4.083150,0.384010,0.993509,-0.000016,0.000017,0.113752
0.330000,5.327796,1.367011,0.137370,-1.038679,4.061697,0.372547,0.992149,-0.000017,0.000009,0.125063
0.360000,5.295251,1.488507,0.148359,-1.131020,4.038070,0.360041,0.990659,-0.000022,0.000014,0.136365
0.390000,5.259943,1.609264,0.158957,-1.222848,4.012365,0.346454,0.989040,-0.000025,0.000018,0.147647
0.420000,5.221892,1.729217,0.169133,-1.313889,3.984511,0.331977,0.987294,-0.000021,0.000016,0.158904
0.450000,5.181121,1.848303,0.178860,-1.404180,3.954549,0.316509,0.985418,-0.000015,0.000014,0.170153
0.480000,5.137648,1.966462,0.188115,-1.493985,3.922733,0.300438,0.983415,-0.000015,0.000015,0.181370
0.510000,5.091494,2.083635,0.196871,-1.582998,3.888764,0.283326,0.981283,-0.000021,0.000007,0.192573
0.540000,5.042680,2.199756,0.205104,-1.671241,3.852657,0.265569,0.979025,-0.000030,0.000013,0.203739
0.570000,4.991232,2.314767,0.212792,-1.758627,3.814723,0.246955,0.976641,-0.000030,0.000021,0.214878
0.600000,4.937177,2.428609,0.219914,-1.845033,3.774756,0.227831,0.974127,-0.000022,0.000022,0.226001
0.630000,4.880541,2.541221,0.226450,-1.930724,3.732737,0.207884,0.971488,-0.000017,0.000031,0.237089
0.660000,4.821353,2.652544,0.232382,-2.015159,3.688772,0.187582,0.968723,-0.000025,0.000030,0.248145
0.690000,4.759643,2.762519,0.237693,-2.098830,3.642913,0.166475,0.965830,-0.000030,0.000023,0.259177
0.720000,4.695441,2.871093,0.242367,-2.181250,3.595330,0.145120,0.962810,-0.000023,0.000018,0.270178
0.750000,4.628785,2.978210,0.246393,-2.262509,3.545794,0.123329,0.959670,-0.000029,0.000019,0.281130
0.780000,4.559705,3.083811,0.249763,-2.342856,3.494262,0.101342,0.956403,-0.000025,0.000017,0.292051
0.810000,4.488235,3.187839,0.252468,-2.421795,3.440953,0.078967,0.953011,-0.000027,0.000014,0.302935
0.840000,4.414413,3.290241,0.254496,-2.499636,3.385846,0.056261,0.949494,-0.000026,0.000009,0.313784
0.870000,4.338274,3.390966,0.255840,-2.576340,3.329162,0.033315,0.945856,-0.000027,0.000003,0.324586
0.900000,4.259855,3.489960,0.256494,-2.651600,3.270424,0.010289,0.942093,-0.000019,-0.000000,0.335351
0.930000,4.179196,3.587169,0.256460,-2.725653,3.210169,-0.012535,0.938210,-0.000019,0.000004,0.346067
0.960000,4.096339,3.682546,0.255740,-2.798165,3.148315,-0.035494,0.934206,-0.000009,-0.000001,0.356734
0.990000,4.011330,3.776043,0.254335,-2.869081,3.084850,-0.058175,0.930079,-0.000013,-0.000010,0.367360
1.020000,3.924212,3.867614,0.252253,-2.938751,3.019855,-0.080643,0.925828,-0.000019,-0.000010,0.377946
1.050000,3.835027,3.957210,0.249496,-3.006959,2.953210,-0.103166,0.921462,-0.000019,-0.000003,0.388470
1.080000,3.743821,4.044784,0.246069,-3.073400,2.885044,-0.125256,0.916971,-0.000019,-0.000005,0.398954
1.110000,3.650644,4.130291,0.241983,-3.138402,2.815456,-0.147133,0.912363,-0.000017,-0.000007,0.409383
1.140000,3.555540,4.213688,0.237250,-3.201858,2.744334,-0.168451,0.907638,-0.000012,0.000004,0.419754
1.170000,3.458558,4.294928,0.231881,-3.263664,2.671668,-0.189448,0.902795,-0.000012,-0.000006,0.430071
1.200000,3.359746,4.373967,0.225894,-3.323778,2.597626,-0.209695,0.897837,-0.000015,-0.000012,0.440327
1.230000,3.259155,4.450766,0.219307,-3.382262,2.522288,-0.229442,0.892761,-0.000020,-0.000005,0.450531
1.260000,3.156840,4.525284,0.212138,-3.438784,2.445546,-0.248495,0.887571,-0.000013,-0.000003,0.460671
1.290000,3.052854,4.597483,0.204406,-3.493573,2.367765,-0.266953,0.882259,-0.000008,-0.000008,0.470764
1.320000,2.947254,4.667329,0.196130,-3.546435,2.288640,-0.284818,0.876834,-0.000009,-0.000001,0.480793
1.350000,2.840091,4.734782,0.187333,-3.597748,2.208217,-0.301628,0.871297,-0.000012,-0.000008,0.490756
1.380000,2.731419,4.799805,0.178043,-3.647113,2.126658,-0.317677,0.865642,-0.000013,-0.000018,0.500664
1.410000,2.621290,4.862365,0.168283,-3.694769,2.043969,-0.333019,0.859881,-0.000017,-0.000026,0.510494
1.440000,2.509764,4.922430,0.158074,-3.740316,1.960351,-0.347549,0.854006,-0.000009,-0.000024,0.520262
1.470000,2.396898,4.979973,0.147449,-3.784075,1.875865,-0.360805,0.848017,-0.000015,-0.000018,0.529969
1.500000,2.282751,5.034964,0.136440,-3.825761,1.790195,-0.373135,0.841923,-0.000015,-0.000028,0.539597
1.530000,2.167379,5.087371,0.125073,-3.865664,1.703654,-0.384674,0.835715,-0.000013,-0.000029,0.549163
1.560000,2.050839,5.137170,0.113380,-3.903659,1.616241,-0.394852,0.829403,-0.000020,-0.000026,0.558651
1.590000,1.933190,5.184332,0.101396,-3.939611,1.527866,-0.404056,0.822983,-0.000020,-0.000016,0.568066
1.620000,1.814496,5.228828,0.089152,-3.973344,1.438571,-0.412221,0.816453,-0.000021,-0.000024,0.577411
1.650000,1.694817,5.270636,0.076681,-4.005279,1.348648,-0.419163,0.809819,-0.000012,-0.000022,0.586680
1.680000,1.574215,5.309737,0.064020,-4.034815,1.258071,-0.424904,0.803073,-0.000006,-0.000018,0.595880
1.710000,1.452755,5.346114,0.051204,-4.062518,1.167021,-0.429525,0.796227,-0.000003,-0.000019,0.604998
1.740000,1.330494,5.379745,0.038265,-4.088218,1.075094,-0.433059,0.789277,0.000000,-0.000014,0.614037
1.770000,1.207498,5.410610,0.025240,-4.111563,0.982582,-0.435325,0.782226,0.000007,-0.000018,0.622994
1.800000,1.083832,5.438697,0.012165,-4.132783,0.889830,-0.436338,0.775070,0.000012,-0.000022,0.631876
1.830000,0.959559,5.463992,-0.000926,-4.152077,0.796524,-0.436338,0.767819,0.000017,-0.000025,0.640666
1.860000,0.834741,5.486478,-0.013997,-4.169126,0.702570,-0.435086,0.760466,0.000016,-0.000028,0.649378
1.890000,0.709445,5.506142,-0.027010,-4.183990,0.608329,-0.432472,0.753008,0.000022,-0.000030,0.658011
1.920000,0.583735,5.522972,-0.039932,-4.196671,0.513706,-0.428945,0.745454,0.000018,-0.000024,0.666557
1.950000,0.457674,5.536963,-0.052727,-4.207367,0.418992,-0.424096,0.737811,0.000017,-0.000019,0.675008
1.980000,0.331324,5.548108,-0.065360,-4.215980,0.324044,-0.418096,0.730067,0.000015,-0.000024,0.683376
2.010000,0.204751,5.556401,-0.077797,-4.222229,0.228811,-0.411023,0.722225,0.000019,-0.000025,0.691658
2.040000,0.078023,5.561837,-0.090002,-4.226268,0.133569,-0.402671,0.714296,0.000025,-0.000031,0.699844
2.070000,-0.048796,5.564413,-0.101940,-4.228381,0.038158,-0.393176,0.706271,0.000017,-0.000029,0.707942
2.100000,-0.175643,5.564127,-0.113579,-4.228037,-0.057213,-0.382785,0.698155,0.000012,-0.000031,0.715946
2.130000,-0.302450,5.560981,-0.124890,-4.225764,-0.152547,-0.371245,0.689948,0.000016,-0.000029,0.723859
2.160000,-0.429155,5.554976,-0.135840,-4.221250,-0.247733,-0.358796,0.681648,0.000020,-0.000026,0.731680
2.190000,-0.555692,5.546116,-0.146401,-4.214550,-0.342970,-0.345270,0.673268,0.000027,-0.000027,0.739398
2.220000,-0.681993,5.534402,-0.156543,-4.205511,-0.437974,-0.330853,0.664799,0.000022,-0.000020,0.747022
2.250000,-0.807993,5.519841,-0.166235,-4.194513,-0.532721,-0.315259,0.656235,0.000029,-0.000017,0.754556
2.280000,-0.933633,5.502446,-0.175450,-4.181447,-0.626981,-0.299065,0.647593,0.000028,-0.000018,0.761987
2.310000,-1.058844,5.482224,-0.184166,-4.165970,-0.721158,-0.282007,0.638862,0.000025,-0.000017,0.769322
2.340000,-1.183558,5.459183,-0.192360,-4.148302,-0.814870,-0.264247,0.630050,0.000015,-0.000015,0.776554
2.370000,-1.307714,5.433335,-0.200009,-4.128769,-0.908341,-0.245732,0.621163,0.000015,-0.000009,0.783682
2.400000,-1.431248,5.404691,-0.207093,-4.106849,-1.001264,-0.226516,0.612188,0.000007,-0.000010,0.790712
2.430000,-1.554096,5.373268,-0.213589,-4.083003,-1.093584,-0.206537,0.603130,0.000000,-0.000015,0.797643
2.460000,-1.676195,5.339085,-0.219477,-4.056910,-1.185330,-0.186020,0.594000,0.000008,-0.000019,0.804465
2.490000,-1.797482,5.302156,-0.224742,-4.028928,-1.276592,-0.164970,0.584790,0.000010,-0.000018,0.811185
2.520000,-1.917898,5.262500,-0.229371,-3.998811,-1.367107,-0.143588,0.575506,0.000006,-0.000022,0.817798
2.550000,-2.037381,5.220138,-0.233352,-3.966697,-1.457021,-0.121828,0.566151,0.000001,-0.000019,0.824302
2.580000,-2.155867,5.175092,-0.236674,-3.932359,-1.546087,-0.099657,0.556712,-0.000006,-0.000019,0.830706
2.610000,-2.273292,5.127386,-0.239326,-3.895967,-1.634319,-0.077155,0.547206,-0.000009,-0.000012,0.836998
2.640000,-2.389599,5.077045,-0.241299,-3.857825,-1.721732,-0.054349,0.537634,-0.000010,-0.000006,0.843178
2.670000,-2.504729,5.024097,-0.242589,-3.817549,-1.808156,-0.031686,0.527987,0.000001,-0.000003,0.849252
2.700000,-2.618625,4.968570,-0.243195,-3.775533,-1.893579,-0.008722,0.518266,-0.000002,0.000002,0.855219
