timestamp,p_x,p_y,p_z,v_x,v_y,v_z,q_w,q_x,q_y,q_z
0.000000,5.500000,0.000000,0.000000,-0.000000,4.180000,0.437000,1.000000,0.000000,0.000000,0.000000
0.030000,5.492721,0.124312,0.013280,-0.485263,4.107440,0.448351,0.999710,-0.004221,-0.007504,0.022497
0.060000,5.473252,0.246930,0.026669,-0.812665,4.067131,0.444205,0.999506,-0.006553,-0.008145,0.029639
0.090000,5.445804,0.368886,0.039906,-1.017209,4.063232,0.438294,0.999165,-0.007179,-0.006971,0.039611
0.120000,5.413692,0.491059,0.052972,-1.123602,4.081650,0.432761,0.998656,-0.006608,-0.006145,0.051046
0.150000,5.379446,0.613965,0.065869,-1.159453,4.112067,0.427066,0.998030,-0.005253,-0.004654,0.062349
0.180000,5.344744,0.737827,0.078583,-1.154009,4.145448,0.420522,0.997292,-0.003551,-0.004011,0.073349
0.210000,5.310420,0.862621,0.091071,-1.134277,4.174142,0.411993,0.996462,-0.002184,-0.003797,0.083933
0.240000,5.276619,0.988136,0.103281,-1.119136,4.193540,0.402021,0.995482,-0.002088,-0.003423,0.094871
0.270000,5.243070,1.114081,0.115176,-1.117446,4.202753,0.390965,0.994431,-0.001449,-0.003336,0.105323
0.300000,5.209315,1.240170,0.126722,-1.132870,4.203174,0.378754,0.993430,-0.000734,-0.003636,0.114383
0.330000,5.174841,1.366134,0.137890,-1.165428,4.194462,0.365806,0.991976,-0.000359,-0.003120,0.126387
0.360000,5.139174,1.491691,0.148664,-1.212372,4.175997,0.352454,0.990626,0.000028,-0.003247,0.136566
0.390000,5.101895,1.616580,0.159024,-1.272908,4.149903,0.338232,0.989083,0.000363,-0.003001,0.147329
0.420000,5.062635,1.740579,0.168954,-1.344385,4.116720,0.323776,0.987365,0.000357,-0.002664,0.158438
0.450000,5.021114,1.863512,0.178453,-1.423676,4.078801,0.309435,0.985589,0.000346,-0.002504,0.169136
0.480000,4.977137,1.985259,0.187516,-1.508155,4.037675,0.294810,0.983534,0.000477,-0.002386,0.180705
0.510000,4.930583,2.105742,0.196137,-1.595420,3.994541,0.279891,0.981510,0.000495,-0.002333,0.191397
0.540000,4.881390,2.224911,0.204298,-1.684119,3.950065,0.264179,0.979164,0.000481,-0.002278,0.203059
0.570000,4.829532,2.342737,0.211978,-1.773081,3.904953,0.247816,0.976938,0.000595,-0.001884,0.213513
0.600000,4.775022,2.459207,0.219159,-1.860932,3.859769,0.230914,0.974314,0.000773,-0.001848,0.225185
0.630000,4.717898,2.574325,0.225818,-1.947334,3.814706,0.213064,0.971885,0.000730,-0.001782,0.235449
0.660000,4.658209,2.688092,0.231933,-2.031949,3.769800,0.194570,0.968943,0.000920,-0.001551,0.247276
0.690000,4.596025,2.800514,0.237483,-2.113611,3.724978,0.175420,0.966309,0.000943,-0.001436,0.257381
0.720000,4.531441,2.911598,0.242447,-2.192023,3.680607,0.155553,0.963142,0.001071,-0.001238,0.268990
0.750000,4.464549,3.021340,0.246806,-2.267449,3.635590,0.135047,0.960250,0.001003,-0.001274,0.279137
0.780000,4.395419,3.129718,0.250537,-2.341222,3.589560,0.113681,0.956959,0.001181,-0.001213,0.290219
0.810000,4.324096,3.236674,0.253620,-2.413610,3.540887,0.091832,0.953722,0.001154,-0.000964,0.300686
0.840000,4.250611,3.342126,0.256040,-2.485386,3.489206,0.069483,0.950278,0.001255,-0.000986,0.311399
0.870000,4.174974,3.445968,0.257786,-2.557102,3.433638,0.046966,0.946660,0.001276,-0.000659,0.322230
0.900000,4.097174,3.548090,0.258857,-2.629545,3.374453,0.024411,0.943234,0.001387,-0.000886,0.332124
0.930000,4.017182,3.648369,0.259253,-2.703256,3.310829,0.001958,0.939144,0.001496,-0.000420,0.343520
0.960000,3.934974,3.746677,0.258980,-2.777306,3.243005,-0.020131,0.935445,0.001426,-0.000483,0.353469
0.990000,3.850539,3.842903,0.258046,-2.851690,3.172091,-0.042100,0.930997,0.001425,-0.000241,0.365023
1.020000,3.763875,3.936949,0.256462,-2.925877,3.097675,-0.063543,0.927014,0.001344,-0.000334,0.375024
1.050000,3.674988,4.028732,0.254237,-2.999909,3.021145,-0.084808,0.922406,0.001366,-0.000132,0.386219
1.080000,3.583898,4.118185,0.251374,-3.072807,2.942435,-0.106021,0.918186,0.001470,-0.000096,0.396148
1.110000,3.490633,4.205256,0.247875,-3.144811,2.862297,-0.127274,0.913516,0.001920,0.000024,0.406798
1.140000,3.395241,4.289900,0.243744,-3.214672,2.780609,-0.148108,0.908890,0.001661,0.000399,0.417032
1.170000,3.297791,4.372086,0.239001,-3.281976,2.698440,-0.168119,0.903969,0.001557,0.000056,0.427595
1.200000,3.198358,4.451800,0.233668,-3.346896,2.615845,-0.187400,0.899176,0.001266,0.000325,0.437585
1.230000,3.097018,4.529030,0.227770,-3.409142,2.532819,-0.205753,0.893972,0.001265,0.000063,0.448121
1.260000,2.993848,4.603761,0.221335,-3.468813,2.449250,-0.223290,0.888979,0.001103,0.000408,0.457947
1.290000,2.888926,4.675981,0.214387,-3.526043,2.365444,-0.239925,0.883461,0.000997,0.000197,0.468504
1.320000,2.782312,4.745677,0.206953,-3.581506,2.280953,-0.255648,0.878313,0.000731,0.000476,0.478085
1.350000,2.674049,4.812824,0.199061,-3.636060,2.195489,-0.270485,0.872511,0.000377,0.000455,0.488594
1.380000,2.564160,4.877398,0.190732,-3.689852,2.109468,-0.284814,0.867156,0.000173,0.000567,0.498037
1.410000,2.452670,4.939392,0.181978,-3.742839,2.023459,-0.298725,0.860905,-0.000213,0.000651,0.508766
1.440000,2.339605,4.998808,0.172816,-3.794830,1.937584,-0.312123,0.855540,-0.000401,0.000680,0.517736
1.470000,2.224993,5.055647,0.163254,-3.845943,1.851656,-0.325343,0.848902,-0.000567,0.000843,0.528550
1.500000,2.108864,5.109911,0.153305,-3.895989,1.765994,-0.337913,0.843405,-0.000794,0.001009,0.537276
1.530000,1.991255,5.161617,0.142984,-3.944603,1.681072,-0.350162,0.836506,-0.000826,0.001155,0.547956
1.560000,1.872229,5.210794,0.132295,-3.990474,1.597394,-0.362449,0.830827,-0.000801,0.001410,0.556529
1.590000,1.751878,5.257481,0.121241,-4.032947,1.515074,-0.374446,0.823706,-0.000956,0.001884,0.567013
1.620000,1.630304,5.301718,0.109835,-4.071959,1.434025,-0.385954,0.817992,-0.001188,0.001815,0.575225
1.650000,1.507598,5.343531,0.098097,-4.108485,1.353530,-0.396622,0.810612,-0.001330,0.002122,0.585578
1.680000,1.383844,5.382926,0.086055,-4.141789,1.272785,-0.406122,0.804715,-0.001565,0.002176,0.593655
1.710000,1.259130,5.419894,0.073745,-4.172468,1.191764,-0.414548,0.797202,-0.001635,0.002373,0.603706
1.740000,1.133547,5.454420,0.061203,-4.199738,1.109976,-0.421624,0.791081,-0.001780,0.002498,0.611703
1.770000,1.007194,5.486480,0.048471,-4.223750,1.027315,-0.427174,0.783597,-0.001797,0.002657,0.621261
1.800000,0.880186,5.516032,0.035593,-4.243444,0.942831,-0.431314,0.777037,-0.001796,0.002781,0.629446
1.830000,0.752637,5.543024,0.022612,-4.259824,0.856651,-0.434131,0.769820,-0.001806,0.002881,0.638253
1.860000,0.624658,5.567387,0.009565,-4.272162,0.767553,-0.435655,0.762815,-0.001754,0.002946,0.646608
1.890000,0.496359,5.589020,-0.003507,-4.281070,0.674627,-0.435800,0.755518,-0.001671,0.003111,0.655118
1.920000,0.367845,5.607797,-0.016562,-4.286542,0.577160,-0.434568,0.748314,-0.001568,0.003155,0.663335
1.950000,0.239210,5.623569,-0.029561,-4.289151,0.474349,-0.432029,0.741195,-0.001486,0.003255,0.671281
1.980000,0.110533,5.636186,-0.042466,-4.289299,0.366771,-0.428272,0.733690,-0.001400,0.003232,0.679475
2.010000,-0.018110,5.645539,-0.055239,-4.286873,0.256747,-0.423261,0.725937,-0.001383,0.003124,0.687752
2.040000,-0.146642,5.651592,-0.067837,-4.281961,0.146802,-0.416602,0.718124,-0.001493,0.002964,0.695908
2.070000,-0.275000,5.654369,-0.080212,-4.275229,0.038341,-0.408444,0.710533,-0.001982,0.002427,0.703657
2.100000,-0.403140,5.653926,-0.092326,-4.267433,-0.067867,-0.399094,0.702311,-0.002041,0.001960,0.711865
2.130000,-0.531023,5.650332,-0.104144,-4.258062,-0.171729,-0.388782,0.694017,-0.002158,0.001647,0.719954
2.160000,-0.658609,5.643643,-0.115641,-4.247711,-0.274211,-0.377703,0.685420,-0.002141,0.000969,0.728145
2.190000,-0.785878,5.633893,-0.126793,-4.236887,-0.375800,-0.365777,0.676808,-0.002271,0.000631,0.736156
2.220000,-0.912808,5.621114,-0.137569,-4.225107,-0.476104,-0.352603,0.667976,-0.002384,0.000372,0.744179
2.250000,-1.039372,5.605349,-0.147932,-4.212484,-0.574921,-0.338265,0.659051,-0.002435,0.000205,0.752095
2.280000,-1.165542,5.586643,-0.157849,-4.198856,-0.672125,-0.322870,0.649934,-0.002446,0.000125,0.759987
2.310000,-1.291282,5.565049,-0.167287,-4.183807,-0.767511,-0.306359,0.640518,-0.002430,0.000118,0.767939
2.340000,-1.416547,5.540617,-0.176215,-4.167217,-0.861300,-0.288794,0.631514,-0.002324,0.000049,0.775361
2.370000,-1.541293,5.513384,-0.184602,-4.149150,-0.954207,-0.270395,0.622325,-0.002217,0.000027,0.782755
2.400000,-1.665470,5.483374,-0.192427,-4.129322,-1.046449,-0.251244,0.613039,-0.002022,0.000037,0.790050
2.430000,-1.789022,5.450612,-0.199668,-4.107464,-1.137687,-0.231493,0.603574,-0.001665,0.000088,0.797305
2.460000,-1.911884,5.415123,-0.206311,-4.083370,-1.228265,-0.211397,0.594117,-0.001247,0.000117,0.804378
2.490000,-2.033990,5.376922,-0.212343,-4.057017,-1.318477,-0.190675,0.584937,-0.001219,0.000036,0.811078
2.520000,-2.155272,5.336013,-0.217741,-4.028478,-1.408752,-0.169238,0.575470,-0.001043,-0.000062,0.817822
2.550000,-2.275658,5.292397,-0.222493,-3.997252,-1.499023,-0.147540,0.565991,-0.000732,-0.000087,0.824411
2.580000,-2.395072,5.246070,-0.226584,-3.963678,-1.589398,-0.125201,0.556599,-0.000401,0.000014,0.830781
2.610000,-2.513441,5.197033,-0.229988,-3.927586,-1.679750,-0.101729,0.547000,-0.000434,0.000524,0.837133
2.640000,-2.630690,5.145290,-0.232664,-3.888982,-1.769782,-0.076693,0.537419,-0.000196,0.000731,0.843315
2.670000,-2.746745,5.090852,-0.234581,-3.848010,-1.859450,-0.051087,0.527695,-0.000078,0.000788,0.849434
2.700000,-2.861535,5.033731,-0.235727,-3.804654,-1.948628,-0.025310,0.518004,0.000069,0.000793,0.855378
2.730000,-2.974994,4.973947,-0.236098,-3.759296,-2.036935,0.000562,0.508188,0.000190,0.000810,0.861246
2.760000,-3.087064,4.911533,-0.235693,-3.712042,-2.123986,0.026454,0.498427,0.000307,0.000938,0.866931
2.790000,-3.197691,4.846536,-0.234511,-3.663073,-2.209159,0.052332,0.488562,0.000442,0.001006,0.872529
2.820000,-3.306821,4.779009,-0.232557,-3.612303,-2.292660,0.077917,0.478647,0.000569,0.001038,0.878007
2.850000,-3.414401,4.709002,-0.229844,-3.559667,-2.374497,0.102959,0.468677,0.000680,0.001047,0.883369
2.880000,-3.520376,4.636562,-0.226388,-3.505348,-2.454808,0.127453,0.458667,0.000793,0.001034,0.888607
