timestamp,p_x,p_y,p_z,v_x,v_y,v_z,q_w,q_x,q_y,q_z
0.000000,5.500000,0.000000,0.000000,-0.000000,4.180000,0.437000,1.000000,0.000000,0.000000,0.000000
0.030000,5.498571,0.125403,0.013108,-0.095265,4.180155,0.436891,1.001357,0.000001,-0.000007,0.011392
0.060000,5.494282,0.250775,0.026199,-0.190660,4.178000,0.435861,1.000460,0.000003,-0.000001,0.022783
0.090000,5.487136,0.376049,0.039237,-0.285763,4.173638,0.433313,0.999314,0.000007,-0.000001,0.034195
0.120000,5.477137,0.501162,0.052182,-0.380847,4.167209,0.429709,0.998910,0.000017,-0.000003,0.045593
0.150000,5.464290,0.626051,0.065001,-0.475643,4.158709,0.424890,0.998361,0.000017,-0.000001,0.056972
0.180000,5.448598,0.750651,0.077660,-0.570443,4.147958,0.419030,0.997670,0.000010,-0.000007,0.068353
0.210000,5.430068,0.874895,0.090123,-0.664877,4.134980,0.411846,0.996845,0.000006,-0.000010,0.079723
0.240000,5.408712,0.998719,0.102354,-0.758892,4.119972,0.403573,0.995886,0.000004,-0.000018,0.091087
0.270000,5.384541,1.122058,0.114323,-0.852501,4.102620,0.394295,0.994791,-0.000003,-0.000000,0.102439
0.300000,5.357566,1.244847,0.125994,-0.945821,4.083268,0.383806,0.993574,-0.000008,0.000005,0.113766
0.330000,5.327800,1.367020,0.137335,-1.038577,4.061590,0.372263,0.992294,-0.000014,0.000023,0.125073
0.360000,5.295255,1.488514,0.148315,-1.131081,4.038019,0.359685,0.990723,-0.000014,0.000019,0.136388
0.390000,5.259946,1.609265,0.158901,-1.222898,4.012094,0.346097,0.988990,-0.000010,0.000017,0.147686
0.420000,5.221892,1.729212,0.169066,-1.314072,3.984322,0.331566,0.987260,-0.000011,0.000024,0.158957
0.450000,5.181112,1.848292,0.178784,-1.404571,3.954388,0.316327,0.985400,-0.000011,0.000022,0.170192
0.480000,5.137626,1.966446,0.188032,-1.494487,3.922532,0.300210,0.983411,-0.000007,0.000018,0.181415
0.510000,5.091455,2.083609,0.196781,-1.583580,3.888426,0.283029,0.981188,-0.000002,0.000020,0.192628
0.540000,5.042625,2.199724,0.205005,-1.671738,3.852515,0.265203,0.978927,-0.000002,0.000020,0.203801
0.570000,4.991164,2.314731,0.212681,-1.758999,3.814626,0.246519,0.976539,0.000008,0.000017,0.214949
0.600000,4.937096,2.428568,0.219788,-1.845518,3.774512,0.227296,0.974024,0.000001,0.000021,0.226063
0.630000,4.880449,2.541173,0.226310,-1.930920,3.732497,0.207524,0.971378,-0.000008,0.000027,0.237160
0.660000,4.821254,2.652491,0.232228,-2.015441,3.688764,0.187029,0.968589,0.000001,0.000024,0.248219
0.690000,4.759538,2.762465,0.237525,-2.098960,3.642808,0.166110,0.965698,0.000015,0.000017,0.259253
0.720000,4.695333,2.871031,0.242188,-2.181428,3.594925,0.144726,0.962670,0.000016,0.000018,0.270256
0.750000,4.628669,2.978135,0.246203,-2.262808,3.545352,0.122978,0.959523,0.000014,0.000012,0.281215
0.780000,4.559583,3.083726,0.249562,-2.342920,3.493987,0.100945,0.956331,0.000012,0.000019,0.292117
0.810000,4.488109,3.187749,0.252254,-2.421998,3.440907,0.078476,0.952939,0.000020,0.000012,0.303001
0.840000,4.414284,3.290151,0.254270,-2.499668,3.385880,0.055937,0.949423,0.000024,0.000021,0.313849
0.870000,4.338145,3.390874,0.255609,-2.576255,3.329020,0.033304,0.945790,0.000020,0.000018,0.324657
0.900000,4.259729,3.489866,0.256266,-2.651522,3.270393,0.010515,0.942027,0.000029,0.000019,0.335415
0.930000,4.179076,3.587073,0.256240,-2.725329,3.210109,-0.012244,0.938141,0.000034,0.000019,0.346133
0.960000,4.096230,3.682449,0.255527,-2.797720,3.148297,-0.035283,0.934137,0.000026,0.000024,0.356799
0.990000,4.011235,3.775946,0.254125,-2.868620,3.084807,-0.058139,0.930005,0.000019,0.000021,0.367434
1.020000,3.924132,3.867515,0.252044,-2.938282,3.019799,-0.080606,0.925755,0.000018,0.000025,0.378013
1.050000,3.834962,3.957110,0.249289,-3.006388,2.953253,-0.103098,0.921383,0.000015,0.000028,0.388549
1.080000,3.743775,4.044685,0.245866,-3.072736,2.885065,-0.125052,0.916893,0.000011,0.000030,0.399031
1.110000,3.650621,4.130192,0.241788,-3.137534,2.815407,-0.146831,0.912261,0.000008,0.000031,0.409475
1.140000,3.555547,4.213587,0.237062,-3.200722,2.744285,-0.168244,0.907535,0.000014,0.000032,0.419843
1.170000,3.458601,4.294827,0.231699,-3.262364,2.671703,-0.189293,0.902691,0.000005,0.000036,0.430158
1.200000,3.359829,4.373868,0.225716,-3.322433,2.597715,-0.209582,0.897725,-0.000002,0.000042,0.440428
1.230000,3.259283,4.450667,0.219132,-3.380653,2.522216,-0.229283,0.892623,-0.000002,0.000036,0.450648
1.260000,3.157012,4.525183,0.211967,-3.437385,2.445522,-0.248383,0.887426,-0.000010,0.000038,0.460796
1.290000,3.053068,4.597381,0.204239,-3.492224,2.367665,-0.266844,0.882138,-0.000010,0.000044,0.470871
1.320000,2.947504,4.667222,0.195965,-3.545339,2.288394,-0.284754,0.876716,-0.000001,0.000056,0.480898
1.350000,2.840377,4.734671,0.187169,-3.596472,2.208198,-0.301661,0.871187,-0.000010,0.000050,0.490853
1.380000,2.731742,4.799693,0.177879,-3.645889,2.126638,-0.317674,0.865529,-0.000005,0.000048,0.500761
1.410000,2.621651,4.862254,0.168120,-3.693538,2.044080,-0.332904,0.859759,-0.000014,0.000049,0.510603
1.440000,2.510161,4.922320,0.157916,-3.739078,1.960310,-0.347395,0.853904,-0.000015,0.000051,0.520360
1.470000,2.397335,4.979858,0.147294,-3.782698,1.875566,-0.360769,0.847894,-0.000005,0.000051,0.530080
1.500000,2.283227,5.034839,0.136283,-3.824397,1.789871,-0.373231,0.841834,0.000000,0.000041,0.539693
