timestamp,p_x,p_y,p_z,v_x,v_y,v_z,q_w,q_x,q_y,q_z
0.000000,5.500000,0.000000,0.000000,-0.000000,4.180000,0.437000,1.000000,0.000000,0.000000,0.000000
0.030000,5.498599,0.125337,0.013145,-0.093399,4.175792,0.439303,0.999963,0.004247,-0.001656,0.007287
0.060000,5.494292,0.250720,0.025960,-0.191001,4.176099,0.428688,0.999796,0.006593,0.001080,0.019046
0.090000,5.487291,0.376329,0.038594,-0.282588,4.175352,0.423631,0.999518,0.008830,0.001051,0.029742
0.120000,5.477912,0.502833,0.050663,-0.370199,4.182184,0.413056,0.999109,0.010080,0.001020,0.040977
0.150000,5.466834,0.630375,0.062479,-0.449257,4.191409,0.404169,0.998598,0.010744,0.000291,0.051830
0.180000,5.454291,0.759062,0.073830,-0.522705,4.202131,0.393474,0.997978,0.011008,-0.000543,0.062592
0.210000,5.439995,0.888370,0.084888,-0.594687,4.208981,0.383095,0.997264,0.010977,-0.001501,0.073082
0.240000,5.423501,1.017873,0.095578,-0.668501,4.210510,0.372103,0.996458,0.010748,-0.002457,0.083371
0.270000,5.404679,1.147060,0.105968,-0.744320,4.205015,0.360689,0.995558,0.010363,-0.003390,0.093512
0.300000,5.376500,1.257944,0.107100,-0.872212,4.107857,0.301263,0.994067,0.004290,-0.005293,0.108554
0.330000,5.351688,1.374182,0.118928,-0.950206,4.054009,0.314502,0.992522,-0.000352,-0.007106,0.121856
0.360000,5.321756,1.484446,0.126629,-1.055874,3.986072,0.288803,0.990342,-0.004905,-0.006337,0.138414
0.390000,5.292603,1.591664,0.141658,-1.131676,3.892633,0.304780,0.988582,-0.006282,-0.005922,0.150438
0.420000,5.257870,1.696280,0.163724,-1.237775,3.813403,0.344898,0.985920,-0.001479,-0.004884,0.167142
0.450000,5.219700,1.803946,0.149748,-1.331357,3.717978,0.227007,0.984813,-0.004637,-0.006759,0.173426
0.480000,5.175863,1.927304,0.159025,-1.430610,3.793303,0.240861,0.981695,-0.001979,-0.009918,0.190192
0.510000,5.131538,2.027069,0.147658,-1.537355,3.632492,0.145457,0.980916,-0.003105,-0.010781,0.194108
0.540000,5.079963,2.163446,0.159861,-1.610127,3.834624,0.167611,0.977110,-0.001531,-0.012757,0.212347
0.570000,5.031533,2.252953,0.157610,-1.738959,3.571255,0.119673,0.976597,-0.004786,-0.012039,0.214685
0.600000,4.956442,2.384830,0.164844,-1.945475,3.704782,0.114249,0.972232,-0.001109,-0.011946,0.233712
0.630000,4.895954,2.472417,0.176202,-2.083696,3.457526,0.132098,0.971668,-0.002500,-0.010166,0.236119
0.660000,4.808527,2.608648,0.182407,-2.287057,3.625336,0.108887,0.967315,0.000393,-0.008949,0.253418
0.690000,4.748220,2.705007,0.178590,-2.308912,3.494037,0.050513,0.966871,0.000239,-0.008866,0.255111
0.720000,4.663237,2.851472,0.181748,-2.440523,3.718301,0.020559,0.961591,0.000403,-0.007793,0.274374
0.750000,4.613116,2.935092,0.176611,-2.392553,3.512792,-0.019746,0.960985,0.000823,-0.009296,0.276444
0.780000,4.516722,3.076756,0.177825,-2.583048,3.665483,-0.043882,0.956011,0.002076,-0.008263,0.293206
0.810000,4.454595,3.163043,0.173697,-2.575194,3.479624,-0.071480,0.955182,0.001989,-0.009769,0.295851
0.840000,4.361695,3.299841,0.169367,-2.719724,3.606488,-0.112398,0.949939,0.002497,-0.008852,0.312301
0.870000,4.290818,3.385960,0.168430,-2.736056,3.426191,-0.116070,0.948711,0.002141,-0.010747,0.315953
0.900000,4.202158,3.513385,0.162109,-2.839935,3.507619,-0.159181,0.943464,0.002418,-0.009649,0.331327
0.930000,4.199526,3.546418,0.201510,-2.597988,3.123968,0.036082,0.937824,0.000264,-0.007353,0.347032
0.960000,4.120540,3.639034,0.202403,-2.667771,3.050392,0.023476,0.932220,-0.000017,-0.005931,0.361843
0.990000,4.039464,3.729449,0.202905,-2.737297,2.977296,0.009991,0.929100,-0.000081,-0.006634,0.369769
1.020000,3.956257,3.817681,0.202985,-2.809805,2.904812,-0.004688,0.923588,0.000107,-0.005225,0.383351
1.050000,3.870854,3.903725,0.202613,-2.883724,2.831487,-0.020123,0.919955,0.000562,-0.005488,0.391986
1.080000,3.783173,3.987555,0.201755,-2.961683,2.757154,-0.037021,0.914616,0.001792,-0.004377,0.404296
1.110000,3.693127,4.069124,0.200400,-3.041431,2.680805,-0.053316,0.910239,0.001554,-0.003330,0.414068
1.140000,3.600670,4.148418,0.198575,-3.122324,2.605418,-0.068390,0.904757,0.001650,-0.003178,0.425913
1.170000,3.505788,4.225461,0.196317,-3.203185,2.530840,-0.082109,0.900055,0.001335,-0.002552,0.435767
1.200000,3.408492,4.300302,0.193673,-3.283173,2.458520,-0.094177,0.894423,0.001195,-0.002413,0.447213
1.230000,3.308831,4.373011,0.190693,-3.360927,2.388790,-0.104482,0.889514,0.000875,-0.001823,0.456904
1.260000,3.206886,4.443672,0.187430,-3.435420,2.321917,-0.113086,0.883429,0.000770,-0.001726,0.468561
1.290000,3.102756,4.512356,0.183929,-3.506563,2.256982,-0.120287,0.878656,0.000329,-0.000950,0.477455
1.320000,2.996519,4.579093,0.180232,-3.575891,2.192180,-0.126179,0.872315,0.000359,-0.000855,0.488944
1.350000,2.888217,4.643856,0.176360,-3.644245,2.125362,-0.131986,0.867902,0.000560,0.000183,0.496736
1.380000,2.777892,4.706593,0.172309,-3.710741,2.057077,-0.138057,0.860866,0.000103,0.000429,0.508831
1.410000,2.665632,4.767288,0.168067,-3.773296,1.989246,-0.144743,0.856618,-0.000980,0.001242,0.515949
1.440000,2.551574,4.825989,0.163601,-3.830555,1.924162,-0.152972,0.849340,-0.001838,0.001490,0.527840
1.470000,2.435898,4.882771,0.158854,-3.881196,1.861338,-0.163527,0.845055,-0.002999,0.002430,0.534665
1.500000,2.318790,4.937716,0.153743,-3.925991,1.801648,-0.177190,0.837864,-0.003989,0.002765,0.545857
1.530000,2.200421,4.990880,0.148166,-3.965269,1.742624,-0.194616,0.832626,-0.005338,0.003906,0.553797
1.560000,2.080929,5.042278,0.142011,-4.000883,1.683924,-0.215700,0.825731,-0.006377,0.004400,0.564011
1.590000,1.960440,5.091873,0.135166,-4.031695,1.622401,-0.240626,0.819124,-0.007870,0.005888,0.573533
1.620000,1.839102,5.139571,0.127534,-4.057523,1.557472,-0.268195,0.813179,-0.009473,0.006348,0.581902
1.650000,1.717095,5.185234,0.119042,-4.076226,1.486708,-0.297935,0.807537,-0.011582,0.007019,0.589662
1.680000,1.594655,5.228644,0.109654,-4.086486,1.407317,-0.327934,0.801637,-0.012916,0.006401,0.597637
1.710000,1.472003,5.269480,0.099378,-4.090311,1.315044,-0.357146,0.795052,-0.013998,0.006357,0.606347
1.740000,1.349261,5.307341,0.088264,-4.092495,1.209026,-0.383745,0.789885,-0.014947,0.007079,0.613032
1.770000,1.226466,5.341919,0.076382,-4.093853,1.096178,-0.408421,0.783149,-0.013250,0.007846,0.621643
1.800000,1.103718,5.373103,0.063719,-4.089297,0.982787,-0.435790,0.775190,-0.009076,0.008467,0.631607
1.830000,0.981194,5.400887,0.050213,-4.078984,0.869483,-0.464606,0.768113,-0.008194,0.008993,0.640198
1.860000,0.858979,5.425273,0.035887,-4.068661,0.756240,-0.490472,0.760401,-0.007275,0.008854,0.649353
1.890000,0.737038,5.446213,0.020814,-4.060780,0.639732,-0.514381,0.751662,-0.005894,0.008297,0.659470
1.920000,0.615256,5.463596,0.005082,-4.057976,0.519161,-0.534434,0.743976,-0.005942,0.007872,0.668133
1.950000,0.493443,5.477369,-0.011134,-4.062944,0.399024,-0.546629,0.735694,-0.006566,0.006914,0.677247
1.980000,0.371347,5.487528,-0.027593,-4.076760,0.278218,-0.550642,0.729125,-0.005289,0.004931,0.684343
2.010000,0.248743,5.494064,-0.044071,-4.096827,0.157566,-0.547878,0.718481,-0.004312,0.005003,0.695515
2.040000,0.125445,5.497096,-0.060321,-4.123028,0.044567,-0.535439,0.710775,-0.004566,0.005886,0.703379
2.070000,0.001217,5.496881,-0.076068,-4.158881,-0.058936,-0.514386,0.702021,-0.002981,0.004814,0.712133
2.100000,-0.124163,5.493688,-0.091093,-4.199799,-0.153931,-0.487244,0.692641,-0.002830,0.003066,0.721271
2.130000,-0.250816,5.487736,-0.105231,-4.243702,-0.242834,-0.455280,0.685235,-0.002031,0.002181,0.728316
2.160000,-0.378747,5.479158,-0.118383,-4.285007,-0.329088,-0.421523,0.676548,-0.001610,0.002132,0.736394
2.190000,-0.507790,5.468012,-0.130528,-4.317866,-0.413925,-0.388199,0.669285,-0.001153,0.002464,0.743001
2.220000,-0.637645,5.454330,-0.141700,-4.339124,-0.498210,-0.356555,0.660652,-0.000889,0.002441,0.750688
2.250000,-0.767927,5.438109,-0.151960,-4.346346,-0.583187,-0.327475,0.653730,-0.000571,0.002461,0.756724
2.280000,-0.898182,5.419283,-0.161393,-4.337327,-0.671888,-0.301389,0.646098,-0.000342,0.002773,0.763249
2.310000,-1.027918,5.397683,-0.170087,-4.311771,-0.768118,-0.278189,0.641992,-0.000121,0.003913,0.766701
2.340000,-1.156613,5.373121,-0.178149,-4.267878,-0.869384,-0.259262,0.630412,0.000383,0.002862,0.776255
2.370000,-1.283777,5.345519,-0.185691,-4.209718,-0.970697,-0.243531,0.625728,-0.000252,0.002873,0.780036
2.400000,-1.409043,5.314938,-0.192804,-4.141340,-1.068068,-0.230672,0.614525,-0.000434,0.000879,0.788897
2.430000,-1.532119,5.281533,-0.199550,-4.063761,-1.158910,-0.219120,0.610028,-0.002350,0.001581,0.792375
2.460000,-1.652819,5.245553,-0.205953,-3.982860,-1.239749,-0.207740,0.597968,-0.001123,0.000841,0.801519
2.490000,-1.771037,5.207236,-0.212030,-3.898383,-1.314759,-0.197381,0.590903,-0.002084,0.001467,0.806739
2.520000,-1.886782,5.166732,-0.217783,-3.817945,-1.385470,-0.186117,0.579093,-0.001173,0.000969,0.815260
2.550000,-2.000229,5.124176,-0.223172,-3.745204,-1.451623,-0.173189,0.570955,-0.001174,0.001735,0.820979
2.580000,-2.111623,5.079730,-0.228134,-3.681059,-1.511439,-0.157618,0.553934,-0.001110,0.000213,0.832560
2.610000,-2.221251,5.033494,-0.232584,-3.627456,-1.570951,-0.139014,0.550947,-0.001450,0.000002,0.834539
