timestamp,p_x,p_y,p_z,v_x,v_y,v_z,q_w,q_x,q_y,q_z
0.000000,5.500000,0.000000,0.000000,-0.000000,4.180000,0.437000,1.000000,0.000000,0.000000,0.000000
0.030000,5.498371,0.125263,0.012942,-0.108606,4.170852,0.425782,0.999943,-0.001776,0.002717,0.010182
0.060000,5.493534,0.250281,0.025628,-0.213828,4.163688,0.420002,0.999746,-0.002273,0.001395,0.022370
0.090000,5.485585,0.375076,0.038170,-0.316111,4.156002,0.416091,0.999453,-0.002243,0.002311,0.032909
0.120000,5.474665,0.499616,0.050620,-0.411910,4.146682,0.413915,0.999002,-0.002682,0.001846,0.044540
0.150000,5.460973,0.623829,0.062993,-0.500921,4.134182,0.410957,0.998468,-0.002981,0.002356,0.055209
0.180000,5.444698,0.747612,0.075257,-0.584027,4.118015,0.406624,0.997757,-0.003327,0.002253,0.066819
0.210000,5.425964,0.870857,0.087354,-0.664923,4.098319,0.399834,0.996954,-0.003629,0.002322,0.077869
0.240000,5.404783,0.993471,0.099209,-0.747131,4.075907,0.390549,0.995965,-0.004018,0.002266,0.089627
0.270000,5.381069,1.115365,0.110743,-0.833811,4.050377,0.378328,0.994831,-0.004127,0.001928,0.101446
0.300000,5.354673,1.236461,0.121875,-0.925945,4.022655,0.363818,0.993579,-0.004152,0.002192,0.113045
0.330000,5.325449,1.356708,0.132550,-1.022301,3.993822,0.347888,0.992170,-0.004164,0.002279,0.124807
0.360000,5.293286,1.476080,0.142723,-1.121895,3.964352,0.330271,0.990623,-0.004061,0.002404,0.136539
0.390000,5.258107,1.594569,0.152346,-1.223368,3.934918,0.311281,0.988931,-0.003799,0.002452,0.148308
0.420000,5.219874,1.712186,0.161384,-1.325508,3.906197,0.291246,0.987093,-0.003185,0.002491,0.160099
0.450000,5.178586,1.828955,0.169802,-1.427057,3.878381,0.269931,0.985105,-0.002213,0.002241,0.171927
0.480000,5.134284,1.944906,0.177555,-1.526414,3.851670,0.246957,0.982951,-0.000406,0.001578,0.183858
0.510000,5.087056,2.060072,0.184603,-1.622102,3.826067,0.222949,0.980729,0.000955,0.001388,0.195367
0.540000,5.037030,2.174490,0.190928,-1.712952,3.801832,0.198711,0.978475,0.001408,0.001332,0.206355
0.570000,4.984355,2.288201,0.196524,-1.798684,3.778870,0.174328,0.976012,0.001678,0.000973,0.217708
0.600000,4.929186,2.401228,0.201386,-1.879302,3.756322,0.149818,0.973534,0.002223,0.000814,0.228529
0.630000,4.871665,2.513570,0.205518,-1.955421,3.733093,0.125636,0.970870,0.002937,0.000527,0.239589
0.660000,4.811913,2.625184,0.208925,-2.028053,3.707890,0.101523,0.968262,0.003780,-0.000291,0.249907
0.690000,4.750014,2.735989,0.211610,-2.098511,3.679110,0.077474,0.965241,0.004106,-0.000494,0.261328
0.720000,4.686025,2.845857,0.213591,-2.167409,3.645362,0.054544,0.962145,0.004632,-0.000582,0.272497
0.750000,4.619984,2.954636,0.214901,-2.235345,3.606579,0.032821,0.958983,0.004865,-0.000937,0.283420
0.780000,4.551916,3.062184,0.215573,-2.302531,3.563282,0.011954,0.955763,0.004802,-0.001317,0.294097
0.810000,4.481832,3.168375,0.215632,-2.369743,3.516130,-0.008023,0.952599,0.004353,-0.001461,0.304193
0.840000,4.409732,3.273091,0.215104,-2.436917,3.464960,-0.027132,0.948994,0.004411,-0.002134,0.315256
0.870000,4.335620,3.376211,0.214007,-2.503878,3.409687,-0.046025,0.945552,0.004482,-0.002584,0.325429
0.900000,4.259501,3.477611,0.212349,-2.570696,3.350338,-0.064513,0.941510,0.004532,-0.003130,0.336941
0.930000,4.181380,3.577161,0.210147,-2.637373,3.286346,-0.082304,0.937540,0.004631,-0.003319,0.347831
0.960000,4.101262,3.674735,0.207426,-2.703865,3.218576,-0.099040,0.933430,0.004666,-0.003679,0.358711
0.990000,4.019155,3.770234,0.204216,-2.769918,3.148015,-0.114994,0.929313,0.004574,-0.004020,0.369244
1.020000,3.935084,3.863583,0.200540,-2.834816,3.075216,-0.130075,0.924896,0.004573,-0.004363,0.380168
1.050000,3.849093,3.954722,0.196419,-2.897931,3.000726,-0.144661,0.920498,0.004555,-0.004625,0.390693
1.080000,3.761231,4.043599,0.191869,-2.959540,2.924412,-0.158649,0.915912,0.004486,-0.004870,0.401325
1.110000,3.671530,4.130146,0.186908,-3.020507,2.845385,-0.172105,0.911065,0.004314,-0.005099,0.412208
1.140000,3.580000,4.214272,0.181554,-3.081521,2.763059,-0.184791,0.906224,0.004088,-0.005335,0.422744
1.170000,3.486635,4.295888,0.175828,-3.142761,2.677958,-0.196982,0.901273,0.003744,-0.005537,0.433201
1.200000,3.391432,4.374910,0.169748,-3.204128,2.590181,-0.208317,0.896300,0.003226,-0.005690,0.443400
1.230000,3.294392,4.451266,0.163341,-3.265239,2.500223,-0.218841,0.891034,0.002941,-0.005884,0.453890
1.260000,3.195532,4.524893,0.156629,-3.325412,2.408254,-0.228621,0.885748,0.002588,-0.005876,0.464123
