timestamp,p_x,p_y,p_z,v_x,v_y,v_z,q_w,q_x,q_y,q_z
0.000000,5.500000,0.000000,0.000000,-0.000000,4.180000,0.437000,1.000000,0.000000,0.000000,0.000000
0.030000,5.496588,0.126983,0.012539,-0.493482,4.308179,0.326342,1.227033,0.000680,-0.000797,0.005105
0.060000,5.478989,0.257005,0.021845,-0.806902,4.328084,0.276868,1.123967,0.000771,-0.002249,0.020027
0.090000,5.452345,0.387202,0.029783,-0.990454,4.289592,0.269040,1.119319,0.001513,-0.002491,0.029326
0.120000,5.420425,0.515985,0.037563,-1.074683,4.223262,0.290926,1.088795,0.001327,-0.002411,0.041425
0.150000,5.386260,0.642566,0.046061,-1.097220,4.153086,0.332752,1.046031,-0.000569,-0.003940,0.054250
0.180000,5.351686,0.766866,0.055861,-1.095308,4.100314,0.384105,1.038342,-0.000977,-0.005632,0.066304
0.210000,5.317292,0.889541,0.067286,-1.087248,4.065653,0.430751,1.018964,-0.000750,-0.004065,0.078007
0.240000,5.283187,1.011141,0.080078,-1.074643,4.049283,0.476052,1.015179,-0.002098,-0.005513,0.089266
0.270000,5.249579,1.132125,0.094253,-1.075683,4.066162,0.513964,1.037370,-0.001787,-0.005006,0.101628
0.300000,5.215964,1.253794,0.109619,-1.090079,4.087890,0.535107,1.015494,-0.001592,-0.004690,0.113171
0.330000,5.181961,1.376202,0.125724,-1.122643,4.097267,0.523298,1.014467,0.000446,-0.000639,0.122284
0.360000,5.146978,1.498778,0.141348,-1.165025,4.105043,0.495436,1.015371,-0.001224,-0.001955,0.133040
0.390000,5.110665,1.621520,0.156103,-1.212231,4.118904,0.452703,1.010962,0.001397,0.000151,0.144602
0.420000,5.072893,1.744648,0.169508,-1.252952,4.134254,0.404063,1.013460,-0.000915,-0.000066,0.154878
0.450000,5.033940,1.868238,0.181369,-1.293758,4.151404,0.358347,1.017415,0.001248,-0.000389,0.164597
0.480000,4.993848,1.992374,0.191874,-1.344746,4.158614,0.311277,1.003859,0.001239,0.000411,0.177789
0.510000,4.952280,2.116752,0.200941,-1.409298,4.147338,0.266048,1.008085,0.003475,0.002467,0.187333
0.540000,4.908884,2.240893,0.208543,-1.498173,4.099207,0.236451,0.998677,-0.001159,-0.001096,0.199717
0.570000,4.862765,2.363493,0.215258,-1.609726,4.029132,0.218866,0.996191,-0.003000,-0.001942,0.210651
0.600000,4.813255,2.483894,0.221455,-1.736580,3.947152,0.210597,1.009137,0.000728,-0.002032,0.218295
0.630000,4.759905,2.601737,0.227508,-1.871445,3.858847,0.196996,0.994935,-0.001328,-0.001427,0.231644
0.660000,4.702451,2.716887,0.233203,-2.003541,3.768049,0.170715,1.003782,-0.008224,-0.000972,0.239246
0.690000,4.641040,2.829252,0.237988,-2.135118,3.692805,0.147557,0.995613,-0.002291,-0.000298,0.252027
0.720000,4.575655,2.939293,0.242055,-2.255256,3.623526,0.128959,0.981025,-0.002840,-0.001253,0.265399
0.750000,4.506649,3.047272,0.245591,-2.361773,3.555527,0.109920,0.982330,-0.002837,0.000060,0.274885
0.780000,4.434421,3.153251,0.248533,-2.447323,3.481886,0.094330,0.996913,-0.003289,0.000100,0.276500
0.810000,4.359735,3.256775,0.250927,-2.528088,3.438686,0.092153,0.966138,-0.001534,-0.002529,0.298878
0.840000,4.282660,3.359053,0.253382,-2.603438,3.399783,0.084563,0.961436,-0.002109,-0.001652,0.309904
