timestamp,p_x,p_y,p_z,v_x,v_y,v_z,q_w,q_x,q_y,q_z
0.000000,5.500000,0.000000,0.000000,-0.000000,4.180000,0.437000,1.000000,0.000000,0.000000,0.000000
0.030000,5.498677,0.125400,0.013123,-0.088224,4.180003,0.437874,0.999947,-0.000339,-0.000538,0.010289
0.060000,5.495731,0.250950,0.026291,-0.153542,4.183057,0.438014,0.999752,-0.000720,-0.000630,0.022254
0.090000,5.492923,0.376518,0.039609,-0.193373,4.181661,0.439106,0.999428,-0.000896,-0.000375,0.033812
0.120000,5.490009,0.502554,0.054671,-0.232341,4.186152,0.460609,0.998854,0.002005,-0.000833,0.047802
0.150000,5.485000,0.627454,0.069043,-0.291139,4.166770,0.463039,0.998410,0.001991,-0.001569,0.056307
0.180000,5.475199,0.751715,0.081717,-0.386158,4.154741,0.441929,0.997476,-0.000219,0.000911,0.071004
0.210000,5.462394,0.869693,0.099686,-0.478440,4.089575,0.473585,0.996648,-0.000015,0.000567,0.081806
0.240000,5.446243,0.988986,0.113251,-0.579216,4.055067,0.457951,0.995458,-0.000811,0.002037,0.095175
0.270000,5.426834,1.106410,0.131071,-0.679557,4.009300,0.474485,0.994307,-0.000423,0.002853,0.106513
0.300000,5.402941,1.223938,0.146443,-0.791604,3.974144,0.467999,0.992885,-0.000120,0.004303,0.118998
0.330000,5.374385,1.337322,0.156043,-0.915455,3.917384,0.431312,0.991306,0.001461,0.005024,0.131471
0.360000,5.341656,1.451068,0.166777,-1.038109,3.867870,0.409502,0.989678,0.002455,0.005142,0.143198
0.390000,5.304526,1.566012,0.177457,-1.161566,3.832047,0.390676,0.987908,0.003050,0.005187,0.154927
0.420000,5.266642,1.674448,0.190837,-1.272709,3.768102,0.385053,0.985801,0.004535,0.005656,0.167759
0.450000,5.225771,1.782787,0.201038,-1.376672,3.711593,0.364365,0.983550,0.004362,0.005750,0.180490
0.480000,5.179562,1.892960,0.210452,-1.487894,3.668326,0.346396,0.981360,0.004700,0.005270,0.192047
0.510000,5.127567,2.010095,0.221793,-1.597787,3.662989,0.331775,0.979781,0.003847,0.006499,0.199929
0.540000,5.071414,2.132992,0.237465,-1.714323,3.713123,0.347386,0.977252,0.004371,0.006710,0.211932
0.570000,5.011183,2.250237,0.244644,-1.829768,3.696465,0.317250,0.975565,0.003215,0.007101,0.219573
0.600000,4.953737,2.373655,0.256864,-1.907077,3.753495,0.317690,0.972657,0.003734,0.006949,0.232112
0.630000,4.897671,2.487081,0.259982,-1.966801,3.715846,0.271224,0.970420,0.002574,0.006915,0.241309
0.660000,4.837265,2.605323,0.265731,-2.040754,3.725765,0.251322,0.967363,0.002822,0.005671,0.253315
0.690000,4.772835,2.715119,0.265751,-2.130801,3.659778,0.201677,0.964846,0.002583,0.005256,0.262752
0.720000,4.713088,2.829238,0.266852,-2.174250,3.659831,0.167883,0.960984,-0.000145,0.004116,0.276572
0.750000,4.660680,2.928495,0.271453,-2.177363,3.556424,0.144507,0.958290,-0.000507,0.003847,0.285770
0.780000,4.601055,3.037812,0.270378,-2.218635,3.547041,0.100924,0.953923,-0.000013,0.003309,0.300033
0.810000,4.539328,3.129133,0.268325,-2.278891,3.399751,0.058897,0.950829,-0.000010,0.003355,0.309699
0.840000,4.465005,3.229924,0.264832,-2.387831,3.340276,0.019215,0.946570,0.000904,0.002852,0.322485
0.870000,4.387157,3.321179,0.260454,-2.501145,3.215545,-0.015463,0.943296,0.001007,0.002350,0.331943
0.900000,4.304098,3.419746,0.252106,-2.612017,3.168962,-0.065417,0.939012,0.002517,0.001574,0.343871
0.930000,4.218794,3.518883,0.260075,-2.697782,3.152519,-0.000177,0.935779,0.001163,0.001052,0.352583
0.960000,4.136870,3.612701,0.259865,-2.763815,3.102057,-0.013787,0.931452,0.000566,0.000868,0.363863
0.990000,4.052980,3.704976,0.259243,-2.828879,3.049581,-0.027688,0.927382,0.000428,0.000837,0.374116
1.020000,3.967134,3.795640,0.258199,-2.894150,2.994687,-0.041928,0.923041,0.000342,0.000895,0.384699
1.050000,3.879315,3.884602,0.256720,-2.960471,2.936108,-0.056663,0.918725,0.000321,0.000939,0.394896
1.080000,3.789466,3.971730,0.254783,-3.029456,2.872458,-0.072479,0.914260,0.000372,0.000697,0.405128
1.110000,3.697490,4.056861,0.252365,-3.102283,2.802893,-0.088716,0.909954,-0.001138,0.000550,0.414707
1.140000,3.603291,4.139854,0.249462,-3.177650,2.729994,-0.104829,0.904860,-0.002033,0.000716,0.425704
1.170000,3.506844,4.220638,0.246066,-3.252106,2.655622,-0.121545,0.900185,-0.002458,0.000861,0.435500
1.200000,3.408208,4.299191,0.242145,-3.323658,2.581204,-0.139899,0.894885,-0.003093,0.001002,0.446286
1.230000,3.307483,4.375518,0.237650,-3.391340,2.507289,-0.159723,0.889994,-0.003567,0.001222,0.455956
1.260000,3.204797,4.449646,0.232544,-3.454379,2.434598,-0.180699,0.884676,-0.003987,0.001672,0.466186
1.290000,3.100296,4.521605,0.226796,-3.512402,2.362673,-0.202519,0.879527,-0.004385,0.002008,0.475825
1.320000,2.994118,4.591402,0.220388,-3.566088,2.290427,-0.224669,0.874124,-0.004806,0.002436,0.485673
1.350000,2.886378,4.659010,0.213322,-3.616565,2.216751,-0.246393,0.868766,-0.005237,0.002784,0.495188
1.380000,2.777143,4.724362,0.205617,-3.665796,2.140049,-0.267269,0.863201,-0.005694,0.003133,0.504819
1.410000,2.666414,4.787339,0.197308,-3.716170,2.058463,-0.286664,0.857499,-0.006193,0.003306,0.514438
1.440000,2.554117,4.847763,0.188441,-3.770298,1.969791,-0.304477,0.851720,-0.006821,0.003478,0.523941
