timestamp,p_x,p_y,p_z,v_x,v_y,v_z,q_w,q_x,q_y,q_z
0.000000,5.500000,0.000000,0.000000,-0.000000,4.180000,0.437000,1.000000,0.000000,0.000000,0.000000
0.030000,5.498571,0.125402,0.013112,-0.095241,4.180129,0.437103,0.999935,0.000002,-0.000005,0.011394
0.060000,5.494284,0.250773,0.026208,-0.190576,4.177944,0.436002,0.999740,0.000008,-0.000003,0.022793
0.090000,5.487140,0.376047,0.039253,-0.285684,4.173659,0.433637,0.999416,0.000008,-0.000006,0.034183
0.120000,5.477142,0.501161,0.052208,-0.380896,4.167269,0.430034,0.998961,0.000011,-0.000005,0.045569
0.150000,5.464291,0.626050,0.065039,-0.475804,4.158688,0.425359,0.998377,0.000014,-0.000002,0.056948
0.180000,5.448595,0.750646,0.077712,-0.570596,4.147692,0.419539,0.997663,0.000022,-0.000003,0.068334
0.210000,5.430061,0.874881,0.090194,-0.665005,4.134622,0.412606,0.996819,0.000029,0.000005,0.079702
0.240000,5.408699,0.998692,0.102451,-0.759116,4.119478,0.404533,0.995846,0.000025,0.000009,0.091056
0.270000,5.384519,1.122016,0.114447,-0.852910,4.102138,0.395165,0.994743,0.000018,0.000004,0.102403
0.300000,5.357534,1.244790,0.126147,-0.946090,4.082789,0.384869,0.993512,0.000023,-0.000003,0.113729
0.330000,5.327759,1.366952,0.137521,-1.038900,4.061338,0.373350,0.992151,0.000025,-0.000001,0.125043
0.360000,5.295210,1.488437,0.148535,-1.131034,4.037617,0.360908,0.990662,0.000025,0.000003,0.136343
0.390000,5.259901,1.609180,0.159162,-1.222927,4.011973,0.347587,0.989043,0.000032,0.000003,0.147626
0.420000,5.221847,1.729121,0.169374,-1.313992,3.984051,0.333204,0.987297,0.000025,0.000010,0.158887
0.450000,5.181067,1.848195,0.179139,-1.404640,3.954210,0.317826,0.985421,0.000017,0.000016,0.170136
0.480000,5.137581,1.966339,0.188432,-1.494462,3.922105,0.301707,0.983419,0.000025,0.000018,0.181351
0.510000,5.091414,2.083494,0.197229,-1.583353,3.888202,0.284729,0.981287,0.000026,0.000020,0.192550
0.540000,5.042587,2.199600,0.205501,-1.671760,3.852212,0.266765,0.979030,0.000028,0.000022,0.203718
0.570000,4.991122,2.314596,0.213225,-1.759224,3.814185,0.248139,0.976645,0.000019,0.000028,0.214858
0.600000,4.937048,2.428424,0.220378,-1.845683,3.774301,0.228768,0.974133,0.000026,0.000032,0.225974
0.630000,4.880392,2.541025,0.226945,-1.931408,3.732436,0.209006,0.971494,0.000020,0.000034,0.237066
0.660000,4.821181,2.652339,0.232907,-2.015996,3.688547,0.188428,0.968728,0.000028,0.000038,0.248124
0.690000,4.759448,2.762307,0.238245,-2.099542,3.642619,0.167469,0.965836,0.000024,0.000031,0.259154
0.720000,4.695224,2.870870,0.242945,-2.182025,3.594920,0.145894,0.962819,0.000025,0.000026,0.270146
0.750000,4.628542,2.977971,0.246995,-2.263471,3.545172,0.124072,0.959676,0.000030,0.000027,0.281107
0.780000,4.559436,3.083556,0.250383,-2.343611,3.493806,0.101820,0.956411,0.000026,0.000023,0.292024
0.810000,4.487938,3.187572,0.253101,-2.422876,3.440608,0.079348,0.953018,0.000028,0.000023,0.302913
0.840000,4.414086,3.289966,0.255143,-2.500604,3.385630,0.056807,0.949503,0.000023,0.000015,0.313758
0.870000,4.337921,3.390683,0.256506,-2.577097,3.328862,0.034048,0.945867,0.000016,0.000021,0.324554
0.900000,4.259479,3.489670,0.257183,-2.652343,3.270279,0.011092,0.942108,0.000020,0.000019,0.335309
0.930000,4.178803,3.586876,0.257171,-2.726059,3.210134,-0.011932,0.938224,0.000024,0.000022,0.346030
0.960000,4.095938,3.682252,0.256470,-2.798300,3.148215,-0.034750,0.934217,0.000015,0.000028,0.356706
0.990000,4.010923,3.775748,0.255085,-2.869333,3.084868,-0.057580,0.930088,0.000015,0.000020,0.367338
1.020000,3.923800,3.867319,0.253020,-2.938911,3.019840,-0.080085,0.925841,0.000019,0.000014,0.377914
1.050000,3.834610,3.956913,0.250282,-3.007053,2.953150,-0.102458,0.921475,0.000017,0.000010,0.388439
1.080000,3.743400,4.044483,0.246877,-3.073605,2.884843,-0.124548,0.916989,0.000020,0.000010,0.398913
1.110000,3.650217,4.129981,0.242814,-3.138633,2.815022,-0.146293,0.912381,0.000020,0.000010,0.409341
1.140000,3.555108,4.213365,0.238105,-3.201967,2.743901,-0.167640,0.907654,0.000024,0.000016,0.419719
1.170000,3.458121,4.294594,0.232762,-3.263806,2.671339,-0.188587,0.902809,0.000019,0.000008,0.430041
1.200000,3.359306,4.373623,0.226798,-3.323884,2.597311,-0.209008,0.897846,0.000018,0.000001,0.440309
1.230000,3.258713,4.450411,0.220229,-3.382307,2.521860,-0.228923,0.892766,0.000027,-0.000000,0.450520
1.260000,3.156395,4.524915,0.213072,-3.438870,2.445067,-0.248211,0.887571,0.000035,-0.000006,0.460672
1.290000,3.052406,4.597099,0.205349,-3.493773,2.367190,-0.266696,0.882258,0.000045,-0.000010,0.470767
1.320000,2.946799,4.666927,0.197082,-3.546685,2.288036,-0.284410,0.876832,0.000037,-0.000009,0.480797
1.350000,2.839629,4.734365,0.188294,-3.597943,2.207851,-0.301439,0.871291,0.000032,-0.000012,0.490767
1.380000,2.730947,4.799378,0.179007,-3.647544,2.126313,-0.317735,0.865639,0.000027,-0.000009,0.500668
1.410000,2.620809,4.861925,0.169244,-3.695002,2.043482,-0.333083,0.859879,0.000022,-0.000007,0.510498
1.440000,2.509273,4.921973,0.159034,-3.740686,1.959715,-0.347579,0.854005,0.000015,-0.000003,0.520265
1.470000,2.396397,4.979494,0.148404,-3.784395,1.875021,-0.361104,0.848015,0.000017,0.000002,0.529973
1.500000,2.282239,5.034462,0.137385,-3.826127,1.789517,-0.373530,0.841917,0.000010,0.000001,0.539607
1.530000,2.166861,5.086849,0.126007,-3.865750,1.702989,-0.384990,0.835713,0.000003,0.000007,0.549166
1.560000,2.050320,5.136625,0.114300,-3.903638,1.615381,-0.395467,0.829403,0.000011,0.000011,0.558650
1.590000,1.932677,5.183762,0.102298,-3.939265,1.527065,-0.404696,0.822976,0.000006,0.000014,0.568076
1.620000,1.813994,5.228238,0.090036,-3.972947,1.438003,-0.412746,0.816450,0.000008,0.000020,0.577416
1.650000,1.694330,5.270030,0.077546,-4.004660,1.348124,-0.419889,0.809815,0.000014,0.000023,0.586685
1.680000,1.573743,5.309114,0.064860,-4.034418,1.257476,-0.425850,0.803080,0.000017,0.000030,0.595871
1.710000,1.452296,5.345470,0.052013,-4.062090,1.166269,-0.430637,0.796234,0.000016,0.000031,0.604989
1.740000,1.330049,5.379081,0.039044,-4.087694,1.074470,-0.433955,0.789281,0.000021,0.000025,0.614033
1.770000,1.207068,5.409928,0.025989,-4.111070,0.981970,-0.436415,0.782227,0.000027,0.000030,0.622993
1.800000,1.083415,5.437992,0.012882,-4.132430,0.889023,-0.437391,0.775075,0.000037,0.000030,0.631869
1.830000,0.959153,5.463262,-0.000240,-4.151690,0.795632,-0.437389,0.767821,0.000035,0.000028,0.640665
1.860000,0.834346,5.485723,-0.013342,-4.168802,0.701725,-0.436084,0.760464,0.000038,0.000023,0.649380
1.890000,0.709058,5.505361,-0.026388,-4.183755,0.607477,-0.433655,0.753012,0.000039,0.000014,0.658007
1.920000,0.583352,5.522170,-0.039344,-4.196589,0.513155,-0.430088,0.745458,0.000033,0.000011,0.666553
1.950000,0.457293,5.536143,-0.052172,-4.207360,0.418378,-0.425065,0.737813,0.000036,0.000017,0.675005
1.980000,0.330945,5.547271,-0.064835,-4.215845,0.323505,-0.419133,0.730071,0.000033,0.000009,0.683371
2.010000,0.204377,5.555551,-0.077298,-4.222013,0.228446,-0.411775,0.722235,0.000042,0.000009,0.691648
2.040000,0.077655,5.560976,-0.089526,-4.226136,0.133275,-0.403386,0.714308,0.000039,0.000003,0.699831
2.070000,-0.049158,5.563547,-0.101488,-4.228082,0.038071,-0.394108,0.706287,0.000042,0.000010,0.707926
2.100000,-0.175998,5.563257,-0.113153,-4.227903,-0.057353,-0.383525,0.698168,0.000048,0.000013,0.715934
2.130000,-0.302799,5.560108,-0.124484,-4.225472,-0.152616,-0.371899,0.689967,0.000040,0.000011,0.723841
2.160000,-0.429496,5.554099,-0.135455,-4.221047,-0.247970,-0.359480,0.681667,0.000045,0.000012,0.731663
2.190000,-0.556028,5.545232,-0.146038,-4.214381,-0.343172,-0.346079,0.673282,0.000045,0.000002,0.739385
2.220000,-0.682325,5.533511,-0.156204,-4.205451,-0.438202,-0.331648,0.664807,0.000046,0.000009,0.747015
2.250000,-0.808323,5.518947,-0.165923,-4.194419,-0.532732,-0.316279,0.656246,0.000044,0.000003,0.754547
2.280000,-0.933956,5.501550,-0.175166,-4.181117,-0.627068,-0.299950,0.647607,0.000043,0.000007,0.761974
2.310000,-1.059157,5.481326,-0.183906,-4.165587,-0.721241,-0.282689,0.638873,0.000047,-0.000001,0.769312
2.340000,-1.183861,5.458284,-0.192117,-4.148024,-0.814903,-0.264682,0.630068,0.000047,-0.000009,0.776540
2.370000,-1.308006,5.432436,-0.199780,-4.128313,-0.908243,-0.246213,0.621173,0.000052,-0.000011,0.783673
2.400000,-1.431529,5.403795,-0.206879,-4.106514,-1.001162,-0.227064,0.612200,0.000051,-0.000010,0.790703
2.430000,-1.554367,5.372376,-0.213394,-4.082741,-1.093432,-0.207289,0.603142,0.000056,-0.000014,0.797634
2.460000,-1.676458,5.338196,-0.219307,-4.056648,-1.185250,-0.186885,0.594014,0.000058,-0.000022,0.804454
2.490000,-1.797734,5.301271,-0.224597,-4.028388,-1.276445,-0.165767,0.584805,0.000054,-0.000029,0.811174
2.520000,-1.918136,5.261620,-0.229248,-3.998401,-1.366941,-0.144332,0.575525,0.000056,-0.000022,0.817784
2.550000,-2.037605,5.219263,-0.233250,-3.966220,-1.456839,-0.122473,0.566171,0.000057,-0.000022,0.824287
2.580000,-2.156079,5.174220,-0.236592,-3.932040,-1.546028,-0.100297,0.556735,0.000058,-0.000030,0.830690
2.610000,-2.273495,5.126516,-0.239262,-3.895681,-1.634256,-0.077705,0.547226,0.000061,-0.000040,0.836985
2.640000,-2.389790,5.076176,-0.241254,-3.857358,-1.721730,-0.055085,0.537651,0.000063,-0.000042,0.843167
2.670000,-2.504909,5.023225,-0.242567,-3.817202,-1.808377,-0.032464,0.528011,0.000069,-0.000037,0.849238
2.700000,-2.618793,4.967691,-0.243199,-3.775068,-1.893862,-0.009702,0.518295,0.000068,-0.000036,0.855202
2.730000,-2.731385,4.909609,-0.243149,-3.731105,-1.978298,0.013093,0.508515,0.000061,-0.000039,0.861053
2.760000,-2.842626,4.849006,-0.242413,-3.684912,-2.061847,0.035958,0.498669,0.000055,-0.000036,0.866792
2.790000,-2.952455,4.785914,-0.240994,-3.637078,-2.144323,0.058638,0.488751,0.000047,-0.000040,0.872424
2.820000,-3.060824,4.720366,-0.238895,-3.587477,-2.225547,0.081260,0.478771,0.000047,-0.000032,0.877940
2.850000,-3.167672,4.652398,-0.236121,-3.535711,-2.305612,0.103697,0.468738,0.000044,-0.000041,0.883337
2.880000,-3.272939,4.582044,-0.232680,-3.482097,-2.384652,0.125700,0.458638,0.000049,-0.000041,0.888623
2.910000,-3.376575,4.509338,-0.228584,-3.426969,-2.462450,0.147378,0.448483,0.000043,-0.000045,0.893792
2.940000,-3.478530,4.434319,-0.223841,-3.370050,-2.538798,0.168831,0.438271,0.000039,-0.000034,0.898843
2.970000,-3.578751,4.357030,-0.218463,-3.311371,-2.613827,0.189669,0.427994,0.000037,-0.000042,0.903782
3.000000,-3.677188,4.277507,-0.212466,-3.251061,-2.687698,0.210127,0.417657,0.000037,-0.000046,0.908605
3.030000,-3.773789,4.195791,-0.205867,-3.189040,-2.760054,0.229818,0.407278,0.000032,-0.000052,0.913304
