timestamp,p_x,p_y,p_z,v_x,v_y,v_z,q_w,q_x,q_y,q_z
0.000000,5.500000,0.000000,0.000000,-0.000000,4.180000,0.437000,1.000000,0.000000,0.000000,0.000000
0.030000,5.492356,0.124382,0.012895,-0.509573,4.112103,0.422646,0.999968,0.000968,0.000653,0.007957
0.060000,5.472636,0.246923,0.025351,-0.805117,4.057351,0.407746,0.999344,-0.002777,-0.006086,0.035597
0.090000,5.446039,0.368134,0.037374,-0.968012,4.023351,0.393808,0.999214,-0.003743,-0.005218,0.039126
0.120000,5.415906,0.488799,0.049095,-1.040836,4.020995,0.387599,0.998630,-0.003713,-0.004960,0.051964
0.150000,5.384368,0.609602,0.060668,-1.061741,4.032513,0.383908,0.998051,-0.003206,-0.004010,0.062198
0.180000,5.352457,0.730866,0.072117,-1.065656,4.051779,0.379389,0.997292,-0.002461,-0.004410,0.073367
0.210000,5.320354,0.852722,0.083394,-1.074521,4.071953,0.372417,0.996515,-0.001597,-0.004551,0.083271
0.240000,5.287845,0.975140,0.094455,-1.092719,4.089246,0.365002,0.995560,-0.001200,-0.004233,0.094031
0.270000,5.254644,1.097996,0.105307,-1.120735,4.101134,0.358450,0.994569,-0.000524,-0.003622,0.104015
0.300000,5.220462,1.221097,0.115961,-1.158064,4.105610,0.351835,0.993310,-0.000097,-0.003693,0.115422
0.330000,5.185012,1.344207,0.126406,-1.205281,4.101720,0.344481,0.992040,0.000007,-0.003501,0.125878
0.360000,5.148004,1.467086,0.136617,-1.261878,4.090219,0.336242,0.990546,0.000150,-0.003509,0.137137
0.390000,5.109177,1.589512,0.146565,-1.326586,4.071524,0.326970,0.989044,0.000274,-0.003599,0.147576
0.420000,5.068316,1.711283,0.156223,-1.397518,4.046524,0.316858,0.987293,0.000365,-0.003493,0.158871
0.450000,5.025258,1.832227,0.165559,-1.472993,4.016396,0.305547,0.985499,0.000355,-0.003522,0.169647
0.480000,4.979880,1.952216,0.174534,-1.552174,3.982917,0.292839,0.983560,0.000376,-0.003501,0.180548
0.510000,4.932092,2.071162,0.183108,-1.633691,3.946771,0.278718,0.981442,0.000332,-0.003465,0.191729
0.540000,4.881851,2.189004,0.191237,-1.715727,3.909365,0.263234,0.979287,0.000260,-0.003611,0.202443
0.570000,4.829148,2.305707,0.198887,-1.797802,3.870844,0.246786,0.976882,0.000344,-0.003315,0.213753
0.600000,4.773989,2.421235,0.206034,-1.879475,3.831066,0.229644,0.974467,0.000376,-0.003341,0.224506
0.630000,4.716380,2.535551,0.212652,-1.961149,3.789999,0.211548,0.971849,0.000439,-0.003207,0.235584
0.660000,4.656321,2.648614,0.218710,-2.042754,3.747486,0.192365,0.969226,0.000638,-0.003317,0.246148
0.690000,4.593812,2.760372,0.224183,-2.124550,3.703047,0.172500,0.966310,0.000642,-0.002960,0.257363
0.720000,4.528856,2.870770,0.229048,-2.205846,3.656814,0.151811,0.963422,0.000609,-0.003039,0.267970
0.750000,4.461464,2.979756,0.233280,-2.286958,3.608929,0.130319,0.960299,0.000710,-0.002826,0.278957
0.780000,4.391640,3.087272,0.236857,-2.367971,3.558824,0.108140,0.957260,0.000857,-0.002922,0.289213
0.810000,4.319389,3.193246,0.239754,-2.448719,3.506083,0.084993,0.953762,0.000896,-0.002592,0.300550
0.840000,4.244733,3.297603,0.241948,-2.528382,3.451047,0.061277,0.950554,0.000907,-0.002868,0.310544
0.870000,4.167712,3.400283,0.243420,-2.606311,3.394300,0.036856,0.946760,0.000920,-0.002478,0.321930
0.900000,4.088393,3.501242,0.244151,-2.681647,3.336282,0.011864,0.943306,0.000807,-0.002600,0.331913
0.930000,4.006853,3.600446,0.244121,-2.754346,3.277366,-0.013819,0.939305,0.000914,-0.002319,0.343075
0.960000,3.923172,3.697862,0.243319,-2.824413,3.216991,-0.039687,0.935616,0.000914,-0.002372,0.353010
0.990000,3.837418,3.793437,0.241731,-2.892474,3.154735,-0.066161,0.931439,0.001056,-0.002339,0.363887
1.020000,3.749647,3.887107,0.239349,-2.958954,3.089894,-0.092631,0.927340,0.001051,-0.002186,0.374211
1.050000,3.659907,3.978800,0.236177,-3.023748,3.022956,-0.118875,0.923011,0.001070,-0.002208,0.384766
1.080000,3.568248,4.068454,0.232216,-3.086820,2.953986,-0.145143,0.918650,0.001068,-0.002196,0.395064
1.110000,3.474718,4.156003,0.227473,-3.148498,2.882650,-0.171056,0.914071,0.001127,-0.002202,0.405547
1.140000,3.379352,4.241378,0.221961,-3.209285,2.808980,-0.196445,0.909476,0.001264,-0.002188,0.415749
