timestamp,p_x,p_y,p_z,v_x,v_y,v_z,q_w,q_x,q_y,q_z
0.000000,5.500000,0.000000,0.000000,-0.000000,4.180000,0.437000,1.000000,0.000000,0.000000,0.000000
0.030000,5.495593,0.125668,0.014948,-0.603168,4.234750,0.627123,0.812454,0.001532,0.006802,0.013485
0.060000,5.473992,0.252894,0.034865,-0.914607,4.252342,0.670930,0.923928,0.003705,0.005102,0.024534
0.090000,5.443906,0.380610,0.055511,-1.058901,4.232847,0.641215,1.000437,0.006249,0.004321,0.034161
0.120000,5.409952,0.507661,0.074930,-1.098135,4.181687,0.580434,1.075042,0.009256,0.004013,0.041915
0.150000,5.375247,0.632871,0.092357,-1.089732,4.134998,0.508609,1.064743,0.009082,0.004065,0.053321
0.180000,5.341009,0.756590,0.107535,-1.062332,4.101384,0.436375,1.037094,0.010287,0.002886,0.065679
0.210000,5.307694,0.879263,0.120512,-1.029160,4.077969,0.365036,1.031299,0.011819,0.005328,0.076742
0.240000,5.275499,1.001212,0.131186,-1.001633,4.062650,0.315238,1.024462,0.010898,0.003516,0.088314
0.270000,5.244202,1.122698,0.140215,-0.992482,4.053649,0.302917,1.035293,0.007623,-0.001971,0.098243
0.300000,5.213144,1.243917,0.148969,-1.004262,4.052235,0.311085,1.030180,0.006508,-0.003426,0.109550
0.330000,5.181732,1.365079,0.158066,-1.036007,4.055830,0.324734,1.023411,0.006324,-0.003725,0.121150
0.360000,5.149371,1.486356,0.167641,-1.086377,4.059447,0.332494,1.019740,0.006462,-0.003690,0.132559
0.390000,5.115504,1.607793,0.177488,-1.154425,4.050969,0.328242,1.025064,0.007112,-0.004683,0.141839
0.420000,5.079575,1.728879,0.187242,-1.238055,4.039542,0.304048,1.024698,0.005858,-0.002584,0.153259
0.450000,5.041126,1.849600,0.196169,-1.330305,4.026517,0.273088,1.016529,0.006532,-0.004002,0.165045
0.480000,4.999874,1.969917,0.204113,-1.427721,4.007444,0.238608,1.008734,0.006773,-0.003899,0.176740
0.510000,4.955713,2.089679,0.210923,-1.529814,3.975194,0.212294,1.007617,0.006041,-0.006722,0.187399
0.540000,4.908413,2.208404,0.216922,-1.630042,3.936621,0.194868,1.009904,0.005097,-0.008728,0.197265
0.570000,4.858124,2.325895,0.222441,-1.730497,3.900533,0.178522,1.006880,0.004713,-0.009157,0.208150
0.600000,4.804811,2.442295,0.227455,-1.826773,3.862227,0.166509,0.999647,0.005402,-0.007826,0.219985
0.630000,4.748614,2.557543,0.232061,-1.915448,3.815355,0.163687,0.995844,0.001881,-0.010369,0.231159
0.660000,4.689709,2.671373,0.236592,-1.993605,3.763894,0.166362,0.994257,0.000154,-0.011385,0.241610
0.690000,4.628507,2.783613,0.241244,-2.067004,3.711002,0.168309,0.989867,-0.000147,-0.011620,0.252743
0.720000,4.565193,2.894232,0.246037,-2.145790,3.657162,0.157242,0.988352,0.001369,-0.009793,0.263075
0.750000,4.499580,3.003169,0.250476,-2.232937,3.606133,0.135908,0.997189,0.001460,-0.008631,0.271744
0.780000,4.431361,3.110584,0.254203,-2.327551,3.556992,0.113740,0.983303,0.001368,-0.009759,0.284332
0.810000,4.360303,3.216522,0.257253,-2.428142,3.503355,0.090359,0.982005,0.001958,-0.008724,0.294430
0.840000,4.286222,3.320882,0.259569,-2.529692,3.436572,0.070791,0.977009,-0.001283,-0.011555,0.303172
0.870000,4.209110,3.423131,0.261350,-2.638621,3.372828,0.046413,0.967913,0.000320,-0.010134,0.317139
0.900000,4.128697,3.523418,0.262385,-2.741302,3.309115,0.019903,0.970343,-0.003354,-0.010003,0.325506
0.930000,4.045231,3.621769,0.262561,-2.843775,3.254895,0.000109,0.957945,-0.001227,-0.010502,0.338810
0.960000,3.958673,3.718464,0.262147,-2.937811,3.201740,-0.013423,0.955568,0.000563,-0.010491,0.348663
0.990000,3.869256,3.813548,0.261369,-3.014995,3.148439,-0.026311,0.947678,-0.003803,-0.010777,0.360401
1.020000,3.777505,3.907110,0.260249,-3.073307,3.087414,-0.043105,0.949418,-0.005292,-0.011653,0.367179
1.050000,3.684055,3.998780,0.258660,-3.119318,3.026039,-0.068920,0.945641,-0.007027,-0.010158,0.378284
1.080000,3.589337,4.088582,0.256250,-3.162924,2.965991,-0.094912,0.938519,-0.006026,-0.010325,0.389562
1.110000,3.493350,4.176556,0.253035,-3.205517,2.904442,-0.118781,0.932901,-0.004210,-0.010907,0.400152
1.140000,3.396080,4.262665,0.249173,-3.243559,2.838733,-0.148320,0.929623,-0.007667,-0.010085,0.409531
1.170000,3.297648,4.346822,0.244396,-3.272552,2.771169,-0.177467,0.923697,-0.008284,-0.009659,0.420121
1.200000,3.198294,4.428956,0.238702,-3.281353,2.696677,-0.199705,0.924890,-0.008980,-0.011147,0.425871
1.230000,3.098902,4.508786,0.232367,-3.301518,2.623366,-0.218295,0.915946,-0.007041,-0.010768,0.438893
1.260000,2.999017,4.586377,0.225562,-3.338960,2.547254,-0.243008,0.906781,-0.009151,-0.009049,0.450722
1.290000,2.898055,4.661706,0.218028,-3.395198,2.468601,-0.272978,0.902540,-0.008718,-0.009452,0.460013
1.320000,2.795387,4.734709,0.209620,-3.466738,2.379345,-0.309933,0.897176,-0.013044,-0.006998,0.469581
1.350000,2.690628,4.805026,0.200015,-3.558502,2.287103,-0.339114,0.889548,-0.010970,-0.007903,0.480512
1.380000,2.583132,4.872539,0.189518,-3.667879,2.186690,-0.358693,0.883924,-0.009851,-0.008735,0.490142
1.410000,2.472349,4.937021,0.178476,-3.791153,2.077434,-0.372726,0.879902,-0.011309,-0.009356,0.498451
1.440000,2.357869,4.998181,0.167084,-3.927519,1.964946,-0.387243,0.868030,-0.011656,-0.005550,0.511709
